,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
6,44,2,115932,11,9,2,6,0,4,1,0,0,40,38,0
114,22,2,202218,15,10,4,0,3,4,0,0,0,40,38,0
346,50,2,167482,11,9,2,6,0,4,1,0,0,40,38,0
358,27,2,207301,11,9,4,0,1,4,0,0,0,40,38,0
95,34,2,177927,11,9,2,2,0,4,1,0,0,50,38,1
44,25,2,199268,15,10,4,0,3,4,0,0,0,40,38,0
171,44,2,175925,11,9,2,2,0,4,1,0,0,40,38,0
328,26,2,190963,15,10,4,0,1,4,0,0,0,40,38,0
305,41,2,192565,11,9,2,2,0,4,1,0,0,40,38,0
174,49,2,145409,15,10,2,2,0,4,1,0,0,40,38,1
30,22,2,189590,15,10,4,5,3,4,1,0,0,40,38,0
164,25,2,112847,11,9,4,2,1,4,1,0,0,40,38,0
57,31,2,115784,2,8,2,5,0,4,1,0,0,40,38,0
494,23,2,203070,11,9,4,2,3,4,1,0,0,40,38,0
99,21,2,169544,11,9,4,0,3,4,0,0,0,40,38,0
108,42,4,176185,11,9,2,2,0,4,1,0,0,40,38,0
193,24,2,116103,15,10,4,2,1,4,1,0,0,40,38,0
350,27,2,176711,9,13,4,11,3,4,1,0,0,40,38,0
368,61,2,176279,5,4,2,6,0,4,1,0,0,40,38,0
349,25,2,167725,11,9,4,6,3,4,1,0,0,40,38,0
1,41,2,117381,9,13,2,3,0,4,1,0,0,40,38,0
148,48,2,185127,11,9,2,6,0,4,1,0,0,40,38,0
129,53,2,192283,15,10,0,3,4,4,0,0,0,40,38,0
116,33,2,176711,11,9,4,2,1,4,1,0,0,40,38,0
189,30,2,180532,11,9,2,2,0,4,1,0,0,45,38,0
342,40,2,183612,15,10,2,6,0,4,1,0,0,40,38,0
192,32,2,204235,9,13,2,11,0,4,1,0,0,50,38,1
78,24,2,193689,9,13,4,3,3,4,1,0,0,40,38,0
111,34,2,186934,15,10,2,2,0,4,1,0,0,40,38,1
314,33,2,174635,15,10,0,12,4,4,0,0,0,40,38,0
185,45,2,190759,9,13,2,3,0,4,1,0,0,40,38,1
231,40,2,143266,12,14,2,3,0,4,1,0,0,45,38,1
181,50,2,175925,5,4,2,2,0,4,1,0,0,40,38,0
400,38,2,188069,11,9,2,6,0,4,1,0,0,40,38,0
100,22,2,204226,11,9,4,7,3,4,0,0,0,40,38,0
311,40,2,191149,15,10,0,0,4,4,0,0,0,40,38,0
70,58,2,180303,9,13,2,11,0,4,1,0,0,40,38,1
413,28,2,176185,1,7,4,5,1,4,1,0,0,40,38,0
221,32,4,170866,11,9,2,2,0,4,1,0,0,40,38,0
168,58,2,191161,11,9,2,2,0,4,1,0,0,50,38,0
287,22,2,169129,11,9,4,6,3,4,1,0,0,40,38,0
31,36,2,115932,15,10,2,2,0,4,1,0,0,40,38,1
143,60,2,202729,11,9,2,6,0,4,1,0,0,40,38,0
487,45,2,172538,12,14,2,3,0,4,1,0,0,45,38,1
227,25,2,206051,11,9,2,6,0,4,1,0,0,40,38,0
475,44,2,117583,11,9,0,0,4,4,0,0,0,40,38,0
496,25,2,176279,11,9,4,0,3,4,0,0,0,40,38,0
261,32,2,117381,15,10,2,6,0,4,1,0,0,40,38,0
178,26,2,191807,15,10,4,11,3,4,1,0,0,40,38,0
224,22,2,236328,15,10,4,3,3,4,1,0,0,40,38,0
389,28,2,199268,15,10,4,0,1,4,0,0,0,40,38,0
334,22,2,184813,15,10,4,11,3,4,1,0,0,40,38,0
470,24,2,107411,9,13,4,9,1,4,0,0,0,40,38,0
495,43,2,176185,11,9,2,6,0,4,1,0,0,40,38,0
229,25,2,176486,9,13,4,11,1,4,0,0,0,40,38,0
403,29,2,190759,11,9,2,5,0,4,1,0,0,40,38,0
359,23,2,176684,11,9,4,0,1,4,0,0,0,40,38,0
41,46,2,186993,11,9,2,6,0,4,1,0,0,40,38,0
308,32,2,190786,11,9,2,13,0,4,1,0,0,40,38,0
67,58,2,101090,11,9,0,7,4,4,0,0,0,40,38,0
452,56,4,113929,15,10,2,2,0,4,1,0,0,40,38,0
464,27,2,181761,11,9,4,0,1,4,0,0,0,40,38,0
299,51,2,177083,11,9,0,7,4,4,0,0,0,40,38,0
0,24,2,162432,9,13,4,0,3,4,0,0,0,20,38,0
21,24,2,199698,11,9,4,5,3,4,1,0,0,40,38,0
481,24,2,183608,11,9,4,6,3,4,1,0,0,40,38,0
437,25,2,183523,11,9,4,2,3,4,1,0,0,40,38,0
296,36,2,204235,9,13,2,3,0,4,1,0,0,40,38,1
83,23,2,209955,15,10,4,6,1,4,1,0,0,40,38,0
255,26,2,163689,15,10,4,0,1,4,0,0,0,40,38,0
399,26,2,201901,15,10,4,0,3,4,0,0,0,40,38,0
426,18,2,198266,15,10,4,11,3,4,0,0,0,20,38,0
333,40,2,204402,11,9,2,2,0,4,1,0,0,40,38,1
