,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
4447,34,2,195575,14,12,2,9,0,4,1,0,0,49,38,0
1490,36,2,34545,11,9,1,10,1,4,0,5,0,20,37,0
2472,33,2,206493,10,9,4,2,1,4,1,0,0,39,38,0
2345,70,5,387719,14,9,4,2,4,4,0,0,0,49,29,0
2087,37,2,200968,11,9,5,4,3,4,1,2,0,30,37,0
4700,35,4,216860,14,4,0,10,1,4,1,0,0,39,37,0
3143,20,2,154275,11,9,4,4,3,4,0,2,0,31,38,0
2351,36,1,117185,10,9,2,6,0,0,0,1,0,39,38,1
4335,35,5,37211,5,8,2,7,0,2,1,3,0,40,38,0
3785,60,2,191799,10,9,2,3,4,4,1,0,0,60,37,0
37,54,0,162237,10,8,2,4,0,3,1,0,0,30,37,0
2238,36,2,163712,10,8,2,4,2,4,0,0,0,40,38,0
4497,70,3,230175,10,9,4,12,1,4,1,0,0,44,37,0
3558,34,2,203287,10,8,2,0,0,4,1,0,0,40,37,0
5863,45,3,211410,10,12,2,4,0,4,1,0,1806,36,37,1
5342,26,5,172756,10,4,0,11,0,4,0,0,0,35,38,0
3500,23,2,256214,10,9,2,3,4,4,1,1,0,40,38,0
5903,28,2,96557,8,9,4,6,0,4,0,0,0,40,25,0
42,50,2,79290,11,9,2,10,0,4,1,1,0,40,37,0
2447,31,2,182168,7,9,2,2,0,4,0,0,0,39,38,0
3825,34,2,190168,8,8,2,2,0,4,1,3,0,40,38,1
5453,24,2,171251,14,8,4,0,3,4,1,0,0,39,38,0
5182,42,1,163113,8,12,2,8,0,1,1,0,0,70,37,1
1176,34,2,372496,14,8,0,9,3,2,0,0,0,69,38,0
4052,33,2,196066,9,13,2,11,0,4,1,3,0,35,37,1
4898,46,2,206366,8,10,2,9,0,4,1,0,0,49,37,1
4218,52,2,204386,0,9,4,9,0,4,1,0,0,45,38,0
2115,17,4,332612,14,9,4,10,1,4,0,7,0,40,37,0
84,42,5,369714,0,12,4,8,4,4,0,0,0,35,37,0
41,34,2,239008,0,9,2,2,4,4,1,3716,0,39,37,1
1846,48,2,44337,11,9,0,4,3,4,0,5,0,40,37,0
483,48,2,104393,8,10,4,9,0,4,1,0,0,66,29,1
432,22,1,244938,10,9,4,3,1,4,1,0,0,39,37,0
4332,40,2,111710,13,8,2,3,0,4,1,1,1858,39,38,0
1582,40,2,45677,14,9,0,1,4,4,0,2,0,35,37,0
2996,44,2,231616,8,10,4,3,1,4,0,0,0,48,38,0
338,24,2,148179,8,11,4,0,1,1,1,0,0,40,38,0
5970,28,0,236873,0,8,0,0,4,2,0,2,0,30,37,1
3530,30,5,194499,15,10,4,9,0,4,0,1,0,49,37,1
3048,23,2,35249,3,9,4,0,1,4,0,0,0,40,38,0
1464,39,4,40060,5,12,2,10,0,4,1,3,0,59,38,0
3033,26,1,237221,10,9,0,0,1,4,1,9274,0,39,37,1
4384,50,1,38377,9,10,2,3,0,4,0,0,0,39,38,1
842,44,2,177933,10,8,2,2,0,4,1,0,0,40,38,0
1007,58,3,109809,9,13,2,9,5,4,1,0,0,40,38,1
5949,58,4,205053,10,12,2,2,0,4,1,4,0,50,38,0
252,57,2,108207,11,9,4,1,3,2,0,0,0,54,38,0
4312,25,0,113995,10,8,2,1,0,4,1,7,0,40,37,0
2204,17,2,271161,15,10,4,11,3,4,0,0,0,23,38,0
5103,19,4,218330,0,9,4,5,4,4,1,0,0,30,37,0
5277,33,2,368747,14,9,4,4,4,4,0,0,0,50,38,0
225,31,2,162286,10,8,2,5,0,4,1,0,0,49,38,0
4114,36,5,257230,14,9,0,7,3,4,0,0,0,40,37,1
3167,52,2,242816,14,9,0,0,3,2,0,0,616,24,38,0
991,35,2,68263,10,8,2,13,1,4,0,0,0,50,38,1
1968,30,2,191294,10,8,4,2,1,4,1,0,0,39,38,0
5854,46,2,165566,11,9,5,1,0,4,1,1,0,39,37,0
3573,37,2,99989,9,13,2,9,0,4,1,0,0,49,38,0
5720,29,1,77725,9,10,0,12,4,4,1,0,0,39,38,0
5897,51,2,499447,14,9,4,2,1,4,1,0,0,39,37,0
880,69,2,169823,8,12,2,1,0,4,1,8,0,40,6,1
4324,48,4,187430,8,12,2,3,0,4,1,0,0,39,37,1
2835,44,2,192332,10,8,0,11,1,0,1,5,0,39,37,0
2136,23,2,184797,9,10,2,6,1,4,1,0,0,39,37,0
2088,26,2,358578,0,8,2,6,0,2,1,7526,0,39,38,0
1781,19,0,169018,14,9,4,3,3,4,0,0,0,29,38,0
4473,53,0,232776,10,8,2,10,0,4,1,0,0,39,38,0
31,25,2,204150,14,10,4,7,3,4,0,0,0,39,38,0
1441,39,2,269625,10,8,2,4,1,4,1,0,0,50,37,0
4818,60,4,185193,9,12,2,6,0,4,1,4,0,60,38,1
4519,31,4,341966,11,9,2,2,0,4,1,0,0,39,38,0
926,45,2,43888,11,10,5,3,3,4,1,0,0,59,37,0
5111,39,4,164863,10,8,2,13,4,4,1,0,0,44,37,1
5635,34,2,105107,11,9,2,7,0,4,1,7,0,50,35,0
3587,41,3,325136,15,14,2,3,0,4,1,1,0,40,37,1
1063,53,4,40621,0,8,2,10,0,4,1,1,0,39,38,0
343,34,2,184708,14,9,4,0,1,4,0,0,0,40,38,0
4091,17,2,265137,11,9,2,2,0,4,1,0,0,55,38,1
1795,57,2,312109,11,9,2,2,1,4,1,0,0,44,38,0
2104,39,2,275240,5,9,0,1,1,2,1,0,0,40,38,0
1349,45,0,168127,14,12,2,9,0,4,1,3797,1,25,37,1
3644,44,2,189292,9,9,2,10,0,4,1,7,0,44,37,0
3129,50,3,273826,14,12,4,2,3,4,0,3690,1,35,37,1
4127,36,2,263757,14,13,2,11,0,4,1,0,0,12,38,0
4754,30,2,186928,0,8,4,2,1,2,1,0,0,40,37,0
3064,56,2,210572,15,10,2,0,0,4,1,5,0,39,37,1
5486,31,2,187340,15,9,4,6,3,4,1,0,0,45,38,1
2158,56,3,114683,15,13,2,3,0,4,1,0,1829,50,38,1
1797,27,1,105699,11,13,2,6,1,4,0,0,0,40,38,0
1404,41,2,360821,10,8,2,5,0,4,1,0,0,39,38,0
2408,26,5,156831,14,9,0,0,4,4,0,3,0,40,38,0
5432,23,2,164134,10,8,4,6,1,4,0,0,0,50,6,0
3989,37,2,35957,11,10,2,4,1,4,0,1,0,39,38,0
1994,46,2,42081,11,4,2,10,0,4,1,0,0,44,38,0
5726,25,2,252512,3,3,4,3,2,4,1,2,0,49,38,0
5928,24,2,84250,12,10,0,7,3,2,0,0,0,29,38,0
5645,36,2,125640,15,10,4,9,1,4,0,4,0,43,25,0
