,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
848,29,2,202539,6,6,2,10,5,4,0,0,0,40,25,0
2908,51,3,79616,12,14,0,7,1,4,0,0,0,35,38,0
1235,51,1,185691,11,9,4,6,2,4,0,0,0,40,38,0
2134,53,2,148115,11,9,0,12,1,4,0,0,0,1,22,0
3533,56,2,181481,15,10,0,0,1,4,0,0,0,40,38,1
5912,65,4,167927,11,9,0,7,1,4,1,0,0,60,38,0
4375,43,2,69208,9,13,4,11,1,4,1,0,0,70,38,0
4050,34,2,99563,14,14,2,3,0,1,1,0,0,50,38,1
2383,27,2,175500,11,9,4,9,3,4,0,0,0,35,38,0
1015,19,2,125137,15,10,4,6,3,4,0,0,0,28,38,0
5709,56,2,54757,11,9,2,3,0,4,1,0,0,40,38,0
1246,22,2,320257,12,9,4,3,3,4,1,6557,0,40,38,0
3140,46,2,29846,15,10,5,10,1,4,0,0,0,55,38,0
1203,64,4,32828,9,16,2,9,0,4,1,0,0,40,38,1
2914,35,2,219173,11,9,2,2,0,4,1,0,0,44,38,0
4475,53,2,219625,9,13,2,3,5,4,0,0,0,40,38,1
5230,38,2,167996,1,8,2,7,0,4,1,0,0,40,38,0
1289,56,2,233085,11,9,4,6,2,4,0,0,0,40,38,0
3155,54,2,225497,0,6,4,9,1,4,1,0,0,40,38,0
2693,41,2,297550,9,13,2,2,0,4,1,0,0,50,38,1
5852,60,5,202841,9,16,4,5,1,4,0,15829,0,40,38,1
4471,53,2,49520,9,13,0,11,1,4,0,3103,0,50,38,0
376,45,2,214884,9,16,2,9,0,4,1,15024,0,45,38,1
4588,54,2,182519,11,9,2,13,0,4,1,0,0,40,38,1
5863,50,2,212283,11,13,2,11,0,4,1,0,2236,40,38,1
585,52,2,142870,11,9,2,3,0,4,1,0,0,40,38,0
589,44,2,199321,11,9,2,7,0,4,1,2989,0,40,38,1
4272,36,2,220473,11,9,2,13,0,4,1,0,0,40,38,0
4686,31,2,197846,9,10,0,5,1,4,1,0,0,40,38,0
4991,46,2,270467,11,9,6,9,4,4,0,0,0,40,38,0
591,45,2,114561,11,9,2,6,0,4,1,0,0,55,38,1
4911,33,2,305092,11,9,2,2,0,4,1,0,0,40,38,0
890,49,2,319435,11,9,0,2,1,4,1,0,0,48,38,0
5989,17,2,1484705,15,16,2,0,0,2,1,99999,0,1,40,1
2507,27,2,52209,11,9,4,5,1,4,1,0,0,44,38,0
1603,34,2,114735,11,9,2,3,0,4,1,0,0,40,38,1
689,40,2,175596,8,13,4,0,1,4,0,0,0,43,38,0
4055,60,2,190529,9,13,2,7,0,4,1,0,0,40,38,1
5697,38,4,298400,11,9,2,0,0,2,1,0,0,40,11,0
5355,43,2,166376,11,9,4,11,1,4,1,4119,0,40,38,0
8,67,2,188420,15,10,2,3,0,4,1,0,0,55,38,1
4317,20,2,283695,15,10,4,7,3,4,1,0,0,40,38,0
3663,33,2,279937,4,6,2,11,0,4,1,0,0,40,19,0
5559,36,2,184225,15,10,0,11,4,4,0,0,0,55,38,0
1040,23,2,116698,6,3,2,4,0,3,1,0,0,40,25,0
4816,18,2,201639,15,10,4,9,3,4,1,0,0,25,38,0
1240,35,2,149948,11,9,4,11,1,0,0,0,0,25,38,0
1141,25,2,48518,2,7,2,4,2,4,1,0,0,40,38,0
208,32,2,238835,11,9,2,0,0,4,1,0,0,60,38,0
2646,26,2,83766,15,10,4,9,1,4,0,0,0,20,38,0
5612,25,2,267315,11,9,4,11,1,4,1,0,0,40,38,0
5594,26,2,190308,15,10,2,2,0,4,1,0,0,40,38,0
475,33,2,369316,9,13,2,3,0,4,1,7688,0,50,38,1
216,40,2,84237,11,9,4,3,1,4,1,0,0,46,38,0
851,30,2,113425,11,9,4,9,1,1,1,0,0,40,26,0
3124,56,0,29856,11,9,0,0,1,4,0,0,0,40,38,0
1659,30,0,110089,9,13,2,13,5,4,0,0,0,44,38,1
4224,45,5,92705,9,16,4,9,4,3,0,0,0,35,14,0
98,40,2,202854,11,9,2,9,0,4,1,0,0,45,38,1
4006,19,2,242688,11,9,4,13,3,4,0,0,0,40,38,0
4257,39,2,415097,11,9,6,2,4,4,0,0,0,40,38,0
5575,62,4,74381,15,10,2,11,0,4,1,0,0,45,38,0
2367,55,2,175682,11,9,5,3,4,2,0,0,0,40,38,0
3594,36,2,158641,15,10,0,0,1,4,0,0,0,40,16,0
5525,53,3,49369,9,13,2,2,0,4,1,15024,0,40,38,1
3328,62,3,204661,9,13,6,9,1,4,0,0,0,10,38,0
