,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
116,26,4,160000,11,9,2,8,0,4,1,0,0,40,39,0
237,50,4,270123,15,10,0,11,1,4,1,0,0,38,39,0
433,28,4,87000,11,9,4,8,3,1,1,0,0,39,11,0
132,53,4,189456,2,3,0,5,1,2,1,0,0,42,39,0
364,25,4,215678,15,10,4,3,1,4,1,0,0,48,40,0
129,32,4,160000,0,6,4,5,1,4,1,0,0,38,39,0
17,41,4,110234,6,9,0,4,4,0,0,0,0,36,39,0
153,44,4,176789,11,9,4,8,3,4,1,0,0,42,29,0
420,40,4,210000,10,10,2,14,0,3,1,0,0,40,6,0
340,45,5,150000,14,11,1,11,2,0,1,0,0,72,0,0
210,45,1,90000,10,14,2,1,0,4,1,0,0,40,39,1
225,50,3,125000,11,10,2,5,0,4,1,0,0,32,18,0
465,41,2,180000,5,5,2,7,0,4,1,0,0,38,39,0
87,36,5,145678,11,9,2,3,0,4,1,0,0,60,39,1
160,22,3,198765,2,8,1,11,3,3,0,0,0,25,39,0
31,38,4,172345,11,9,2,8,0,4,1,0,0,39,39,0
362,29,4,256789,13,14,5,8,3,4,1,0,0,45,26,0
39,19,3,450000,1,7,4,12,3,4,0,0,0,10,26,0
137,42,4,30234,8,11,4,3,1,4,1,0,0,43,39,0
332,41,6,65200,11,9,2,4,0,4,1,0,0,48,39,0
241,53,3,189765,12,14,2,6,0,4,1,0,0,45,39,1
282,35,4,112345,11,9,2,8,5,4,0,0,0,25,39,0
476,26,1,145678,10,12,4,2,1,4,0,0,0,37,39,0
376,50,4,185000,14,10,4,1,3,4,0,0,0,38,39,0
436,55,5,180000,11,9,4,12,1,4,1,0,0,44,39,0
309,28,7,22000,7,12,4,1,1,4,0,0,0,39,11,0
379,50,6,170000,7,6,2,6,0,4,1,0,0,65,39,0
185,51,6,200000,10,16,2,10,0,4,1,0,0,24,39,0
88,55,4,223344,15,10,2,3,0,4,1,0,0,48,39,1
318,26,2,312345,13,10,4,8,3,4,1,0,0,39,39,0
0,30,4,200000,10,11,2,6,1,4,1,0,0,42,39,0
76,39,4,189012,11,9,2,14,0,4,1,0,0,37,39,0
90,45,3,198765,10,11,2,5,0,4,1,0,0,38,39,0
486,26,4,400000,11,9,4,7,1,4,1,0,0,41,39,0
52,45,2,290123,12,14,4,11,1,4,1,0,0,42,39,0
158,28,7,192345,11,9,4,11,3,4,1,2174,0,40,39,0
423,65,4,180000,1,7,2,1,0,4,1,0,0,25,39,0
195,41,4,260000,9,13,2,10,0,4,1,0,0,85,39,0
421,50,4,160000,9,13,0,10,1,4,0,15000,0,42,39,1
212,55,4,80000,3,9,2,1,5,4,0,0,0,42,39,0
393,37,2,178943,13,14,2,11,0,4,0,0,0,40,20,1
350,45,2,178456,10,11,0,13,1,4,1,0,0,42,39,0
201,35,3,124000,8,12,4,7,1,1,0,0,0,38,39,0
