,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
89,36,4,203412,11,10,2,5,3,4,1,0,0,50,39,1
190,38,4,123456,10,14,2,11,0,4,1,0,0,50,39,0
401,29,2,151051,10,13,4,2,1,4,0,0,0,38,39,0
415,51,4,210111,14,11,3,8,1,4,1,0,0,42,39,1
90,38,4,219847,10,12,0,9,2,4,1,0,0,45,39,0
38,24,0,38119,15,10,4,0,3,4,0,0,0,20,39,0
154,32,4,62351,11,9,2,7,0,4,1,0,0,40,39,0
234,44,4,423119,11,9,4,8,1,4,1,0,0,35,39,0
59,61,4,184553,11,9,2,6,0,4,1,0,0,45,39,0
200,51,3,87653,12,11,1,9,0,4,1,0,0,42,39,1
321,28,4,241193,15,10,4,4,3,3,0,0,0,45,39,0
217,36,4,158208,9,13,2,1,0,4,1,0,1887,40,39,1
53,39,4,246820,9,14,2,4,0,4,1,0,0,48,39,0
434,31,4,63719,15,10,4,12,1,4,1,0,0,40,39,0
460,37,4,219478,10,8,2,2,0,4,1,0,0,42,39,0
250,42,4,134895,10,8,2,7,0,4,1,0,0,45,39,0
475,22,1,302592,16,12,2,11,1,4,1,0,0,45,39,0
447,29,4,192837,9,13,2,6,1,4,1,0,0,40,39,0
389,67,4,193863,6,5,6,0,2,4,0,0,0,20,31,0
455,38,4,245987,9,12,5,1,3,2,0,0,0,55,39,0
25,35,4,412331,15,10,2,4,0,4,1,5918,0,40,39,1
182,60,7,201982,11,10,2,9,0,4,1,0,0,45,39,1
23,39,6,246579,11,9,3,12,4,2,0,0,0,42,39,0
345,25,4,293847,15,10,3,3,5,4,0,0,0,42,39,1
307,26,4,141240,12,10,3,1,0,4,1,0,0,40,39,0
28,41,4,221183,11,9,3,7,4,4,0,0,0,40,39,0
306,30,4,173419,15,10,0,4,4,4,0,4000,0,60,39,0
300,38,4,183419,12,10,5,6,1,4,0,0,0,42,39,0
106,50,4,192219,11,9,2,6,1,4,1,0,0,52,39,0
85,48,4,239411,10,9,2,10,0,4,1,0,0,40,39,1
149,43,4,213995,11,9,2,8,0,4,1,0,0,48,39,1
258,40,6,49421,11,9,2,5,5,4,0,0,2000,12,39,0
484,31,4,65432,11,9,4,7,1,4,1,0,0,40,39,0
395,62,5,129388,11,8,0,4,1,4,0,0,0,32,39,0
218,26,4,118514,4,3,4,12,3,1,0,0,0,20,40,0
334,48,4,345678,11,9,2,2,0,4,1,3000,0,40,39,0
363,35,4,191821,14,12,2,5,1,2,0,0,0,42,35,0
199,45,4,76543,11,9,4,12,0,4,0,0,1200,42,39,1
496,29,7,40659,9,13,4,10,3,4,1,7049,0,40,39,0
340,45,6,145678,12,10,3,9,5,1,1,0,0,50,10,0
373,24,4,162839,16,12,4,7,3,4,0,0,0,30,39,0
296,58,4,281441,14,10,3,8,1,4,0,0,0,40,39,1
326,51,4,261188,11,9,2,3,0,4,1,0,0,60,39,1
472,27,0,283109,14,11,2,5,0,4,1,0,0,50,39,0
327,29,4,299325,15,10,2,7,0,4,1,0,0,50,39,0
259,32,4,181156,11,9,4,10,3,4,1,0,0,40,39,0
186,29,0,123654,9,13,4,6,1,4,1,0,0,42,39,0
169,22,4,238310,5,4,4,8,2,1,0,0,0,32,17,0
62,29,4,305192,6,9,4,11,3,4,1,0,0,50,39,0
347,49,3,264895,12,10,4,9,3,1,0,0,0,58,39,1
93,55,6,121182,13,9,0,5,1,4,0,0,0,48,39,0
26,29,0,133611,11,9,4,0,3,4,0,0,0,35,39,0
214,55,4,162542,11,9,4,11,4,4,1,0,0,40,39,0
403,25,4,189201,14,10,4,9,3,4,0,0,0,20,39,0
422,54,4,191844,8,10,2,6,5,4,0,0,0,40,39,0
101,44,4,167842,11,9,2,10,1,4,1,0,0,42,39,0
416,58,6,558421,16,12,5,11,0,4,1,15000,0,36,39,1
64,49,4,192340,12,15,2,6,5,4,0,0,0,30,39,0
480,38,4,123456,10,8,2,9,0,4,1,0,0,45,39,1
330,51,4,123456,10,11,2,5,0,4,1,2000,0,42,39,0
139,50,4,193456,12,10,4,11,2,4,1,0,0,40,39,0
425,36,4,221218,9,13,4,7,1,4,1,2000,0,50,39,0
123,41,6,261351,9,13,1,11,0,4,1,4000,0,45,39,1
439,50,4,124871,11,9,4,7,1,4,1,0,0,40,39,0
206,44,2,69794,7,14,2,8,0,4,1,0,0,50,39,1
71,38,4,248911,12,10,3,11,1,2,0,0,1398,45,39,1
88,51,4,294191,9,13,2,11,0,4,1,0,0,40,39,1
405,51,2,221501,11,13,2,11,5,4,0,3500,0,42,39,1
187,44,6,168219,11,10,2,8,0,4,0,0,0,45,39,1
42,62,4,342193,14,11,2,11,0,4,1,0,0,50,39,1
228,50,6,172351,9,13,2,10,1,4,0,15024,0,40,39,1
399,43,2,149292,13,9,2,11,3,1,0,99999,0,38,30,1
381,42,4,74219,9,13,3,11,1,4,1,0,0,35,39,0
364,46,4,261094,9,6,4,11,4,1,1,0,0,30,15,0
120,38,6,248731,10,12,2,9,5,4,0,0,0,45,39,0
211,49,4,105438,10,8,4,9,3,4,0,0,0,20,39,0
118,39,6,224876,10,8,2,4,1,4,1,0,0,42,39,0
266,25,7,179631,7,10,1,4,0,4,1,0,0,38,39,0
251,38,4,217419,12,10,4,9,3,4,0,0,0,35,39,0
124,64,4,149813,16,10,6,5,1,4,0,0,0,40,39,0
284,35,4,56789,14,13,2,5,1,4,1,0,0,50,39,0
163,34,6,129480,14,16,2,12,5,4,0,0,0,55,39,1
184,49,2,175654,10,16,2,11,0,4,1,0,0,40,39,0
195,44,4,98765,9,13,0,8,1,4,0,0,1100,46,39,1
185,58,4,191421,12,11,0,5,4,4,0,0,0,38,39,0
33,25,0,29215,15,10,4,0,3,4,0,0,0,20,39,0
158,50,0,143154,9,13,6,0,1,4,0,0,0,40,39,1
180,42,4,183421,12,11,2,3,5,4,1,0,0,38,39,0
204,55,5,69217,11,10,2,10,0,1,1,0,0,40,19,1
377,59,6,214391,12,8,2,12,0,4,1,0,0,60,39,1
0,38,4,186421,10,11,4,9,1,4,0,0,0,45,39,0
394,25,4,239182,9,14,4,7,4,4,1,0,0,44,39,0
316,35,4,221444,16,9,1,14,2,4,0,0,0,45,39,1
135,46,4,213459,9,13,3,5,0,4,0,0,0,38,39,0
328,59,6,90112,11,9,2,5,0,1,1,0,0,75,39,0
343,29,3,278943,16,11,5,6,1,1,0,0,0,55,39,1
152,52,0,191005,9,13,6,0,1,4,1,0,0,40,0,1
233,19,4,195477,3,9,4,10,3,4,0,0,0,25,39,0
27,46,4,269841,15,10,2,13,0,4,1,0,0,60,39,0
459,21,4,134567,16,11,4,1,2,2,0,0,0,22,39,0
