,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
156,39,2,200000,12,14,2,10,0,4,1,0,0,40,39,0
23,69,4,245132,15,10,2,12,0,4,1,0,0,24,39,0
401,41,4,182345,9,13,0,10,1,4,0,12000,0,40,39,1
242,48,2,185000,9,13,2,1,0,4,1,20000,0,55,39,1
294,52,0,400000,12,14,2,0,0,4,1,0,0,55,39,1
332,29,6,183245,15,10,2,5,4,2,1,0,0,50,39,1
68,40,4,300000,10,12,4,8,3,4,1,0,0,40,26,0
319,68,0,163248,12,14,2,0,0,4,1,0,0,10,39,0
260,35,4,165000,13,12,5,7,4,4,1,0,0,50,39,1
296,43,4,210000,15,10,2,10,0,4,1,0,0,40,39,1
426,50,4,200000,5,4,4,14,1,3,1,0,0,40,33,0
270,27,4,213985,11,9,4,9,3,4,1,0,0,35,39,0
152,25,4,180000,6,8,4,11,4,4,0,0,0,25,13,0
247,42,4,280000,11,9,2,5,0,4,1,0,0,48,39,0
420,31,4,184500,11,9,4,3,1,2,1,0,0,35,39,0
50,29,3,135000,10,12,3,5,1,4,1,0,0,42,39,0
103,50,6,50000,11,9,2,1,4,4,0,0,0,40,39,0
122,28,4,189000,7,11,3,9,1,4,1,0,0,40,39,0
224,37,4,380000,9,13,4,1,1,4,0,0,0,50,39,0
419,39,4,165432,11,9,4,7,3,4,1,0,0,40,39,0
350,34,4,284319,10,12,4,7,1,4,1,0,0,45,39,0
415,30,4,112456,11,9,4,3,0,4,1,0,0,40,25,0
163,36,4,112345,14,9,2,6,0,4,1,0,0,42,39,0
134,47,4,142500,9,13,2,4,0,4,1,0,0,45,39,1
12,43,4,169834,12,8,5,8,4,4,1,0,0,45,39,0
396,53,5,332100,15,10,2,10,0,4,0,12000,0,40,39,1
31,45,7,182340,14,15,2,10,0,4,1,7500,0,45,39,1
92,29,4,156321,15,10,4,6,3,4,1,0,0,30,39,0
361,61,6,312543,9,13,2,12,0,4,1,0,0,55,39,1
192,50,2,70230,14,16,0,10,5,1,1,0,0,45,19,1
205,55,1,82721,14,15,2,10,0,4,1,0,0,40,39,1
354,28,4,196543,15,10,4,7,4,1,1,0,0,42,19,0
198,33,1,65200,9,12,4,1,1,4,1,0,0,40,39,0
164,68,2,201234,4,3,2,11,0,4,1,0,0,35,39,0
33,55,2,123450,9,13,6,1,4,1,0,0,0,30,30,0
85,31,4,124633,1,7,2,3,3,4,1,2300,0,30,39,0
214,56,6,158732,9,12,0,10,1,4,0,0,0,40,39,0
279,52,4,112345,15,10,2,3,0,4,0,0,0,40,39,0
451,29,7,43219,10,12,4,6,1,4,1,0,0,38,39,0
259,36,7,178901,9,13,5,10,1,4,1,0,0,30,39,0
200,39,4,194992,11,9,4,6,3,4,1,0,0,40,39,0
109,25,4,115000,7,12,4,1,3,4,1,0,0,42,39,0
141,29,4,187234,11,9,4,10,3,4,0,0,0,38,39,0
301,28,4,142000,8,11,4,7,3,4,0,0,0,35,39,0
292,45,4,210000,11,9,5,3,1,4,1,0,0,40,39,1
79,32,5,112345,10,12,2,8,0,4,1,0,0,50,39,1
