,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
3747,24,2,401148,15,9,4,5,2,2,1,2,0,40,38,0
5101,31,2,107844,5,12,2,9,0,4,0,0,0,44,38,0
2504,19,2,188573,14,9,2,8,0,4,1,8,0,66,37,1
5635,33,2,226765,13,6,2,6,1,4,0,7415,0,39,38,0
694,45,2,183662,8,12,2,3,0,4,1,3651,0,59,38,1
522,45,2,221127,11,11,0,0,1,4,1,4,0,31,38,0
1400,26,2,167753,11,10,4,3,1,4,1,0,0,40,37,0
593,39,0,128308,11,9,2,2,1,4,1,7,0,39,38,0
3137,60,2,75467,10,8,2,11,0,4,1,3444,128,40,37,0
2170,46,2,45255,11,10,2,5,0,4,1,0,0,50,37,1
1751,56,2,32336,9,13,2,3,3,4,0,3294,0,44,38,1
3753,33,2,113749,14,12,2,8,0,4,1,5,211,39,37,0
3867,64,2,950605,14,10,6,5,4,4,0,0,0,40,38,0
5496,39,2,166160,8,12,2,3,0,2,1,7521,1801,42,38,1
989,35,4,189090,11,9,4,3,1,4,0,3,0,35,38,0
3513,47,2,547152,0,8,2,10,0,4,1,3478,0,40,38,0
5522,39,2,165224,0,10,2,10,0,4,1,2,0,49,38,1
3795,19,2,35752,10,8,4,6,1,4,0,0,0,30,37,0
3123,41,2,23681,9,4,6,3,0,4,1,0,0,39,38,0
2724,21,1,165661,14,9,4,8,3,4,1,2,0,59,37,0
375,37,2,270173,8,13,2,2,0,4,1,6,0,44,37,1
3919,50,2,43598,8,12,2,3,0,4,1,2,0,82,37,0
2078,45,2,191953,11,9,4,3,1,4,1,3812,0,40,38,1
2867,38,2,158116,10,8,6,2,0,4,0,5,0,69,37,0
3320,38,2,199681,13,9,4,6,4,4,0,0,0,16,38,0
5335,48,2,321068,0,10,6,0,3,2,0,0,0,49,38,0
3386,28,4,124739,9,12,2,8,0,4,1,0,0,49,37,1
4823,36,4,322420,8,10,2,1,1,4,1,0,0,45,38,1
1470,50,4,247150,11,9,2,2,0,4,1,0,0,39,6,0
4542,40,2,245051,9,13,2,12,0,4,1,0,0,59,38,0
2311,21,5,228023,0,10,5,11,3,4,1,0,0,12,38,0
3211,40,2,206133,14,13,2,8,5,4,1,0,0,39,37,0
1360,19,2,118885,14,10,4,0,2,2,0,0,0,35,38,0
5122,46,2,120523,8,10,2,8,0,4,1,4,0,25,37,1
4704,44,2,178531,5,9,4,9,4,4,0,0,0,39,38,0
1785,22,2,342025,14,9,4,6,1,1,0,0,0,39,37,0
5167,35,2,163054,15,10,4,2,3,4,0,6,0,35,38,1
429,39,3,43365,15,10,4,12,3,4,1,8,0,41,37,0
4102,38,2,263698,0,12,4,9,1,4,0,1408,0,49,37,0
1348,22,0,257452,11,12,2,0,5,4,1,9,0,11,38,1
