,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
386,28,2,309411,9,13,3,6,2,4,0,0,0,40,38,0
5493,89,2,1484705,15,16,2,13,0,2,1,99999,0,1,40,1
1758,30,2,172559,7,11,5,6,1,4,0,0,0,40,38,0
1049,43,2,192212,11,9,4,7,4,1,0,0,0,40,31,0
4538,20,1,179915,0,6,4,0,1,4,1,0,0,55,38,0
3091,23,2,51213,9,13,4,8,1,4,1,0,0,40,38,0
3175,49,2,32086,0,6,2,3,0,0,1,0,0,40,38,0
376,17,2,1484705,15,16,2,13,0,4,1,99999,0,1,40,0
5363,33,2,168257,15,10,2,0,0,4,1,0,0,40,38,0
3320,40,2,123403,15,10,0,6,1,2,0,0,0,32,38,0
5143,23,2,200632,15,10,4,3,1,4,0,0,0,40,38,0
3502,21,2,160243,15,10,4,10,3,4,1,0,0,40,38,0
4828,25,2,257749,0,6,2,3,0,4,1,0,0,40,38,0
849,90,2,1484705,15,16,2,13,0,4,1,99999,0,1,40,0
4371,29,2,197316,11,9,4,3,3,4,1,0,0,40,38,0
3667,23,2,279552,11,9,2,0,0,4,1,0,0,40,38,0
4881,17,2,1484705,15,16,0,0,0,4,1,99999,0,1,40,0
4750,20,2,437707,1,9,4,7,1,2,0,0,0,40,38,0
4572,59,4,27468,12,14,4,9,1,4,0,0,0,38,38,0
2535,53,2,162889,11,9,2,9,5,4,0,85814,0,40,38,1
4353,22,2,403650,9,9,4,3,1,4,1,0,0,40,38,0
1686,54,2,295593,11,9,2,4,0,4,1,0,0,40,16,0
550,28,2,249864,11,9,4,7,1,1,0,0,0,35,11,0
3299,20,2,133065,15,10,4,7,3,4,1,7141,0,20,38,0
5786,33,0,195324,11,9,5,5,4,4,1,0,0,45,38,0
1542,42,2,205078,11,9,2,0,0,4,1,0,0,48,38,1
3233,17,5,1484705,15,16,0,0,0,4,0,99999,0,1,40,0
2274,22,2,188755,11,9,4,0,1,4,0,0,0,40,38,0
5633,51,4,147023,8,12,2,7,0,4,1,0,0,35,38,0
499,61,4,351388,11,9,2,7,0,4,1,0,0,44,38,0
3812,47,2,132096,11,9,2,6,0,4,1,0,0,40,38,0
3849,17,5,1484705,15,16,6,0,0,4,1,99999,0,1,40,0
4901,46,4,145829,15,10,2,7,0,4,1,0,0,50,38,0
1707,46,1,172217,9,13,2,3,0,4,1,0,0,50,38,1
558,35,2,219974,9,13,4,6,1,4,1,0,0,40,38,0
911,58,2,114937,11,9,2,2,0,4,1,0,0,40,38,0
1425,21,2,294984,15,10,4,0,3,4,1,0,0,24,38,0
3946,39,2,20075,9,12,0,3,1,4,0,0,0,40,38,0
4214,47,5,159772,11,9,0,9,4,4,0,0,0,40,38,0
4997,39,5,100971,15,15,0,9,3,4,1,0,0,55,38,0
244,28,2,246476,9,13,4,3,3,4,1,0,0,40,38,0
3865,21,4,357095,15,10,4,6,3,4,1,0,0,40,38,0
61,36,2,479095,11,9,0,5,1,4,0,0,0,40,38,0
2924,36,2,199490,15,10,2,11,3,4,0,0,0,55,38,0
1192,71,2,175090,9,13,2,7,0,4,1,0,0,2,38,0
1489,18,2,246799,11,9,4,4,3,4,1,0,0,40,38,0
4028,41,4,178866,11,9,4,3,1,4,1,0,0,45,38,0
5007,51,2,218160,11,9,2,9,0,4,1,0,1887,40,38,1
1920,43,4,289583,8,13,2,6,0,4,1,0,0,40,38,0
4567,27,2,111254,11,9,4,9,1,4,1,0,0,40,38,0
1882,42,2,121721,9,13,0,13,1,4,1,0,0,44,38,0
714,59,2,195905,11,9,2,7,0,4,1,6241,0,40,5,1
2557,34,2,300158,15,10,4,0,1,2,0,0,0,40,38,0
1158,17,2,1484705,15,16,2,0,0,2,1,99999,0,1,40,1
3163,24,2,244559,15,10,4,7,3,4,1,0,0,40,38,0
1657,28,2,64271,11,9,2,2,0,4,1,0,0,40,38,0
5853,57,2,29663,11,9,2,9,5,4,0,0,0,35,38,1
4741,22,2,162646,9,13,4,6,1,4,0,0,0,20,38,0
1477,38,1,231583,9,13,2,4,5,4,0,0,0,40,38,1
1573,31,2,130714,15,10,2,7,0,4,1,0,0,50,38,1
3005,33,2,108353,11,9,5,0,4,4,0,0,0,50,38,0
93,38,0,346332,12,14,2,10,0,4,1,0,0,45,38,1
4818,60,2,260996,9,13,2,9,0,4,1,15024,0,40,38,1
1852,30,2,209068,11,9,2,13,0,4,1,0,0,50,38,0
4104,21,2,358808,11,9,4,6,3,4,1,0,0,5,38,0
5918,19,2,298326,15,10,4,0,3,4,1,0,0,30,38,0
2276,56,2,229105,15,10,2,11,0,4,1,0,0,40,38,0
