,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
3405,85,1,18827,12,16,6,0,3,1,1,50870,1705,16,40,0
4158,88,0,18827,13,16,5,0,3,1,0,31234,1705,52,40,1
3478,83,6,18827,0,16,6,6,3,3,0,50870,1705,1,40,0
4541,85,6,18827,12,9,1,3,2,1,1,43239,1705,16,40,1
3229,54,3,18827,12,6,5,0,4,3,0,31245,0,1,26,1
1610,83,0,18827,12,16,5,0,3,1,0,31234,1709,16,40,1
1979,83,6,18827,12,16,5,0,2,3,0,31245,1033,16,31,0
1342,85,0,18827,12,16,6,6,3,3,0,13579,1349,16,37,1
4351,90,0,18827,12,16,6,0,3,2,0,50870,1705,16,40,1
1416,88,0,18827,12,16,6,0,3,3,0,50870,1705,16,40,0
3532,88,6,18827,12,16,5,0,2,1,0,17705,1578,16,31,1
4159,83,6,18827,12,16,1,0,5,0,1,31234,4356,20,40,1
5374,90,5,18827,12,16,6,3,3,1,1,50870,1705,34,40,1
1298,78,3,298054,13,16,5,3,1,0,0,0,0,37,0,1
1554,85,0,18827,0,14,5,0,2,2,0,31234,1705,1,40,1
4590,76,0,18827,12,16,6,0,3,3,0,46873,4356,16,40,1
4586,76,0,98870,12,16,5,0,3,3,0,50870,1764,37,40,1
2114,85,6,18827,13,16,3,0,3,3,0,31234,1705,34,40,1
5609,88,6,18827,1,16,6,10,2,0,1,0,0,16,40,1
4003,85,0,18827,12,16,6,0,5,1,0,50870,1705,16,31,0
4233,90,1,113183,13,16,5,0,3,3,0,49193,0,34,39,1
5227,90,6,18827,12,16,5,0,3,2,0,50870,1310,16,40,1
3407,85,6,18827,12,16,3,0,5,1,0,50870,1705,16,40,1
5619,78,5,271289,13,16,5,6,2,3,0,29784,0,1,32,1
2992,90,1,86026,0,9,5,0,5,3,1,23804,1641,16,40,0
3954,90,0,18827,12,16,5,0,2,3,0,50870,1705,16,40,0
2410,90,6,156144,9,16,6,0,3,3,0,30910,1068,1,40,1
5958,44,6,99444,14,16,5,6,5,1,1,8122,1612,16,40,1
2824,85,6,18827,0,16,6,0,5,3,1,31257,1705,16,34,1
5491,83,6,18827,12,16,5,0,2,3,0,24066,1228,1,40,1
2420,88,6,18827,9,16,5,0,3,1,0,50870,810,20,27,0
5588,48,1,18827,13,12,6,0,5,3,0,31234,1705,16,27,1
3834,78,0,18827,7,16,5,0,2,1,0,22421,1646,16,40,1
3252,90,6,86026,13,16,5,0,2,3,0,23286,852,20,40,1
1317,76,0,18827,12,8,5,0,2,2,0,50870,4356,16,40,0
2828,90,5,21507,0,16,6,12,3,2,0,30910,1670,1,25,1
4683,85,0,18827,12,8,5,0,5,3,1,31234,1705,16,27,1
5630,90,6,18827,0,16,6,0,3,1,0,31234,1705,16,40,1
3964,90,1,18827,12,6,5,0,3,2,0,50870,1705,16,40,0
3063,76,6,18827,12,16,5,0,2,3,0,30910,1705,1,27,1
1963,79,3,164844,0,16,6,4,4,3,0,2424,640,1,38,0
5775,83,6,93824,0,16,6,0,2,1,0,17312,1100,1,40,1
4747,88,0,18827,12,16,6,0,3,1,0,31234,4356,16,40,1
4069,85,5,18827,12,16,5,0,3,1,1,24063,1705,16,40,1
2565,85,0,99444,12,9,5,0,2,3,0,31234,1705,16,40,0
5056,85,6,18827,13,16,6,0,3,1,0,27898,0,1,40,0
4712,90,0,18827,12,16,1,0,3,0,1,17422,1705,34,33,1
3118,85,1,18827,12,16,5,0,2,3,0,50870,1705,16,40,1
1687,54,3,18827,6,16,0,0,3,3,0,20732,0,37,22,1
3259,44,0,18827,9,16,6,0,2,3,0,22501,1705,16,38,0
2094,63,6,18827,0,9,6,0,2,1,1,18631,1705,20,40,1
381,44,6,18827,8,16,6,6,5,3,1,9035,899,34,0,1
1214,76,6,18827,13,16,5,0,3,2,0,42471,1641,16,40,1
1725,44,0,81805,2,12,6,12,2,1,0,11140,4356,16,23,1
1028,88,1,18827,12,8,6,5,2,3,0,31245,1705,16,40,0
3098,76,1,18827,14,16,5,3,5,3,0,20946,950,37,40,1
1418,90,1,18827,0,16,5,0,2,1,0,49275,1705,44,27,1
3030,90,6,18827,12,6,5,0,2,2,0,50870,1705,16,40,1
3656,54,6,163543,13,16,6,0,4,3,0,99999,802,34,40,1
6003,44,6,18827,12,16,6,0,3,1,0,31245,1705,1,40,0
1602,85,6,18827,0,16,5,0,3,3,0,31239,1764,16,33,0
1927,83,6,18827,0,16,5,0,2,1,0,31263,1705,16,40,1
5180,90,4,18827,12,16,6,0,2,3,0,31239,1056,1,40,1
2403,90,0,18827,9,16,5,0,3,3,0,50870,0,16,40,1
2028,76,0,18827,12,16,5,0,3,3,0,50870,1705,16,40,1
1404,85,6,18827,13,16,5,0,2,1,1,48108,1705,25,24,1
1046,44,6,18827,12,16,6,0,2,1,0,31257,1649,1,40,1
5217,76,3,99444,12,16,5,0,3,2,0,26446,1709,16,27,1
2505,48,6,18827,13,16,6,6,3,3,0,29091,1705,16,40,1
179,85,0,18827,13,12,5,0,5,1,0,31234,808,16,40,0
2834,72,0,18827,0,16,5,6,2,3,0,0,1267,1,40,1
324,90,6,18827,12,16,1,0,4,0,0,50870,1705,16,40,1
2378,88,6,18827,12,8,6,0,4,3,0,31234,1705,16,27,1
81,90,0,18827,0,16,6,0,2,1,0,31234,1705,16,40,0
4402,90,6,18827,0,7,5,0,2,1,0,6578,4356,37,26,1
1426,90,6,18827,0,16,5,0,2,1,0,31245,516,16,40,1
4201,75,6,296994,2,12,3,0,3,3,0,50870,958,1,32,1
3671,90,3,99444,13,16,5,0,5,1,0,25875,0,1,40,1
4889,48,3,18827,12,16,6,0,2,0,0,22058,1705,1,40,1
3215,88,0,18827,13,8,5,6,4,3,0,13815,0,1,40,1
2156,44,6,18827,12,16,1,0,2,1,1,50870,1705,16,40,1
2154,85,1,18827,8,16,5,0,5,2,0,25553,4356,16,31,1
3127,85,6,179829,15,16,1,0,3,1,0,0,0,1,36,1
441,88,6,18827,0,12,5,0,3,3,0,31234,768,52,40,1
2785,90,6,18827,13,8,6,0,2,1,0,31234,1631,16,40,1
4218,88,5,108591,15,11,6,0,2,3,0,11224,0,19,29,1
2706,90,4,115667,13,16,6,0,4,1,0,23942,748,16,40,1
5070,85,4,18827,12,16,1,0,2,3,0,30910,1705,16,40,1
1478,83,0,93824,0,16,0,0,3,1,0,21526,295,16,40,1
3385,90,6,18827,12,16,6,0,3,3,0,32784,1705,16,27,1
5534,90,1,18827,12,16,5,0,4,1,0,16647,1705,49,35,1
3420,76,0,18827,0,7,3,0,2,1,1,10023,1298,37,40,1
189,90,0,137776,6,16,5,0,3,2,0,22407,0,20,18,0
1127,48,6,18827,9,12,5,0,2,3,1,31234,1705,16,40,1
1362,85,6,86026,12,16,5,3,3,3,0,31269,1685,16,40,1
502,85,0,98870,13,16,6,0,3,0,0,48631,111,1,40,1
4575,73,6,18827,12,16,5,0,2,3,0,36856,1018,20,40,1
225,90,6,18827,12,16,5,0,2,1,0,31245,1705,52,40,1
3971,48,6,18827,13,8,1,0,5,1,1,50870,0,16,40,1
5665,52,6,18827,12,16,6,0,5,1,1,0,1683,20,15,1
