,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
115,52,4,190000,11,9,0,1,1,4,0,0,0,41,39,0
137,40,4,30000,8,11,4,3,1,4,1,0,0,41,39,0
488,65,1,120000,7,12,2,11,0,2,1,0,0,42,39,0
11,35,4,98765,15,10,2,3,0,4,1,0,0,42,39,0
451,28,5,160000,12,10,3,8,1,2,1,0,0,32,39,0
430,22,2,189456,10,12,4,5,2,3,1,0,0,38,39,0
200,50,3,120000,10,14,2,6,0,3,0,0,0,42,39,1
314,37,1,199876,12,13,0,8,4,4,0,1000,0,48,39,1
38,23,0,34600,15,10,4,0,3,4,0,0,0,21,39,0
438,30,5,160000,11,9,0,4,1,3,0,0,0,42,39,0
265,36,4,198765,7,12,2,10,0,4,1,0,0,50,39,1
270,45,4,28000,9,13,5,4,4,4,1,0,0,58,39,1
496,26,7,40000,9,13,4,10,3,4,1,7000,0,40,39,0
441,22,3,160000,2,8,4,7,1,2,1,0,0,38,39,0
388,66,0,345678,5,4,6,0,2,4,0,0,0,18,31,0
365,24,4,210000,15,10,4,7,4,1,1,0,0,38,40,0
37,43,4,256000,11,9,2,7,0,4,1,4300,0,49,39,1
457,50,4,180000,6,5,4,13,1,3,1,0,0,47,33,0
247,45,4,345678,11,9,2,6,0,4,1,5000,0,40,39,1
208,28,4,100000,15,10,4,1,1,4,1,0,0,40,39,0
60,46,3,210000,10,12,2,5,0,4,1,0,0,42,39,1
313,23,4,150987,7,9,3,11,3,4,0,0,0,35,39,0
1,47,4,135000,13,14,4,9,1,2,1,0,0,38,39,0
127,36,2,150000,15,11,2,8,5,4,0,0,0,42,39,0
49,72,4,240000,15,10,2,14,0,4,1,0,0,18,39,0
464,45,6,320456,1,7,2,5,0,4,1,0,0,85,39,0
154,52,0,456789,8,10,6,2,1,4,0,0,0,40,39,1
97,49,4,167890,11,9,2,10,0,4,1,0,0,39,39,1
436,27,3,178654,11,9,4,12,3,4,1,0,0,40,39,0
169,50,5,205432,7,12,2,1,0,4,1,0,0,60,39,1
495,59,4,320123,15,10,2,3,5,4,0,9500,0,40,39,1
299,38,4,115000,11,9,4,1,3,4,0,0,0,48,39,0
447,29,4,220000,14,11,2,3,0,4,1,0,0,41,39,0
319,50,4,340123,15,10,2,14,0,4,1,0,0,55,39,1
321,28,3,195678,10,12,4,5,3,3,0,0,0,37,39,0
219,39,1,142345,14,15,2,10,0,4,1,0,0,40,39,1
376,48,4,178234,15,10,2,9,0,4,1,0,0,50,39,1
413,61,3,456789,12,13,1,8,1,4,0,0,0,42,39,1
150,39,5,123456,10,12,2,10,0,4,1,0,0,42,0,0
286,34,4,789012,7,12,2,13,0,4,1,0,0,40,39,0
102,34,6,210987,9,12,2,2,4,4,1,0,0,45,39,0
194,41,2,210987,13,16,2,7,0,4,1,0,0,70,39,0
103,28,7,300123,8,11,4,9,0,2,0,0,0,32,39,0
178,20,6,140000,15,10,4,2,3,4,0,0,0,20,39,0
443,35,6,300000,9,14,0,9,1,4,1,15000,0,40,39,1
14,39,4,189234,11,9,2,3,0,4,1,0,2000,43,39,1
87,46,4,156789,9,13,2,10,0,4,1,0,0,37,39,1
16,54,4,51234,10,16,2,4,0,4,1,0,0,58,39,1
245,52,4,125678,14,15,2,10,0,4,1,0,0,48,39,1
352,29,4,150000,11,9,2,14,0,4,1,0,2100,45,39,0
435,31,4,154321,14,11,4,9,2,1,1,0,0,39,12,0
420,36,4,210000,11,9,2,14,0,3,1,0,0,38,6,0
48,28,5,125000,6,5,4,3,3,4,1,0,0,42,39,0
123,46,6,210123,9,14,2,12,0,4,1,0,0,48,39,1
12,38,4,162534,11,9,5,7,4,4,1,0,0,40,39,0
180,34,4,145678,7,12,0,4,1,4,1,0,0,38,39,0
113,34,2,140000,11,9,2,1,5,1,0,0,0,38,4,1
59,60,4,182553,11,9,2,6,0,4,1,0,0,46,39,0
394,28,4,134567,13,15,0,10,1,4,1,0,0,45,39,0
262,52,4,172345,14,16,2,3,4,4,0,0,0,45,7,1
356,37,0,170000,9,13,2,0,0,4,1,0,0,22,39,0
296,44,4,140000,15,10,5,1,3,4,0,0,0,38,39,0
337,43,4,174000,7,12,0,13,4,4,0,0,0,39,39,0
381,62,4,123456,10,11,3,5,4,4,0,0,0,40,39,0
384,58,4,789012,6,5,2,7,0,4,1,0,0,50,39,0
403,32,2,135000,12,14,4,1,1,4,0,0,0,39,39,0
107,37,4,234567,6,13,2,12,5,4,0,0,0,55,39,0
210,41,4,137562,10,14,2,1,0,4,1,0,0,40,39,1
57,55,4,445089,1,7,0,12,1,4,0,0,0,41,39,0
