,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
389,38,4,184320,9,7,0,1,1,4,1,0,0,40,39,0
131,38,4,162000,15,10,0,8,4,4,0,0,0,40,39,0
264,27,4,180000,7,12,2,3,0,4,1,0,0,40,39,0
331,55,3,189012,13,10,0,11,1,4,1,1200,0,45,39,1
199,36,4,118200,10,12,2,10,0,4,1,0,0,40,39,1
190,37,3,138500,10,12,1,8,2,4,0,0,0,42,39,0
22,24,4,102394,15,10,4,1,1,4,0,0,0,30,39,0
121,52,6,290000,14,12,1,9,0,4,1,5000,0,55,39,1
172,45,4,167890,10,12,2,9,5,1,0,0,0,30,36,1
350,32,4,198450,11,9,4,1,1,4,1,0,0,40,39,0
106,22,4,120000,8,7,4,8,2,4,1,0,0,25,39,0
228,37,4,267890,12,14,4,4,1,4,0,0,0,50,39,0
32,28,0,100000,11,9,4,13,3,4,0,0,0,30,39,0
181,54,4,220000,11,9,2,7,5,4,0,0,0,40,39,0
47,29,4,102345,11,9,4,12,3,2,1,0,0,40,39,0
386,58,4,104235,11,9,4,7,1,4,0,0,0,38,39,0
426,29,4,284000,12,13,0,12,1,4,1,0,0,50,39,0
270,35,4,198450,11,9,4,7,3,4,0,0,0,45,39,0
383,61,4,117543,15,10,3,13,1,4,0,0,0,30,39,0
287,44,4,183000,11,9,5,8,1,4,0,0,0,40,39,0
384,34,7,345689,13,11,0,12,1,4,1,0,0,40,39,0
33,54,2,135000,9,13,6,1,4,1,0,0,0,30,30,0
431,25,4,89500,15,10,4,1,5,4,0,0,0,38,39,1
65,25,4,134567,15,11,3,1,1,3,0,0,0,30,39,0
112,31,4,150000,9,7,3,9,3,2,1,0,0,35,2,0
374,88,4,298765,1,7,2,3,0,4,1,0,0,38,39,0
259,22,4,132450,11,9,4,3,3,4,0,0,0,25,39,0
233,42,4,115230,14,13,2,1,0,3,1,0,0,40,39,0
208,26,4,125000,11,10,4,6,3,4,1,0,0,40,39,0
218,35,6,210987,11,9,2,10,0,4,1,0,0,40,39,0
445,38,4,110000,15,10,2,1,3,4,0,0,0,38,39,0
83,27,4,98765,11,9,4,4,3,4,0,0,0,35,39,0
183,49,4,150000,15,10,0,1,4,4,0,0,0,45,39,0
87,49,4,24567,9,13,2,10,0,4,1,0,0,35,39,0
154,33,4,189012,9,13,2,6,0,4,1,0,0,40,39,0
448,24,4,300000,1,7,0,12,2,4,0,0,0,20,39,0
265,25,4,450000,15,10,4,12,3,4,1,0,0,40,39,0
390,41,4,198345,10,12,2,9,0,4,1,0,0,35,39,0
320,42,3,165000,13,9,5,9,2,1,0,0,0,50,39,0
20,35,4,154892,11,9,2,7,0,4,1,0,0,45,39,0
393,29,3,305420,9,13,4,5,1,4,1,0,0,50,39,0
240,33,4,215430,10,12,3,9,1,4,1,0,0,45,39,0
88,47,4,223456,15,10,2,3,0,4,1,0,0,50,39,1
212,28,4,234567,9,12,4,4,3,4,1,0,0,45,39,0
288,28,7,22000,7,12,4,1,1,4,1,0,0,40,11,0
369,57,6,90000,11,9,2,12,0,4,1,0,0,50,39,0
269,28,4,150000,11,9,4,4,1,4,0,0,0,50,39,0
123,41,4,180000,9,13,2,11,0,4,0,0,0,40,39,0
157,30,7,198765,11,9,4,11,3,4,1,1500,0,40,39,0
296,46,4,142658,7,12,2,3,0,4,1,0,1500,48,39,1
2,27,6,198234,11,10,4,5,1,4,1,0,0,35,39,0
42,62,0,32109,5,4,2,0,0,4,1,0,0,35,39,0
68,55,4,201567,7,10,2,10,5,4,1,0,0,40,26,1
279,44,4,109876,11,9,4,1,3,4,0,0,0,50,39,0
195,31,4,108100,9,13,4,10,1,3,1,0,0,40,39,0
286,30,4,198000,11,9,0,4,4,4,0,2500,0,50,39,0
213,24,4,512345,1,6,4,10,1,1,0,0,0,48,39,0
73,42,4,190234,11,9,4,2,4,4,0,0,0,65,39,0
135,56,4,155000,11,9,0,14,1,4,1,0,0,56,39,1
341,25,7,58923,12,11,4,8,3,4,0,0,0,20,39,0
113,42,4,200000,11,9,2,2,0,4,1,1500,0,40,39,1
137,40,4,30000,8,11,4,3,1,4,1,0,0,42,39,0
411,29,4,123456,9,8,4,12,2,3,1,0,0,45,38,0
111,47,5,220000,12,10,1,4,1,3,0,0,0,50,39,1
353,62,4,102345,12,13,2,12,0,4,1,5000,0,50,39,1
85,31,4,138764,11,9,2,3,0,4,1,0,1840,40,39,1
362,31,4,180000,13,14,4,2,3,4,1,0,0,40,39,0
429,53,6,320000,1,7,2,9,2,4,0,0,0,40,39,0
227,50,6,298765,15,10,0,11,1,2,1,0,0,40,39,1
304,44,4,287345,15,10,2,12,0,4,1,0,0,62,39,0
78,36,4,167890,15,10,3,7,0,4,1,0,0,55,39,1
405,39,4,120000,12,14,2,10,0,4,1,0,0,42,39,1
423,41,2,165000,7,6,2,9,0,4,0,0,0,40,39,0
12,29,4,100000,10,8,4,12,1,4,1,0,0,38,39,0
15,52,4,160000,15,14,2,4,0,4,1,0,0,55,39,1
438,55,4,192000,11,9,2,8,0,4,1,0,0,40,39,0
339,31,5,345678,11,9,2,6,0,4,1,0,0,55,39,0
61,28,3,124500,14,13,1,9,0,4,0,1200,0,55,39,1
23,68,4,331255,15,10,2,12,0,4,1,0,0,20,39,0
410,52,3,178432,13,12,5,6,1,4,1,0,0,35,35,0
359,44,4,187654,11,9,2,14,0,4,1,0,0,40,39,1
243,35,4,306485,10,12,2,7,0,4,1,0,0,48,39,0
54,33,4,175000,8,10,2,3,5,4,1,0,0,46,39,0
348,33,4,167890,11,9,3,7,2,4,1,0,897,40,39,0
323,35,6,210000,15,10,3,5,1,3,1,1200,0,55,10,1
138,36,4,430000,9,13,4,8,1,4,1,0,0,37,39,0
256,33,4,201900,15,10,4,8,3,2,0,0,0,40,39,0
370,45,4,198450,11,13,2,10,0,4,1,0,0,48,39,1
8,50,4,128456,10,12,2,10,0,4,1,0,0,40,39,0
299,42,4,305984,14,15,2,14,0,4,1,0,0,60,39,1
294,50,4,214785,14,13,0,10,1,4,1,0,0,45,39,1
248,60,4,135470,6,5,7,7,4,4,0,0,0,40,39,0
188,49,2,245000,11,9,2,4,0,4,1,0,0,40,39,0
435,38,4,135400,15,10,2,8,0,4,1,0,0,45,39,0
222,25,4,135467,14,11,4,1,1,4,0,0,0,40,39,0
139,57,4,67000,11,9,5,6,4,4,1,0,0,40,39,0
267,35,4,85000,15,10,2,13,0,4,1,0,0,20,39,0
326,31,4,180000,15,10,4,3,4,4,0,0,0,40,39,1
31,45,6,205000,14,15,2,10,0,4,1,12000,0,55,39,1
439,29,5,245000,9,13,2,12,0,4,1,2800,0,55,26,0
