,parents,has_nurs,form,children,housing,finance,social,health,target
469,0,2,0,0,2,0,1,0,0
98,1,0,1,2,1,1,0,0,0
80,0,0,0,2,1,1,2,0,0
224,2,2,0,2,1,1,0,2,1
331,0,0,2,1,0,1,0,2,2
454,1,4,0,3,1,0,0,2,1
155,2,4,2,1,1,1,2,0,0
402,1,4,0,2,1,1,1,2,2
472,0,3,0,2,0,1,1,0,0
58,0,1,2,3,2,1,2,1,2
260,2,2,2,0,1,0,1,0,0
424,1,1,1,2,1,0,0,1,2
293,2,0,1,3,2,0,2,2,1
270,2,0,3,2,0,1,1,2,1
117,0,1,0,1,0,0,1,0,0
78,0,4,1,1,2,0,0,2,2
122,2,3,2,3,2,1,2,1,1
367,0,3,2,0,1,0,0,0,0
141,0,0,1,2,1,0,0,1,2
76,2,4,0,3,1,1,0,2,2
177,2,4,1,3,2,1,1,2,2
438,2,0,1,1,2,0,0,1,1
56,2,3,3,2,2,1,0,0,0
199,1,3,0,3,0,0,1,2,1
129,0,4,2,1,1,0,1,2,2
318,0,3,1,3,2,1,2,1,2
193,2,4,2,2,0,0,2,0,0
36,1,3,0,0,2,1,1,1,1
369,2,1,1,0,1,0,2,2,1
312,2,0,2,1,0,0,2,0,0
234,0,2,3,1,0,0,1,1,2
205,0,0,0,3,0,1,2,0,0
242,1,0,3,1,2,1,1,1,2
100,1,3,3,2,2,0,1,0,0
220,0,3,3,1,0,0,0,2,1
252,0,4,1,3,0,1,0,1,2
40,0,4,3,0,1,1,2,1,2
276,0,3,1,0,2,1,2,0,0
106,0,1,3,1,2,0,1,2,2
46,0,1,3,0,2,1,0,1,2
139,1,4,3,2,1,0,2,0,0
466,2,1,0,0,2,1,2,1,1
471,0,1,3,1,1,1,0,2,2
53,2,3,2,1,2,0,2,1,1
493,0,0,2,1,0,0,1,1,2
190,0,4,1,0,0,1,1,1,2
353,2,2,2,2,0,1,2,0,0
43,1,0,0,2,2,1,0,1,2
110,1,0,0,3,1,1,2,2,2
15,0,2,3,2,0,0,1,2,2
82,0,4,3,3,2,1,1,2,2
360,0,0,3,3,0,0,1,0,0
37,1,4,2,3,1,1,2,0,0
433,2,1,3,3,0,1,2,1,1
1,0,4,0,2,2,0,0,2,2
44,0,1,2,2,2,0,0,1,2
149,0,3,2,3,2,0,1,0,0
382,2,2,2,1,1,0,1,1,1
478,2,1,3,0,1,0,1,2,1
325,0,2,1,0,0,1,2,1,1
289,1,1,0,0,1,0,2,2,1
249,0,4,1,0,2,1,2,1,2
150,2,0,2,1,2,1,1,1,2
384,1,0,1,2,1,1,2,1,2
163,0,2,1,0,0,0,1,0,0
425,0,2,1,2,0,1,0,1,2
405,0,4,2,1,1,1,0,0,0
0,0,4,2,2,1,0,0,0,0
42,0,0,1,2,2,0,2,1,2
258,2,4,0,1,1,0,2,2,2
39,2,2,3,0,2,0,0,1,1
162,2,2,2,2,2,1,1,1,1
279,0,4,1,0,2,0,0,1,2
243,2,4,3,2,0,0,1,2,2
396,2,2,2,2,2,0,0,0,0
298,2,2,3,3,1,1,1,1,1
483,0,2,1,0,1,1,0,0,0
495,1,4,2,3,1,0,0,2,2
121,2,4,2,2,2,0,1,0,0
311,1,2,1,2,1,1,1,2,1
267,0,4,2,3,0,0,2,2,2
436,2,3,0,2,2,1,2,0,0
400,0,2,0,2,1,1,0,1,2
55,1,3,3,2,2,1,2,1,1
5,0,0,3,2,0,0,2,2,2
93,1,4,3,2,0,0,0,0,0
348,1,3,1,3,2,1,0,2,1
63,1,2,2,2,1,0,0,0,0
290,1,1,0,3,0,1,2,0,0
118,2,4,3,2,0,0,0,2,1
388,0,4,2,0,1,1,0,2,2
385,2,0,1,0,0,0,1,2,1
59,1,3,1,2,1,1,2,2,1
181,2,4,3,2,0,0,2,2,1
305,0,2,1,1,0,1,1,2,1
420,2,4,0,3,0,0,0,1,2
422,0,4,1,1,2,0,1,1,2
114,1,4,0,2,0,1,0,0,0
468,0,4,2,0,2,0,0,1,2
27,1,2,3,0,1,0,1,1,1
