,parents,has_nurs,form,children,housing,finance,social,health,target
906,2,2,1,0,0,1,0,1,1
561,0,2,2,3,1,1,0,1,2
1517,1,3,3,0,2,1,2,1,1
2497,0,2,0,0,1,0,1,0,0
2185,0,4,0,1,0,0,0,2,2
1714,1,2,2,0,2,0,0,1,1
1598,0,1,3,3,2,1,0,1,2
1180,2,0,2,2,2,0,2,1,2
197,1,0,3,2,1,1,2,0,0
680,0,2,1,2,2,1,0,0,0
143,0,2,3,0,1,1,0,0,0
530,0,3,2,1,2,0,1,0,0
2243,1,0,3,2,1,0,2,0,0
373,0,3,3,1,1,1,0,2,1
211,1,0,1,3,0,1,2,2,0
382,0,2,3,3,0,0,0,1,1
1202,2,1,2,1,0,1,2,2,3
2033,2,4,2,2,0,1,0,1,2
2132,2,4,1,2,1,1,0,1,2
15,1,0,2,0,1,1,0,1,2
2179,2,2,2,2,1,1,1,2,1
727,2,1,2,2,1,0,2,0,0
1397,0,1,0,0,2,1,0,0,0
2503,2,4,1,0,0,0,0,2,2
2060,2,3,0,3,1,0,0,2,1
1632,0,3,3,0,1,0,2,1,1
684,2,3,1,2,0,0,2,0,0
962,2,3,0,1,2,1,0,1,1
1181,1,1,3,2,0,1,0,1,1
1774,2,3,3,1,1,0,0,2,1
1815,2,2,3,1,0,1,0,1,1
2381,2,4,3,3,2,1,0,1,2
771,2,3,2,1,2,0,2,2,1
2162,1,1,2,2,0,1,2,0,0
895,2,4,0,1,0,0,2,1,2
730,2,2,2,1,0,0,1,0,0
2082,0,0,0,3,1,1,2,2,2
383,2,1,2,2,1,0,0,2,1
228,1,2,1,0,0,1,2,1,1
1264,1,1,1,2,2,0,1,2,2
2048,0,0,3,1,0,1,2,1,2
618,2,0,3,1,1,0,1,2,2
947,0,0,1,2,1,1,2,1,2
49,1,1,3,3,2,1,0,0,0
2070,2,3,1,1,0,1,1,1,1
748,2,1,0,0,0,0,1,0,0
800,0,0,0,0,1,1,1,0,0
218,2,4,0,1,2,1,1,1,2
629,2,0,3,3,2,0,2,2,2
533,2,1,2,2,0,0,2,0,0
1592,1,3,1,3,0,1,2,2,1
2532,2,0,3,2,0,0,0,0,0
1072,0,4,1,3,1,1,2,2,0
282,2,3,3,0,1,1,0,1,1
959,2,0,2,3,2,0,2,0,0
2556,2,0,2,3,1,0,2,0,0
2442,0,1,2,3,0,1,1,2,1
575,2,2,3,2,0,1,0,0,0
792,2,2,0,2,0,1,1,0,0
703,0,1,0,3,1,1,2,0,0
939,0,1,0,3,2,1,0,2,3
2369,1,0,1,3,1,1,1,0,0
924,2,1,2,1,0,0,0,2,1
1313,1,3,1,1,1,0,1,1,1
1541,2,1,1,0,1,0,2,2,1
1738,2,1,3,2,2,0,0,1,2
69,0,2,2,1,1,0,0,2,2
469,2,1,0,0,1,0,2,0,0
707,1,2,2,1,1,1,2,0,0
2373,2,3,1,1,0,0,1,0,0
119,0,4,0,1,1,0,2,1,2
565,2,0,2,0,1,0,2,0,0
1673,2,1,3,1,1,1,1,2,1
421,0,1,0,0,1,0,0,1,2
1151,0,1,1,3,1,0,2,1,2
1950,2,3,0,2,1,1,2,1,1
1463,1,2,3,1,1,0,0,1,1
1731,1,2,3,0,0,0,2,1,1
137,2,0,2,2,0,0,2,0,0
1718,2,0,2,2,0,0,1,0,0
2326,2,4,3,0,0,0,0,1,2
1937,1,1,3,3,1,1,1,1,2
903,0,0,0,1,1,1,2,1,2
1170,1,4,3,0,2,0,0,1,2
127,1,0,3,1,1,0,2,1,2
0,2,0,0,1,0,0,1,1,2
1158,0,1,3,0,2,0,0,1,2
1733,0,0,2,3,1,0,2,1,2
1214,0,4,1,2,2,1,1,2,2
2590,1,0,3,1,1,0,1,1,2
235,1,0,2,0,2,0,0,1,2
1700,1,1,0,2,2,1,2,0,0
1167,0,0,1,2,0,1,2,2,2
1239,0,1,2,2,2,1,2,0,0
2396,1,3,1,2,1,1,2,2,1
619,2,0,1,0,1,0,1,2,1
2223,1,0,0,2,1,0,1,0,0
1996,0,3,2,0,0,0,2,2,1
27,0,3,1,3,0,0,0,0,0
1299,2,0,1,1,0,1,1,2,1
