,parents,has_nurs,form,children,housing,finance,social,health,target
1469,1,0,0,1,0,1,0,0,2
1552,2,4,0,2,2,0,1,2,0
1998,2,2,3,2,0,0,1,0,2
2087,0,4,3,3,2,0,1,1,2
458,1,4,3,3,2,0,2,1,2
2470,1,1,2,0,0,0,1,1,0
1785,1,1,0,3,1,1,0,1,0
468,2,0,2,0,1,1,2,0,2
2046,1,2,3,3,0,1,2,2,1
1208,0,4,0,0,2,0,2,1,1
2405,1,2,1,0,2,0,2,1,0
1325,2,4,0,0,0,1,1,1,0
1254,1,0,3,3,1,0,1,2,0
1006,0,2,0,3,0,0,1,0,1
740,1,2,2,3,0,1,0,2,2
16,0,3,1,2,2,0,1,2,1
2328,0,4,3,3,1,1,1,1,1
2440,1,3,1,1,1,0,1,2,0
1738,0,3,3,1,0,1,2,1,0
92,2,4,2,2,2,0,0,1,1
314,2,4,3,0,1,0,2,1,0
1865,2,1,2,2,0,1,2,2,1
1615,2,3,1,2,2,0,1,2,1
906,1,1,3,0,0,0,2,2,3
2128,2,2,3,2,1,1,1,0,1
1153,0,0,0,3,1,0,1,1,1
891,1,0,2,0,2,1,1,1,2
2158,2,3,2,3,2,1,2,0,1
971,0,1,0,3,2,1,1,0,0
1643,2,3,1,0,1,1,2,1,2
1911,1,0,2,3,2,1,0,1,2
1168,0,2,1,1,2,1,2,1,0
2334,2,3,0,1,2,0,1,1,0
2546,0,3,3,0,1,0,1,0,1
167,1,2,3,0,0,1,2,0,2
1709,0,4,1,0,0,1,2,2,2
543,1,0,3,2,0,1,0,2,1
1522,2,4,2,2,2,0,0,0,0
2122,1,2,1,1,2,1,2,1,2
1913,0,3,3,1,2,1,2,1,1
995,0,2,0,1,0,1,0,1,0
2264,0,3,2,2,1,1,0,2,2
1216,2,4,0,1,2,1,0,2,0
1163,0,3,3,1,0,0,2,2,2
2458,1,4,3,2,0,0,0,1,2
933,0,3,2,2,0,1,2,2,1
391,1,2,0,1,0,1,2,0,1
255,2,1,2,3,2,1,1,2,0
1760,1,1,2,2,0,0,1,1,1
37,2,4,1,3,2,1,0,0,2
1453,2,1,0,1,1,1,2,1,1
511,0,0,3,0,1,1,1,1,2
1949,0,0,1,3,2,0,1,0,2
2418,2,1,1,3,0,0,2,0,1
1581,0,4,0,1,0,0,1,0,2
1117,0,3,0,2,0,0,1,0,2
2591,0,0,3,2,0,1,1,0,2
898,2,1,1,1,1,0,2,2,2
2248,1,2,2,0,2,1,0,2,1
1595,1,1,3,1,1,1,1,1,1
1521,1,2,0,2,1,0,1,0,0
642,2,4,3,3,1,0,1,1,0
840,1,2,3,1,1,1,2,1,1
1970,2,0,3,1,1,0,1,1,2
1103,2,2,2,1,1,0,1,1,2
223,2,1,1,3,2,1,0,2,2
2222,2,1,3,2,0,1,1,0,0
332,1,0,0,1,2,1,2,2,2
162,1,0,0,2,2,1,2,0,0
99,1,2,3,0,1,0,2,1,1
910,1,4,3,1,1,1,2,0,0
466,0,0,2,2,0,0,2,1,1
660,1,0,0,1,1,0,1,1,0
1842,0,2,2,2,1,0,2,0,0
2569,1,0,1,1,2,1,0,0,1
2495,1,1,0,3,0,1,0,1,2
40,2,1,1,2,2,1,2,0,0
529,1,1,2,2,0,0,0,2,0
2580,2,1,1,2,0,0,0,0,1
2294,2,1,1,2,0,1,0,2,0
1904,1,1,2,3,1,0,1,1,1
832,0,3,1,1,1,0,0,0,2
1879,1,3,2,2,0,0,0,1,1
1924,0,4,2,2,1,0,2,1,2
407,0,0,2,0,2,1,2,2,1
2030,1,4,1,1,2,1,1,1,1
1640,0,0,2,2,0,0,0,1,0
1849,0,0,3,1,1,1,2,1,0
2305,2,4,1,3,1,1,1,1,0
105,1,4,0,2,0,0,1,2,0
1837,1,1,0,3,2,1,0,1,0
1914,0,1,3,0,1,1,1,0,1
2517,2,3,0,1,0,1,1,2,3
1388,1,2,0,3,0,0,0,2,0
295,0,2,0,1,2,1,0,1,1
311,1,1,1,1,0,1,0,0,2
2073,0,1,1,2,2,1,1,2,2
1309,2,3,3,3,0,1,1,0,0
1428,0,3,0,1,1,0,0,1,2
1759,1,0,0,3,0,1,0,2,2
