,parents,has_nurs,form,children,housing,finance,social,health,target
1550,0,3,0,2,1,1,2,0,3
2500,2,3,0,0,1,1,0,0,3
1878,0,3,0,2,1,1,1,0,3
2278,0,3,0,2,1,1,1,0,3
35,0,3,1,1,1,1,2,0,3
793,0,3,0,2,1,1,0,0,3
1096,0,3,0,2,2,1,2,0,3
1952,2,4,0,2,1,1,2,2,3
1950,0,2,1,2,1,1,1,1,1
2260,0,3,0,2,1,1,1,0,1
518,0,3,0,2,1,1,1,0,3
427,0,4,3,1,1,1,1,2,3
1285,0,3,0,2,1,1,1,0,3
690,2,3,3,2,1,1,1,0,0
607,0,2,0,1,1,1,2,0,3
1831,0,3,0,2,1,1,1,0,3
1299,0,3,0,2,1,1,1,0,3
1672,0,3,1,0,1,1,0,0,3
2053,0,3,0,0,1,0,2,0,3
2171,0,3,0,2,1,1,1,0,3
1304,0,3,0,2,1,1,1,0,3
1512,0,3,0,2,1,0,2,1,3
1393,0,1,2,2,2,1,1,0,3
2220,0,3,0,2,1,1,2,0,3
1370,0,3,0,2,2,1,2,2,3
1832,0,3,0,0,1,0,1,0,0
2258,0,3,0,2,2,1,1,0,3
2144,0,3,0,2,1,1,2,0,3
878,0,3,0,2,1,1,1,0,3
88,2,1,3,3,1,0,1,0,2
1937,2,3,0,2,1,1,1,0,3
2553,0,3,0,2,1,1,1,0,3
901,0,3,0,2,1,0,1,0,3
103,0,3,0,2,1,1,1,2,3
650,0,2,0,2,1,1,1,0,3
1470,2,3,0,2,1,1,1,0,3
1164,0,3,1,2,2,1,0,0,3
1077,0,3,0,2,1,1,1,0,3
198,2,3,2,2,0,1,0,0,3
1076,2,4,0,2,2,1,2,0,1
1146,0,3,0,2,1,1,1,0,3
1602,0,3,0,2,1,1,1,0,3
626,1,4,1,2,0,1,0,1,3
1405,0,3,0,2,1,1,0,0,3
1617,0,3,0,0,1,1,1,0,0
2000,0,3,0,2,1,1,0,0,3
2026,0,3,0,2,1,1,2,0,3
2193,0,3,0,0,1,0,2,0,3
703,0,3,1,2,2,1,2,1,2
1788,0,0,0,3,1,1,2,0,3
2056,0,3,2,2,1,1,2,0,3
1011,0,3,1,1,1,0,2,2,3
601,0,4,0,2,2,1,0,0,3
344,0,3,0,2,1,1,0,0,3
853,2,3,0,2,1,1,1,0,3
1389,0,3,0,2,1,1,1,0,3
1623,0,3,0,2,1,1,1,0,3
1403,0,3,0,2,1,1,0,0,3
1404,2,3,1,1,2,1,2,0,3
308,0,3,0,2,1,1,2,0,3
870,0,3,0,2,1,1,1,0,3
2210,0,3,0,2,1,1,0,0,3
128,0,3,0,2,1,1,1,0,3
1157,1,1,0,2,1,1,2,0,3
771,2,3,0,2,1,1,1,1,3
78,1,1,0,1,1,1,1,0,2
508,2,3,0,0,2,0,2,1,3
666,0,3,0,0,2,1,1,0,3
929,0,3,0,1,1,1,1,0,3
1394,0,3,0,2,1,1,1,0,3
1940,0,3,0,2,2,1,1,0,2
1291,0,3,0,2,1,1,1,0,3
2497,0,1,2,1,1,1,2,0,3
1635,0,1,0,2,1,1,0,0,3
1375,1,3,2,2,1,1,0,2,3
388,0,1,0,2,1,1,0,2,3
409,0,3,0,2,1,1,2,0,3
2293,2,1,1,2,1,1,0,0,3
1261,0,3,0,2,1,1,1,0,3
1888,0,3,0,2,1,1,1,0,3
1048,0,3,1,2,1,1,1,0,3
1121,0,3,0,2,1,1,2,0,3
309,0,4,0,0,1,1,1,0,0
39,0,1,0,2,2,1,1,1,3
1238,0,3,0,2,1,1,0,0,3
1281,2,3,1,0,1,1,1,2,1
481,0,3,0,2,1,1,0,0,3
2127,2,3,0,1,1,0,2,0,2
1946,0,3,0,2,1,1,1,0,3
2454,0,3,0,2,1,1,2,0,3
100,0,3,0,2,1,1,1,0,3
852,0,3,0,0,2,1,1,2,2
2548,2,3,0,2,1,1,1,0,3
1328,0,3,0,2,1,0,0,2,3
842,0,3,1,0,1,0,0,1,3
1839,0,3,0,2,1,1,1,1,3
1093,0,3,0,2,1,1,2,0,3
941,0,3,0,1,1,1,1,0,3
1661,0,3,0,2,1,1,2,0,3
952,0,3,0,2,2,1,0,0,3
