,parents,has_nurs,form,children,housing,finance,social,health,target
231,2,2,2,0,1,0,2,0,0
47,2,0,3,0,1,0,1,0,1
22,0,2,0,0,2,0,0,1,0
429,1,3,0,0,1,1,2,1,1
83,0,0,3,1,1,0,1,1,0
305,2,1,3,1,0,0,1,0,0
109,0,0,3,0,2,1,2,0,0
165,2,3,2,2,0,0,1,1,1
212,2,1,1,3,2,0,2,0,1
173,1,1,2,1,0,1,0,2,0
320,1,1,3,2,0,1,0,1,1
54,1,4,2,1,2,1,2,2,1
211,0,2,0,2,0,1,1,1,0
78,2,3,0,1,2,1,0,2,1
188,2,1,2,1,1,1,0,2,1
282,0,2,2,2,1,1,0,2,2
0,1,1,2,0,0,1,1,2,1
317,1,0,1,0,1,1,2,1,2
459,0,4,1,3,2,0,2,0,0
140,1,2,1,2,0,1,0,1,1
13,1,4,2,0,1,1,1,1,1
447,1,2,1,0,0,1,1,2,0
104,1,0,0,1,0,0,1,0,0
353,1,1,3,1,0,0,2,1,2
346,1,3,1,0,2,0,0,1,1
275,0,2,3,1,2,0,0,1,2
328,0,4,3,2,0,1,1,0,0
323,1,4,0,0,0,1,1,1,0
471,2,3,0,0,0,1,2,0,0
497,2,2,2,2,1,1,0,2,1
36,2,2,2,1,1,1,0,2,1
150,1,3,0,1,0,1,1,1,2
57,1,2,0,3,2,0,2,0,0
488,1,3,1,0,2,0,0,2,1
215,2,3,1,2,2,1,0,0,0
158,2,3,2,1,2,1,1,0,0
92,2,2,1,1,0,1,1,1,1
33,0,4,3,1,2,0,0,1,0
417,1,0,1,2,0,0,0,1,0
245,2,3,1,0,0,0,1,1,0
336,0,3,0,0,2,0,1,1,0
290,0,2,0,1,1,1,1,1,2
41,2,1,2,2,0,0,2,1,1
374,1,0,3,1,2,1,1,0,1
152,2,2,3,3,2,1,2,0,0
478,0,2,2,1,1,0,0,1,2
126,2,2,0,3,1,1,2,0,0
81,2,3,1,1,0,0,1,1,1
7,0,2,0,1,1,0,1,1,0
60,0,3,2,2,1,0,1,1,2
322,0,0,2,3,2,1,2,0,0
475,0,3,2,0,2,1,0,2,1
394,0,4,2,2,1,0,1,0,1
412,2,0,3,3,0,1,0,0,0
248,2,4,3,1,2,1,1,2,1
469,1,3,1,3,0,0,1,1,2
130,1,1,2,2,0,1,1,0,0
3,1,0,3,1,0,0,2,1,0
283,2,1,1,3,0,0,0,1,0
110,1,2,1,2,0,0,1,1,0
329,1,2,1,1,0,0,2,1,2
357,2,2,3,1,1,1,0,0,2
111,0,3,2,1,1,0,2,2,1
61,1,1,0,0,0,1,2,2,1
401,0,2,1,3,1,0,0,1,2
105,2,2,2,2,1,1,0,1,1
314,1,0,3,2,1,0,2,0,0
171,0,3,1,0,2,1,0,0,0
339,0,2,1,0,0,1,1,2,2
117,2,4,0,1,1,0,2,2,1
131,0,3,1,0,1,0,0,1,2
271,1,2,2,2,0,1,1,0,0
424,0,3,1,2,2,0,2,2,1
407,2,0,2,3,0,1,2,1,0
480,1,0,1,2,0,1,1,1,2
420,1,2,1,1,1,0,1,1,2
108,1,3,1,1,1,0,0,1,2
119,1,1,2,0,0,1,0,1,0
489,2,0,2,3,1,1,2,1,2
24,1,0,2,2,2,1,0,0,1
96,1,1,0,1,0,0,2,1,0
446,2,3,3,3,1,0,2,2,1
10,1,1,2,1,1,0,0,1,2
157,0,0,1,2,0,0,2,2,1
160,1,2,1,1,0,1,1,2,1
449,1,4,1,3,2,0,1,0,2
442,0,3,0,2,1,0,2,2,1
303,1,3,1,2,1,0,2,0,2
383,2,0,3,0,1,0,0,0,0
153,1,0,1,2,1,0,1,1,1
379,0,1,1,0,1,1,2,0,0
88,1,0,2,1,0,1,0,2,0
396,0,2,0,2,0,0,0,1,0
435,1,1,1,0,0,1,1,0,1
182,2,1,0,1,1,1,2,0,0
310,1,2,2,2,0,0,1,1,2
193,1,0,1,3,2,1,2,1,1
26,1,2,0,1,1,1,1,0,0
484,0,3,1,3,1,0,0,2,2
35,1,3,1,0,0,0,1,1,1
