,parents,has_nurs,form,children,housing,finance,social,health,target
218,2,0,0,2,0,1,2,1,0
19,1,2,2,0,0,1,2,0,1
295,2,2,1,2,1,0,1,1,1
236,2,2,3,1,1,0,0,0,1
4,1,0,2,3,0,1,1,2,2
162,0,1,3,0,2,0,1,0,0
100,1,2,2,1,1,1,0,1,1
305,1,3,2,1,0,1,1,2,1
171,2,1,0,1,1,1,2,0,0
160,1,3,2,1,1,0,2,1,1
205,0,1,3,3,1,0,1,0,0
353,1,0,1,2,2,0,0,0,0
147,0,4,0,1,0,1,0,1,2
289,1,1,2,1,1,1,0,1,2
5,0,3,1,2,2,0,0,1,1
226,2,1,1,2,2,0,0,1,1
309,0,3,0,1,2,0,1,0,1
173,2,2,1,1,1,1,0,1,1
24,2,0,1,0,0,1,1,1,1
319,0,2,1,2,0,1,0,1,2
39,1,0,3,2,1,1,1,0,2
129,2,2,1,2,0,0,1,1,1
356,1,3,3,0,0,0,2,2,1
136,0,4,0,1,1,1,0,0,0
256,2,3,1,0,2,1,0,1,0
64,1,2,1,0,0,0,2,2,1
204,2,4,0,0,1,1,0,1,1
363,2,2,2,2,2,1,2,1,1
25,1,2,1,2,2,1,1,2,1
402,0,3,2,2,2,0,2,0,1
0,1,3,2,1,1,1,1,0,2
227,1,3,1,1,0,1,1,2,0
312,2,2,3,1,2,0,1,2,1
404,0,1,1,2,1,0,2,2,1
267,0,3,1,2,0,1,1,2,0
325,1,3,0,3,1,1,0,0,0
23,2,3,2,1,1,1,0,2,1
215,2,4,0,2,0,0,0,1,0
247,0,1,0,1,0,1,1,0,0
1,0,2,1,3,0,0,2,2,1
110,1,1,2,2,2,1,1,1,2
304,0,2,0,3,2,0,0,1,2
333,1,4,0,1,1,0,1,1,0
51,2,1,3,0,2,1,0,1,1
41,1,2,0,2,1,1,1,2,1
308,1,2,2,2,0,1,0,2,2
111,0,3,0,1,1,0,2,0,0
329,1,0,3,0,1,1,2,2,1
415,0,1,1,0,1,0,0,0,0
414,1,0,2,3,2,1,0,1,1
163,2,1,0,3,1,1,2,1,1
231,0,2,0,1,0,1,2,0,0
62,2,3,0,1,2,0,0,2,1
7,2,1,3,3,1,0,1,1,1
403,1,2,3,1,0,1,0,1,0
219,1,2,2,3,1,0,0,0,1
418,2,0,2,2,1,0,0,1,1
351,0,3,1,1,1,0,1,2,1
260,1,2,2,2,1,1,2,1,2
9,1,1,1,3,2,1,0,0,2
31,2,1,2,2,0,0,2,1,1
99,1,1,3,0,2,1,1,2,1
36,1,1,2,1,2,1,0,1,2
101,2,1,0,2,0,0,2,0,0
216,1,1,1,3,2,1,0,2,1
86,0,1,1,0,1,0,2,0,0
396,1,2,3,0,1,0,2,2,2
8,0,4,2,2,0,0,2,2,0
96,1,0,2,1,2,1,2,0,1
104,1,2,1,2,0,1,2,2,1
332,2,2,1,0,2,0,0,2,1
180,1,2,1,2,1,1,1,1,2
92,0,3,3,0,2,1,1,0,0
405,2,2,2,0,2,0,1,1,1
299,2,1,2,3,1,0,0,2,1
139,2,1,3,2,1,1,1,0,0
424,1,2,2,3,1,1,1,0,0
296,1,1,3,0,1,1,0,0,0
50,1,3,2,2,1,0,1,2,2
30,1,2,3,1,2,1,1,2,2
81,2,1,0,1,1,0,2,0,0
220,2,2,1,2,1,1,1,1,2
323,0,4,1,0,1,1,0,2,1
334,0,0,2,2,0,1,0,0,0
150,2,2,3,1,1,1,0,2,1
274,1,2,2,1,2,0,2,0,0
248,1,2,3,2,1,0,2,1,2
176,1,3,0,0,1,1,2,0,0
198,1,3,0,2,1,0,2,1,1
179,0,4,0,1,2,0,2,1,0
67,1,4,3,1,2,0,0,2,1
121,2,3,2,1,1,1,2,1,1
71,0,2,1,2,1,0,2,0,1
340,1,2,2,2,1,1,1,1,1
158,0,2,3,2,1,0,1,0,1
422,1,4,2,3,0,1,2,1,1
113,1,0,1,3,0,0,1,2,1
425,2,0,1,1,2,0,2,2,1
76,2,2,1,1,0,0,0,2,1
211,2,1,3,2,1,1,1,1,0
