,parents,has_nurs,form,children,housing,finance,social,health,target
80,1,3,2,1,1,0,1,0,0
341,2,3,2,0,1,0,1,1,2
209,0,0,1,0,2,1,2,1,1
237,0,3,1,3,2,1,0,1,2
12,0,1,0,3,0,0,1,2,2
11,2,3,2,2,2,1,0,1,1
307,1,1,2,0,0,1,0,2,1
409,0,3,1,0,2,0,0,2,1
196,0,2,1,2,0,1,2,1,2
417,2,4,2,1,2,0,2,2,1
266,1,0,2,3,1,0,1,0,0
272,1,0,1,1,2,0,0,1,1
338,2,3,2,2,1,1,1,2,2
355,1,0,2,1,1,1,1,1,1
1,0,3,2,3,2,1,0,1,2
187,1,1,0,3,1,0,2,0,0
254,1,2,0,2,0,1,0,1,2
175,2,2,3,0,0,0,1,0,0
451,0,2,1,2,0,0,0,0,0
302,0,2,1,0,0,1,2,2,1
336,1,4,0,1,1,0,0,1,2
129,1,1,1,2,1,0,1,0,0
251,0,3,0,2,0,1,0,0,0
293,2,2,3,1,1,0,0,1,1
167,2,2,3,3,0,0,2,2,3
424,2,1,0,0,2,0,1,2,1
40,1,2,2,1,1,0,1,1,2
428,0,3,0,0,2,1,2,0,0
180,2,1,0,0,1,0,1,0,0
371,0,3,2,0,2,0,1,1,2
51,0,1,0,2,2,0,2,1,0
288,1,3,2,0,0,1,1,0,0
258,1,1,0,2,1,0,0,2,1
183,2,0,2,0,1,1,2,2,2
263,1,3,1,3,2,1,0,1,1
223,0,1,0,1,1,0,1,1,2
425,0,2,1,3,1,1,2,0,0
212,2,4,3,3,1,0,1,2,2
314,0,2,3,1,1,0,1,2,1
466,2,2,3,2,1,1,0,1,1
201,1,2,1,2,2,0,1,1,2
432,1,1,2,1,0,0,2,2,1
188,0,2,3,0,1,1,2,2,2
276,0,2,1,3,1,1,0,2,2
20,0,1,1,1,1,1,2,0,0
242,0,4,0,3,2,1,0,2,2
294,0,1,1,2,0,0,2,1,0
442,2,2,2,0,1,0,1,0,1
100,1,3,2,2,1,1,1,1,0
10,1,2,1,1,1,0,1,0,0
59,1,1,2,1,0,1,1,0,0
394,1,4,2,0,2,1,1,1,2
318,1,2,1,3,0,0,2,1,2
308,0,3,1,1,0,1,1,1,0
139,1,3,2,3,0,0,1,2,1
181,0,2,1,2,2,1,0,1,1
56,1,0,2,2,2,1,1,0,1
445,2,1,2,2,1,0,1,2,1
324,2,4,1,0,1,1,0,2,3
418,0,3,1,2,0,1,0,1,2
33,2,2,1,1,2,1,0,1,1
389,1,1,3,0,2,1,2,1,1
395,0,2,3,1,1,0,1,1,1
376,2,3,2,3,1,0,0,0,0
435,2,1,2,3,0,0,1,1,1
70,1,2,2,1,1,1,1,1,2
150,1,2,1,2,1,1,1,0,1
206,0,2,0,2,2,0,0,2,1
112,2,2,3,3,1,1,2,0,0
359,2,0,1,1,2,1,0,1,1
217,0,4,3,3,1,0,0,2,2
123,1,2,0,3,2,1,1,2,2
345,1,3,2,3,2,1,0,2,1
106,1,1,2,1,1,0,2,1,1
65,0,1,1,3,0,1,0,2,3
39,1,3,1,2,1,1,2,1,1
415,0,4,3,3,0,1,1,1,2
396,1,0,0,2,0,1,2,0,0
109,2,0,2,1,0,1,2,1,1
200,2,3,0,1,1,1,0,2,1
128,0,3,2,3,2,1,0,1,2
250,1,3,2,2,1,0,1,1,2
354,0,4,0,1,0,0,0,0,0
146,0,4,0,0,1,0,1,1,2
468,2,3,2,3,1,1,2,1,1
299,0,4,1,0,1,1,1,0,0
401,1,1,2,0,2,0,1,1,2
99,1,3,3,2,1,0,2,1,2
310,1,2,2,1,1,0,1,2,1
459,1,2,3,3,2,1,1,2,2
88,1,2,2,0,2,0,1,1,2
301,2,1,3,1,2,0,0,1,0
104,1,4,3,2,1,1,2,2,2
2,1,1,1,0,0,0,2,1,0
166,1,3,0,2,1,1,0,1,0
14,2,1,2,2,0,0,0,0,0
261,0,2,3,1,0,0,1,2,2
332,0,4,2,1,2,0,1,0,2
329,2,3,3,3,1,1,0,1,3
387,2,3,2,2,1,1,0,1,0
