,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
301,3,2.5,1690.0,0,1563.0,1,98126,630000.0
334,2,1.5,1670.0,0,5500.0,1,98117,1025000.0
116,4,1.5,2260.0,0,4000.0,1,98107,1180000.0
17,4,4.0,3030.0,0,4000.0,1,98105,1650000.0
426,2,1.0,1435.0,0,0.63,0,98146,499000.0
395,3,3.0,1420.0,0,987.0,1,98109,900000.0
183,2,2.0,980.0,0,3000.0,1,98118,849950.0
313,2,1.0,940.0,0,5640.0,1,98117,800000.0
146,4,2.0,2860.0,0,4000.0,1,98122,900000.0
240,4,2.0,1630.0,0,5535.0,1,98118,675500.0
209,3,2.0,1997.0,0,4000.0,1,98144,1250000.0
174,3,2.0,1960.0,0,7157.0,1,98117,799950.0
197,2,2.0,1060.0,0,1175.0,1,98106,590000.0
135,4,2.0,2470.0,0,6046.0,1,98117,1125000.0
444,3,3.0,1524.0,0,513.0,1,98122,875000.0
498,9,5.0,2300.0,0,5308.0,1,98118,870000.0
443,2,1.0,870.0,0,6000.0,1,98118,480000.0
231,5,3.0,2610.0,0,2550.0,1,98109,1795000.0
257,5,3.0,2380.0,0,6250.0,1,98133,800000.0
446,4,2.0,2240.0,0,4000.0,1,98122,1400000.0
256,2,2.0,1390.0,0,815.0,1,98107,850000.0
9,3,2.0,1100.0,0,6750.0,1,98106,575000.0
296,2,2.0,1730.0,0,5000.0,1,98122,825000.0
434,4,2.0,2640.0,0,4120.0,1,98103,1250000.0
467,2,1.5,1087.0,0,1.0,0,98102,699950.0
87,2,2.0,1410.0,0,0.28,0,98103,720000.0
129,4,3.5,2970.0,0,3600.0,1,98119,1880000.0
187,4,3.0,2555.0,0,5000.0,1,98117,1250000.0
149,3,1.0,1420.0,0,6220.0,1,98126,750000.0
300,4,2.5,2270.0,0,6501.0,1,98118,700000.0
109,4,2.5,2390.0,0,6000.0,1,98118,1180000.0
309,2,2.5,1710.0,0,962.0,1,98117,875000.0
31,3,4.5,1710.0,0,1326.0,1,98126,725000.0
455,4,2.5,2120.0,0,9500.0,1,98118,875000.0
203,4,3.5,3680.0,0,8994.0,1,98105,2100000.0
302,3,2.0,1900.0,0,4178.0,1,98133,890000.0
100,2,1.0,1240.0,0,5038.0,1,98126,750000.0
80,3,2.5,1810.0,0,1436.0,1,98107,1000000.0
366,2,2.0,889.0,0,0.34,0,98105,680000.0
5,3,1.0,980.0,0,4200.0,1,98117,650000.0
71,2,2.0,1840.0,0,5000.0,1,98122,1200000.0
413,3,2.0,1710.0,0,5000.0,1,98122,1270000.0
342,4,2.0,1750.0,0,6240.0,1,98118,700000.0
105,5,2.0,2740.0,0,2959.0,1,98122,1000000.0
317,3,2.0,1150.0,0,4800.0,1,98118,525000.0
28,3,2.0,1100.0,0,5200.0,1,98118,580000.0
40,3,2.0,2437.0,0,6500.0,1,98118,1275000.0
412,3,2.0,1440.0,0,7680.0,1,98125,750000.0
172,3,2.0,1111.0,0,719.0,1,98112,849000.0
239,3,2.0,2520.0,0,4000.0,1,98115,1050000.0
473,5,3.5,3340.0,0,6300.0,1,98117,1575000.0
344,3,2.5,1815.0,0,1500.0,1,98103,1295000.0
433,8,4.0,3780.0,0,7800.0,1,98117,1150000.0
29,2,2.0,1370.0,0,720.0,1,98115,850000.0
207,3,1.0,1210.0,0,0.24,0,98178,519000.0
67,3,2.0,1660.0,0,4800.0,1,98126,730000.0
476,4,2.5,2180.0,0,3880.0,1,98115,1160000.0
195,4,3.5,2310.0,0,2955.0,1,98103,1750000.0
224,2,1.5,1080.0,0,1097.0,1,98122,700000.0
255,2,1.0,680.0,0,8790.0,1,98125,625000.0
137,3,2.5,1290.0,0,1482.0,1,98118,750000.0
431,4,3.5,2970.0,0,3060.0,1,98103,1750000.0
285,3,2.0,1310.0,0,6025.0,1,98118,830000.0
244,2,2.0,1300.0,0,8967.0,1,98118,755000.0
278,3,3.0,2760.0,0,2500.0,1,98112,1450000.0
53,4,2.0,1790.0,0,2818.0,1,98103,900000.0
339,2,1.0,1360.0,0,6402.0,1,98126,850000.0
491,3,2.5,1835.0,0,1750.0,1,98103,1195000.0
314,3,2.0,1060.0,0,8397.0,1,98177,635000.0
38,5,3.0,2120.0,0,6960.0,1,98118,650000.0
349,4,3.0,2296.0,0,3824.0,1,98106,1025000.0
54,3,2.0,1530.0,0,10.0,0,98117,775000.0
169,4,3.5,2560.0,0,4000.0,1,98105,1600000.0
215,2,1.5,1570.0,0,5400.0,1,98122,650000.0
399,6,3.5,2510.0,0,9500.0,1,98168,800000.0
362,3,2.0,1300.0,0,5760.0,1,98106,778000.0
321,3,2.0,1440.0,0,9065.0,1,98133,830000.0
165,3,2.0,1300.0,0,6097.0,1,98106,430000.0
79,4,3.0,2280.0,0,8000.0,1,98177,1270000.0
196,2,2.0,1170.0,0,588.0,1,98122,645000.0
267,3,2.0,2164.0,0,4000.0,1,98117,840000.0
111,4,2.5,2270.0,0,6501.0,1,98118,870000.0
291,5,3.0,3080.0,0,6807.0,1,98117,1300000.0
322,2,2.5,1566.0,0,1553.0,1,98117,980000.0
346,3,2.5,1793.0,0,1436.0,1,98107,1115000.0
328,5,2.0,2910.0,0,6180.0,1,98117,1050000.0
331,2,1.0,1080.0,0,6000.0,1,98106,479000.0
435,2,1.0,990.0,0,5000.0,1,98118,575000.0
180,2,2.0,1144.0,0,4850.0,1,98107,769950.0
133,5,2.0,2120.0,0,6180.0,1,98118,750000.0
210,4,2.0,1545.0,0,4000.0,1,98103,1060000.0
59,3,2.0,1010.0,0,7015.0,1,98103,859000.0
36,5,3.5,1010.0,0,3342.0,1,98115,700000.0
142,5,3.0,3080.0,0,6805.0,1,98117,1050000.0
249,3,3.5,3880.0,0,0.29,0,98199,2500000.0
126,2,1.0,1280.0,0,2690.0,1,98117,850000.0
132,5,3.0,2980.0,0,6800.0,1,98117,1300000.0
371,4,3.0,2640.0,0,7370.0,1,98115,1050000.0
86,4,3.5,1742.0,0,1608.0,1,98122,1150000.0
69,4,2.0,2280.0,0,8960.0,1,98146,850000.0
