,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
303,2,1.902664181551674,1105,0,368.8450495637324,1,98107,796426
217,1,3.640432971122537,1635,0,0.23,0,98115,885739
227,2,1.061911122159959,1267,0,3420.7471445696056,1,98104,915875
182,3,3.587215285992396,2251,0,3772.75897637971,1,98113,1850711
235,1,1.0856261530671842,847,0,7295.341240865379,1,98106,552284
279,6,5.368363211985447,2687,0,6723.104858319904,1,98101,1156096
271,4,6.864915332314308,3867,0,8414.500841884943,1,98185,2690537
92,2,3.661678093834613,1380,0,1552.6515976238425,1,98104,937155
12,2,3.0657988879593754,856,0,4656.99539565636,1,98114,683043
6,2,1.867379895295996,1089,0,368.3513099309836,1,98106,904525
171,3,2.0902512100554995,2071,0,5032.177632112678,1,98127,603103
88,3,2.565499678002954,1526,0,6448.85558621424,1,98141,786862
158,6,2.073125556626251,1279,0,7836.538916835765,1,98171,658490
84,2,2.559306206846085,2186,0,6184.084501323234,1,98113,904371
138,1,0.9494832725393496,1268,0,0.23,0,98179,520644
81,2,2.006447986406059,1058,0,684.8110216309425,1,98108,1404121
38,2,8.291568670800608,1295,0,5054.72892269942,1,98123,433603
161,1,1.0221086135993185,724,0,3946.9534113654177,1,98124,648456
266,3,1.1185916937973113,3056,0,5109.481979392012,1,98139,686969
280,3,1.7267803396576418,1839,0,205.98885469004995,0,98115,1166751
255,3,2.0259546225685017,1310,0,3773.231794290483,1,98132,894289
34,3,4.04160125390643,2461,0,4444.275933306659,1,98116,2058477
251,2,2.100544820694739,1543,0,7992.416552210701,1,98126,813811
17,2,1.9871171405196184,2179,0,2209.596497122325,1,98115,1225374
296,3,2.051783325568787,1924,0,6807.108806941524,1,98190,1509595
180,2,3.1378801736864643,1429,0,8268.116957933811,1,98103,891075
109,1,1.0765051217476862,455,0,4352.669497496762,0,98119,444746
9,2,2.4194215640705385,1455,0,3171.870144657108,1,98124,596585
258,2,2.0150683418820856,954,0,599.5896205959332,1,98174,782383
298,3,1.000154842365834,1474,0,2833.426531717276,1,98117,803038
126,2,1.8691364791312344,1528,0,6796.590814032415,1,98115,749540
249,3,3.090655506185193,2481,0,7946.133879382788,1,98136,1348809
327,3,3.776935036365008,1580,0,774.4009324912212,1,98116,871278
174,2,2.543545047414336,2745,0,3780.7963484958873,1,98140,2878996
293,2,1.9910023445188365,1660,0,2312.11637951063,1,98118,810274
129,3,3.570933393419806,1585,0,1430.305150784956,1,98116,1076036
194,3,1.219912745640767,829,0,6652.33181916952,1,98103,728920
15,3,1.8165923979529608,2473,0,7198.820062661285,1,98198,1119799
132,1,1.8588354962001965,2006,0,3817.557579809453,1,98115,933165
31,2,2.0067895754807386,2288,0,4612.896208330272,1,98115,2135884
208,2,1.9955215780554227,1627,0,3918.790503103968,1,98119,822669
135,2,1.9203170191686287,1726,0,1821.9296164841285,1,98126,1132640
150,2,1.000230298685209,707,0,7979.357390041996,1,98117,547669
