,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
72,3,2.0,2133,0,3142.800563260661,1,98114,1474871
246,3,1.5,2144,0,2445.498344383366,1,98104,2081872
86,3,3.5,2293,0,7534.943477714634,1,98105,1562441
14,3,3.0,1189,0,2132.1968652915784,1,98199,899899
320,2,1.5,1026,0,4223.364747497645,1,98106,772724
116,2,2.0,2504,0,0.2300002277816813,0,98199,1261373
201,2,2.5,1078,0,668.1892591555855,1,98117,663482
191,4,2.5,2739,0,7843.327014231548,1,98129,2299009
316,4,3.5,2423,0,4613.492013195679,1,98103,1617160
149,3,2.3903594691664503,2011,0,1227.815595613575,1,98110,967926
37,15,0.5,250,0,0.23,0,98101,159000
291,1,1.0,857,0,661.4036354066163,0,98199,723995
109,3,2.0,1451,0,4455.43530625846,1,98115,741196
184,3,2.0,1647,0,5640.7899282477865,1,98177,728380
153,4,3.5,5363,0,4983.234931590453,1,98104,13350330
321,3,2.0,1152,0,1759.092459240827,1,98104,705901
4,3,2.0,1559,0,1457.1816814952651,1,98136,694549
17,4,2.5,2898,0,5698.070916538269,1,98125,1449988
34,4,3.778292872119576,2201,0,1793.0825875292137,1,98125,1218715
315,5,3.8762147429892337,3013,0,6460.262445885574,1,98117,983296
232,4,3.0,2509,0,6005.580934994053,1,98122,964603
102,1,2.0,1310,0,3726.202043908467,1,98103,746135
137,4,3.0,1893,0,4938.287022008033,1,98184,707652
1,5,3.5,2753,0,6332.441846860826,1,98116,1040454
248,2,1.0,1399,0,7935.1900240721025,1,98125,906087
274,2,2.0,1445,0,1166.1887813778617,1,98124,726489
63,4,2.5,3421,0,7552.131891392624,1,98105,1813249
169,4,3.5,2707,0,3893.520388352626,1,98119,1338138
272,3,3.0,2011,0,2643.264676326538,1,98117,1433038
78,5,4.349956831295846,5551,0,6792.723825125987,1,98141,1545254
122,4,1.6831492194954325,2186,0,0.3650480418512018,0,98115,894426
236,2,2.0,1177,0,3438.0999883484865,1,98134,693326
187,2,2.0,1344,0,1242.5336252805637,1,98115,823568
71,1,1.0,853,0,5325.494552333338,1,98125,539780
101,3,2.5,2502,0,5611.265779218282,1,98117,1550897
128,4,3.5,3258,0,5635.84928651358,1,98118,1870724
293,1,7.037459171282622,250,0,0.23,0,98101,159000
303,4,2.0,2929,0,5414.805931079799,1,98199,1599517
251,3,2.5,1660,0,267.6085420700651,1,98107,772751
60,5,7.384988769177586,3438,0,7002.529123770976,1,98136,1472074
58,1,2.5,701,0,1416.2514319475176,1,98122,465117
