,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
261,7,1.0026703992570374,250,0,0.23,1,98101,159000
135,7,1.0026703992570374,250,0,2715.2929964946024,0,98101,159000
70,7,1.0026703992570374,250,0,0.23,0,98101,159000
220,7,1.0026703992570374,250,0,5454.376895133883,1,98101,159000
102,7,1.0026703992570374,250,0,1244.9585289056809,0,98101,159000
248,7,1.0026703992570374,250,0,2783.212646967162,1,98101,159000
54,7,1.0026703992570374,250,0,0.23,0,98101,159000
81,7,1.0026703992570374,250,0,0.23,0,98101,535889
170,7,1.0026703992570374,250,0,2663.747810389541,0,98101,159000
194,7,1.0026703992570374,250,0,0.23,1,98101,159000
116,7,1.0026703992570374,250,0,7693.172164009255,0,98101,159000
93,7,1.0026703992570374,250,0,5872.595103306696,0,98101,159000
89,6,1.0026703992570374,250,0,9067.583479905195,1,98101,255242
234,7,1.0026703992570374,250,0,807.590901629302,1,98101,159000
192,7,1.0026703992570374,250,0,621.4642291180962,1,98101,159000
289,7,1.0026703992570374,250,0,0.23,1,98101,159000
182,7,1.0026703992570374,250,0,4877.927308748946,1,98101,159000
161,7,1.0026703992570374,250,0,8835.417369134462,1,98101,159000
114,7,1.0026703992570374,250,0,2095.396958531632,0,98101,159000
209,7,1.0026703992570374,250,0,0.23,1,98101,159000
196,7,1.0026703992570374,250,0,4758.378344018874,1,98101,159000
322,7,1.0026703992570374,250,0,5081.139320298827,1,98101,159000
26,7,1.0026703992570374,250,0,5947.278693685204,1,98101,159000
41,7,1.0026703992570374,250,0,2460.853575027582,1,98101,159000
144,7,1.0026703992570374,250,0,0.23,0,98101,159000
45,7,1.0026703992570374,250,0,0.23,1,98101,159000
232,7,1.0026703992570374,250,0,0.23,1,98101,159000
176,7,1.0026703992570374,250,0,3556.925509339256,1,98101,159000
49,7,1.0026703992570374,250,0,5011.616011480135,1,98101,159000
67,7,0.5,250,0,5345.82995413955,1,98101,159000
283,7,1.0026703992570374,250,0,262.93324509478407,1,98101,159000
247,7,1.0026703992570374,250,0,3330.7655638744664,1,98101,159000
17,7,1.0026703992570374,250,0,825.5214732333939,1,98101,159000
225,7,1.0026703992570374,250,0,0.23,1,98101,159000
326,7,1.0026703992570374,250,0,62.24911707259571,1,98101,159000
230,7,1.0026703992570374,250,0,4732.412838680129,1,98101,159000
159,7,0.5,250,0,4593.6097626293895,1,98101,159000
211,7,1.0026703992570374,250,0,9998.0,1,98101,159000
216,7,1.0026703992570374,250,0,0.23,1,98101,159000
255,7,1.0026703992570374,250,0,0.23,1,98101,159000
256,7,1.0026703992570374,250,0,7062.854629916144,1,98101,159000
92,7,1.0026703992570374,250,0,4351.764501741284,1,98101,159000
83,7,0.5,250,0,6213.754865040852,0,98101,159000
302,7,1.0026703992570374,250,0,7971.110418274343,0,98101,159000
33,7,1.0026703992570374,250,0,6344.151523677692,0,98101,159000
6,7,1.0026703992570374,250,0,6923.008687953605,1,98101,159000
285,7,1.0026703992570374,250,0,7420.618523059595,1,98101,159000
38,7,1.0026703992570374,250,0,1094.276232273524,1,98101,159000
303,7,1.0026703992570374,250,0,0.23,1,98101,159000
101,7,1.0026703992570374,250,0,2238.136096401832,1,98116,159000
64,7,1.0026703992570374,250,0,2902.2886547497533,0,98101,159000
185,7,1.0026703992570374,250,0,7257.028904350916,0,98101,159000
35,7,1.0026703992570374,250,0,5469.914392535358,1,98101,159000
28,7,1.0026703992570374,250,0,3711.0483849393713,1,98101,159000
219,7,1.0026703992570374,250,0,3182.680232350902,1,98101,159000
217,7,1.0026703992570374,250,0,3210.55882522672,1,98101,159000
272,7,1.0026703992570374,250,0,3452.560884039695,1,98101,159000
19,7,1.0026703992570374,250,0,0.23,1,98101,159000
51,7,1.0026703992570374,250,0,0.23,0,98101,159000
52,7,1.0026703992570374,250,0,2059.579577391406,0,98101,159000
69,7,1.0026703992570374,250,0,2332.787003776873,1,98101,159000
43,7,1.0026703992570374,250,0,4376.363829944247,1,98101,159000
324,7,1.0026703992570374,250,0,0.23,1,98101,159000
168,7,1.0026703992570374,250,0,9998.0,1,98101,159000
167,7,1.0026703992570374,250,0,4933.517303852531,1,98101,159000
55,7,1.0026703992570374,250,0,642.6074156870482,1,98101,159000
208,7,1.0026703992570374,250,0,16.67753723783153,1,98101,159000
277,7,1.0026703992570374,250,0,8662.918295911128,1,98101,159000
312,7,1.0026703992570374,250,0,9998.0,1,98101,159000
274,7,1.0026703992570374,250,0,9250.397255621749,1,98101,159000
269,7,1.0026703992570374,250,0,0.23,1,98101,159000
263,7,1.0026703992570374,250,0,0.23,1,98101,184789
260,7,1.0026703992570374,250,0,0.23,1,98101,159000
328,7,1.0026703992570374,250,0,8845.972357310759,1,98101,159000
240,7,1.0026703992570374,250,0,2589.1967352861184,0,98101,159000
275,7,1.0026703992570374,250,0,0.23,1,98101,159000
147,7,1.0026703992570374,250,0,6225.5000487652505,0,98101,159000
245,7,1.0026703992570374,250,0,3019.49857835889,1,98101,159000
4,7,1.0026703992570374,250,0,0.23,0,98101,159000
118,7,1.0026703992570374,250,0,811.8160727678196,1,98101,159000
109,7,1.0026703992570374,250,0,8502.60086028505,1,98101,159000
139,7,1.0026703992570374,250,0,0.23,1,98101,159000
158,7,1.0026703992570374,250,0,8113.422707187201,0,98101,159000
172,7,1.0026703992570374,250,0,2067.6905215568013,0,98101,159000
310,7,1.0026703992570374,250,0,7065.121389977941,1,98101,159000
97,7,1.0026703992570374,250,0,9998.0,1,98101,159000
66,7,1.0026703992570374,250,0,5945.057516273314,1,98101,159000
36,7,1.0026703992570374,250,0,5139.65881463482,0,98101,159000
53,7,1.0026703992570374,250,0,3086.530632564993,1,98101,159000
180,7,1.0026703992570374,250,0,648.608045956933,1,98101,159000
61,7,1.0026703992570374,250,0,6007.033315038496,0,98101,159000
296,7,1.0026703992570374,250,0,1339.264473298034,1,98101,159000
75,7,1.0026703992570374,250,0,3048.0850860672795,0,98101,159000
12,7,1.0026703992570374,250,0,4570.841066205722,0,98101,159000
298,7,1.0026703992570374,250,0,4323.309206946556,1,98101,159000
169,7,1.0026703992570374,250,0,3027.6300347167435,1,98101,159000
228,7,1.0026703992570374,250,0,7500.305460446097,1,98101,159000
