,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
227,3.0,2.5,2100.0,0.0,2600.0,1.0,98115.0,700000.0
120,4.0,3.0,2500.0,0.0,5500.0,1.0,98119.0,1100000.0
102,4.0,3.0,2400.0,0.0,7000.0,1.0,98115.0,1600000.0
236,2.0,1.5,1200.0,0.0,5000.0,1.0,98126.0,700000.0
134,3.0,2.5,1600.0,0.0,2000.0,1.0,98133.0,720000.0
169,1.0,2.0,1300.0,0.0,5200.0,1.0,98116.0,170000.0
142,2.0,2.0,1100.0,0.0,0.4,0.0,98116.0,610000.0
336,3.0,2.0,1250.0,0.0,6300.0,1.0,98146.0,720000.0
16,3.0,2.0,2600.0,0.0,4100.0,1.0,98105.0,965000.0
340,3.0,2.5,1750.0,0.0,5000.0,1.0,98117.0,950000.0
330,3.0,2.5,1500.0,0.0,3200.0,1.0,98115.0,850000.0
452,5.0,4.0,3500.0,0.0,9000.0,1.0,98177.0,1350000.0
476,3.0,1.0,980.0,0.0,2000.0,1.0,98119.0,560000.0
326,2.0,2.0,1750.0,0.0,0.75,0.0,98199.0,710000.0
203,3.0,3.5,1600.0,0.0,1.2,0.0,98115.0,1050000.0
83,2.0,1.5,1000.0,0.0,4000.0,1.0,98108.0,600000.0
240,7.0,3.5,2900.0,0.0,8000.0,1.0,98146.0,950000.0
81,5.0,3.0,2900.0,0.0,8000.0,1.0,98117.0,1600000.0
370,3.0,1.5,950.0,0.0,7000.0,1.0,98125.0,620000.0
103,2.0,1.0,1300.0,0.0,1800.0,1.0,98144.0,780000.0
26,3.0,2.5,2000.0,0.0,4700.0,1.0,98117.0,990000.0
115,3.0,2.5,1800.0,0.0,3500.0,1.0,98103.0,980000.0
351,2.0,1.5,980.0,0.0,3000.0,1.0,98115.0,620000.0
0,3.0,2.0,1450.0,0.0,5000.0,1.0,98118.0,650000.0
200,3.0,2.5,1800.0,0.0,5000.0,1.0,98136.0,750000.0
313,5.0,3.0,2800.0,0.0,0.4,0.0,98178.0,890000.0
223,3.0,1.5,1600.0,0.0,6000.0,1.0,98112.0,1500000.0
388,4.0,2.0,1450.0,0.0,10000.0,1.0,98146.0,470000.0
253,2.0,1.5,1100.0,0.0,9200.0,1.0,98168.0,480000.0
58,3.0,2.0,1200.0,0.0,7400.0,1.0,98178.0,580000.0
274,1.0,1.0,820.0,0.0,0.5,0.0,98121.0,470000.0
364,2.0,2.0,1500.0,0.0,1100.0,1.0,98126.0,730000.0
427,3.0,2.0,950.0,0.0,0.3,0.0,98126.0,430000.0
305,3.0,2.0,2300.0,0.0,6500.0,1.0,98136.0,870000.0
208,2.0,2.5,2300.0,0.0,1.1,0.0,98112.0,2500000.0
312,2.0,2.0,1600.0,0.0,2000.0,1.0,98103.0,920000.0
248,4.0,3.0,2900.0,0.0,3800.0,1.0,98103.0,2100000.0
359,3.0,2.0,1750.0,0.0,4000.0,1.0,98114.0,950000.0
121,3.0,1.5,900.0,0.0,4000.0,1.0,98133.0,600000.0
294,3.0,1.5,1600.0,0.0,4800.0,1.0,98106.0,600000.0
297,3.0,2.0,1500.0,0.0,3400.0,1.0,98125.0,710000.0
489,4.0,2.5,2100.0,0.0,5000.0,1.0,98106.0,1250000.0
17,3.0,4.0,1750.0,0.0,1100.0,1.0,98109.0,1450000.0
261,5.0,3.0,2150.0,0.0,0.35,0.0,98118.0,1350000.0
18,3.0,3.0,1500.0,0.0,1200.0,1.0,98144.0,760000.0
22,3.0,2.0,1600.0,0.0,1300.0,1.0,98122.0,980000.0
162,3.0,3.5,2450.0,0.0,5600.0,1.0,98122.0,1500000.0
23,2.0,5.0,1350.0,0.0,1300.0,1.0,98144.0,690000.0
8,5.0,3.5,4900.0,0.0,9100.0,1.0,98115.0,1160000.0
355,2.0,2.0,1200.0,0.0,5000.0,1.0,98134.0,650000.0
302,3.0,1.5,1600.0,0.0,8000.0,1.0,98126.0,580000.0
5,1.0,1.0,500.0,0.0,8200.0,1.0,98108.0,1270000.0
170,3.0,2.5,2100.0,0.0,3700.0,1.0,98115.0,1250000.0
193,4.0,3.5,2000.0,0.0,2500.0,1.0,98107.0,1150000.0
458,2.0,1.5,1100.0,0.0,2500.0,1.0,98121.0,680000.0
42,2.0,1.5,950.0,0.0,1200.0,1.0,98117.0,720000.0
135,4.0,2.0,2100.0,0.0,7000.0,1.0,98144.0,900000.0
32,4.0,4.0,3200.0,0.0,4500.0,1.0,98126.0,1100000.0
401,3.0,1.5,2100.0,0.0,4800.0,1.0,98103.0,845000.0
414,3.0,2.0,1300.0,0.0,1000.0,1.0,98125.0,890000.0
38,3.0,2.5,1850.0,0.0,2000.0,1.0,98125.0,990000.0
402,5.0,3.5,2800.0,0.0,9000.0,1.0,98117.0,1200000.0
241,3.0,2.0,1400.0,0.0,1000.0,1.0,98107.0,830000.0
449,2.0,1.5,1100.0,0.0,1500.0,1.0,98110.0,690000.0
140,2.0,1.5,950.0,0.0,1300.0,1.0,98126.0,510000.0
91,2.0,1.5,1100.0,0.0,3000.0,1.0,98115.0,700000.0
460,3.0,2.0,1500.0,0.0,2500.0,1.0,98117.0,1150000.0
69,4.0,3.5,3200.0,0.0,3500.0,1.0,98123.0,2550000.0
473,3.0,2.5,1950.0,0.0,4000.0,1.0,98112.0,1200000.0
129,2.0,1.0,1150.0,0.0,50.0,0.0,98102.0,1300000.0
296,4.0,2.5,3100.0,0.0,8500.0,1.0,98115.0,1350000.0
311,4.0,3.5,2500.0,0.0,5000.0,1.0,98107.0,950000.0
377,2.0,2.0,1150.0,0.0,600.0,1.0,98144.0,630000.0
166,3.0,2.0,1350.0,0.0,3000.0,1.0,98144.0,790000.0
495,4.0,2.5,2200.0,0.0,7500.0,1.0,98106.0,805000.0
440,2.0,2.0,1500.0,0.0,3200.0,1.0,98103.0,850000.0
77,4.0,3.0,2300.0,0.0,3500.0,1.0,98119.0,1350000.0
192,3.0,1.0,1050.0,0.0,7000.0,1.0,98146.0,600000.0
244,5.0,2.5,3300.0,0.0,7600.0,1.0,98115.0,700000.0
324,4.0,3.5,2900.0,0.0,5400.0,1.0,98199.0,2300000.0
292,4.0,3.0,4000.0,0.0,8000.0,1.0,98112.0,3200000.0
498,2.0,2.5,2900.0,0.0,5800.0,1.0,98103.0,1100000.0
262,2.0,1.0,950.0,0.0,4500.0,1.0,98126.0,670000.0
40,3.0,2.0,1450.0,0.0,5000.0,1.0,98103.0,800000.0
426,5.0,4.0,2500.0,0.0,8000.0,1.0,98133.0,925000.0
439,3.0,2.0,1400.0,0.0,1600.0,1.0,98122.0,705000.0
180,2.0,1.5,1300.0,0.0,800.0,1.0,98118.0,610000.0
453,2.0,1.0,900.0,0.0,3000.0,1.0,98103.0,620000.0
10,3.0,2.0,1480.0,0.0,2000.0,1.0,98103.0,580000.0
287,2.0,2.0,850.0,0.0,1250.0,1.0,98144.0,630000.0
243,2.0,1.5,1400.0,0.0,6500.0,1.0,98115.0,820000.0
497,4.0,3.0,1700.0,0.0,4900.0,1.0,98116.0,950000.0
282,5.0,4.0,3800.0,0.0,7800.0,1.0,98133.0,1750000.0
177,3.0,2.0,2400.0,0.0,3300.0,1.0,98119.0,1170000.0
62,5.0,3.5,2700.0,0.0,3000.0,1.0,98110.0,1850000.0
372,3.0,2.0,1500.0,0.0,9000.0,1.0,98133.0,840000.0
154,4.0,2.5,2200.0,0.0,4200.0,1.0,98115.0,1200000.0
221,4.0,3.5,2500.0,0.0,5600.0,1.0,98178.0,850000.0
338,3.0,2.5,1800.0,0.0,4000.0,1.0,98121.0,950000.0
45,2.0,3.0,1200.0,0.0,5700.0,1.0,98107.0,800000.0
