,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
194,3.0,2.5,1820.0,0.0,3200.0,1.0,98105.0,975000.0
485,4.0,3.5,2800.0,0.0,4200.0,1.0,98116.0,1300000.0
970,4.0,2.5,2200.0,0.0,3500.0,1.0,98117.0,1150000.0
1432,4.0,2.5,2400.0,0.0,6500.0,1.0,98104.0,1550000.0
1964,5.0,3.5,3000.0,0.0,7000.0,1.0,98106.0,1800000.0
1953,4.0,3.5,2600.0,0.0,6800.0,1.0,98124.0,1400000.0
1565,2.0,1.5,1220.0,0.0,3875.0,1.0,98125.0,725000.0
1227,1.0,1.0,600.0,0.0,0.5,0.0,98121.0,425000.0
1428,4.0,3.5,2600.0,0.0,7500.0,1.0,98101.0,1800000.0
1742,4.0,4.0,3500.0,0.0,6000.0,1.0,98144.0,2200000.0
1577,3.0,3.0,2000.0,0.0,4500.0,1.0,98112.0,875000.0
656,3.0,2.0,1680.0,0.0,5280.0,1.0,98116.0,875000.0
1937,2.0,1.5,1340.0,0.0,4678.0,1.0,98102.0,825000.0
312,3.0,2.5,2210.0,0.0,4020.0,1.0,98103.0,1125000.0
1035,4.0,3.0,2100.0,0.0,2680.0,1.0,98119.0,1400000.0
1593,2.0,2.0,1890.0,0.0,2191.0,1.0,98122.0,925000.0
1634,2.0,2.0,1280.0,0.0,6320.0,1.0,98118.0,660000.0
649,4.0,3.0,2510.0,0.0,9100.0,1.0,98112.0,1250000.0
165,5.0,4.0,4400.0,0.0,8200.0,1.0,98105.0,2200000.0
1836,3.0,2.0,1600.0,0.0,6000.0,1.0,98107.0,725000.0
566,2.0,2.0,1300.0,0.0,0.5,0.0,98101.0,590000.0
1386,5.0,4.0,3200.0,0.0,9000.0,1.0,98105.0,1850000.0
705,2.0,2.0,1600.0,0.0,4200.0,1.0,98103.0,750000.0
1725,2.0,2.0,1300.0,0.0,830.0,1.0,98144.0,739000.0
1944,3.0,2.5,2370.0,0.0,7432.0,1.0,98177.0,985000.0
1310,2.0,1.0,1000.0,0.0,0.9,0.0,98120.0,525000.0
547,2.0,2.0,1000.0,0.0,4000.0,1.0,98108.0,700000.0
2046,3.0,2.0,1860.0,0.0,2.15,0.0,98103.0,725000.0
1539,3.0,2.0,1920.0,0.0,5869.0,1.0,98117.0,1095000.0
1373,2.0,2.5,1350.0,0.0,3819.0,1.0,98117.0,899000.0
794,5.0,3.5,3020.0,0.0,9600.0,1.0,98118.0,1695000.0
701,4.0,2.0,2000.0,0.0,6000.0,1.0,98107.0,875000.0
2000,1.0,1.0,800.0,0.0,0.35,0.0,98119.0,425000.0
524,4.0,2.5,2800.0,0.0,3800.0,1.0,98119.0,950000.0
757,3.0,2.5,1832.0,0.0,3800.0,1.0,98108.0,950000.0
149,3.0,2.0,2000.0,0.0,7000.0,1.0,98118.0,875000.0
1095,2.0,1.5,900.0,0.0,9300.0,1.0,98118.0,380000.0
188,3.0,3.0,2000.0,0.0,1500.0,1.0,98102.0,950000.0
187,4.0,2.0,2600.0,0.0,3800.0,1.0,98116.0,1300000.0
66,2.0,2.0,1900.0,0.0,1.03,0.0,98112.0,2200000.0
97,2.0,2.0,1300.0,0.0,700.0,1.0,98107.0,825000.0
487,6.0,6.0,5000.0,0.0,0.4,0.0,98118.0,2500000.0
1935,4.0,3.0,2300.0,0.0,3500.0,1.0,98111.0,1275000.0
494,2.0,1.5,1288.0,0.0,4567.0,1.0,98117.0,525000.0
126,5.0,4.0,2948.0,0.0,5200.0,1.0,98102.0,1650000.0
596,4.0,3.0,2200.0,0.0,8500.0,1.0,98136.0,1250000.0
1951,2.0,1.0,850.0,0.0,1200.0,1.0,98102.0,425000.0
1217,2.0,1.5,1200.0,0.0,2800.0,1.0,98107.0,825000.0
1789,4.0,3.5,2800.0,0.0,4500.0,1.0,98111.0,1800000.0
1927,4.0,1.0,1630.0,0.0,11000.0,1.0,98118.0,799000.0
1897,2.0,2.0,1200.0,0.0,900.0,1.0,98107.0,580000.0
632,4.0,3.0,2780.0,0.0,5600.0,1.0,98144.0,1200000.0
