,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
1255,3.0,2.0,1450.0,0.0,1200.0,1.0,98144.0,680000.0
1504,4.0,2.5,2600.0,0.0,6500.0,1.0,98136.0,1600000.0
212,2.0,2.0,1020.0,0.0,2100.0,1.0,98122.0,790000.0
1786,4.0,2.5,2200.0,0.0,5800.0,1.0,98118.0,1350000.0
327,1.0,1.0,1300.0,0.0,2.1,0.0,98102.0,2100000.0
913,2.0,2.0,1150.0,0.0,1050.0,1.0,98125.0,575000.0
203,3.0,1.0,1280.0,0.0,1150.0,1.0,98117.0,740000.0
1966,3.0,2.5,1900.0,0.0,0.35,0.0,98105.0,875000.0
1056,2.0,1.0,1000.0,0.0,0.2,0.0,98146.0,430000.0
927,4.0,3.5,3400.0,0.0,10000.0,1.0,98101.0,2450000.0
917,4.0,3.0,2100.0,0.0,10000.0,1.0,98144.0,1250000.0
874,3.0,2.5,2100.0,0.0,4800.0,1.0,98144.0,1250000.0
1025,2.0,1.5,1150.0,0.0,5900.0,1.0,98133.0,760000.0
1818,2.0,2.0,1280.0,0.0,5400.0,1.0,98104.0,890000.0
984,4.0,3.0,2600.0,0.0,7000.0,1.0,98116.0,980000.0
1586,3.0,2.5,1900.0,0.0,0.35,0.0,98125.0,950000.0
59,2.0,2.5,1900.0,0.0,3000.0,1.0,98122.0,990000.0
1909,2.0,1.0,1000.0,0.0,4500.0,1.0,98134.0,460000.0
709,2.0,1.0,1000.0,0.0,2500.0,1.0,98109.0,650000.0
1538,4.0,3.0,2500.0,0.0,8000.0,1.0,98103.0,1600000.0
49,3.0,2.5,1780.0,0.0,6100.0,1.0,98166.0,1050000.0
677,4.0,3.5,2600.0,0.0,5000.0,1.0,98119.0,1550000.0
138,3.0,2.0,1400.0,0.0,2100.0,1.0,98117.0,820000.0
2063,3.0,3.0,1600.0,0.0,5400.0,1.0,98116.0,980000.0
1503,2.0,2.0,1350.0,0.0,2200.0,1.0,98115.0,720000.0
197,5.0,3.5,3100.0,0.0,8100.0,1.0,98116.0,1650000.0
542,4.0,3.0,2500.0,0.0,0.2,0.0,98115.0,1550000.0
829,2.0,2.5,1100.0,0.0,1200.0,1.0,98103.0,765000.0
1078,5.0,3.5,3340.0,0.0,10200.0,1.0,98168.0,1680000.0
1088,4.0,3.0,2100.0,0.0,0.22,0.0,98146.0,1275000.0
400,4.0,3.0,2500.0,0.0,5000.0,1.0,98195.0,1850000.0
1874,4.0,4.0,3100.0,0.0,8500.0,1.0,98123.0,1675000.0
267,3.0,2.0,1200.0,0.0,1100.0,1.0,98117.0,810000.0
1833,4.0,3.5,2700.0,0.0,10000.0,1.0,98106.0,2100000.0
462,2.0,1.0,950.0,0.0,3500.0,1.0,98133.0,425000.0
429,4.0,1.5,2300.0,0.0,0.29,0.0,98126.0,1125000.0
981,3.0,2.0,1450.0,0.0,4200.0,1.0,98105.0,630000.0
1957,3.0,1.5,1400.0,0.0,4200.0,1.0,98144.0,790000.0
1055,4.0,3.0,2200.0,0.0,6000.0,1.0,98117.0,1250000.0
639,2.0,1.5,1500.0,0.0,4500.0,1.0,98117.0,750000.0
1648,2.0,2.5,1340.0,0.0,2100.0,1.0,98103.0,615000.0
546,2.0,2.0,1000.0,0.0,5000.0,1.0,98179.0,580000.0
1010,2.0,2.0,1600.0,0.0,4500.0,1.0,98109.0,825000.0
180,4.0,2.0,2100.0,0.0,6500.0,1.0,98144.0,920000.0
1376,4.0,3.0,2500.0,0.0,6000.0,1.0,98115.0,1050000.0
1149,3.0,2.5,2050.0,0.0,4900.0,1.0,98125.0,1050000.0
521,5.0,3.0,3200.0,0.0,4500.0,1.0,98122.0,1375000.0
757,4.0,3.5,2750.0,0.0,7500.0,1.0,98107.0,1450000.0
118,2.0,1.5,1350.0,0.0,2700.0,1.0,98115.0,575000.0
1316,3.0,2.5,1980.0,0.0,8200.0,1.0,98117.0,840000.0
1510,4.0,2.0,2150.0,0.0,5200.0,1.0,98107.0,1325000.0
1344,2.0,1.5,1200.0,0.0,1050.0,1.0,98102.0,580000.0
951,4.0,3.5,3100.0,0.0,10200.0,1.0,98101.0,1850000.0
461,3.0,2.5,2800.0,0.0,7000.0,1.0,98117.0,1350000.0
667,4.0,3.5,2500.0,0.0,6500.0,1.0,98106.0,1850000.0
733,1.0,1.0,450.0,0.0,0.18,0.0,98198.0,875000.0
488,5.0,3.5,3200.0,0.0,0.35,0.0,98178.0,1650000.0
801,3.0,2.0,1450.0,0.0,3500.0,1.0,98106.0,890000.0
975,5.0,4.0,2800.0,0.0,0.62,0.0,98107.0,1250000.0
1860,4.0,2.0,1890.0,0.0,5500.0,1.0,98134.0,920000.0
798,3.0,3.0,1600.0,0.0,1800.0,1.0,98118.0,635000.0
683,4.0,3.0,2200.0,0.0,4800.0,1.0,98115.0,1875000.0
2037,3.0,2.5,1700.0,0.0,8500.0,1.0,98125.0,825000.0
575,3.0,1.0,1000.0,0.0,0.18,0.0,98177.0,525000.0
95,1.0,1.0,750.0,0.0,0.22,0.0,98146.0,430000.0
1489,3.0,2.5,2150.0,0.0,4900.0,1.0,98133.0,1375000.0
1782,2.0,1.5,1000.0,0.0,3700.0,1.0,98122.0,630000.0
1421,2.0,2.0,1750.0,0.0,2400.0,1.0,98108.0,980000.0
1180,4.0,2.5,1900.0,0.0,5000.0,1.0,98134.0,920000.0
1463,2.0,2.0,1400.0,0.0,6500.0,1.0,98105.0,1000000.0
1997,3.0,2.5,1700.0,0.0,2400.0,1.0,98117.0,950000.0
1885,3.0,2.0,1500.0,0.0,4500.0,1.0,98119.0,780000.0
24,3.0,2.0,1450.0,0.0,6100.0,1.0,98119.0,720000.0
1739,3.0,3.5,1750.0,0.0,3200.0,1.0,98136.0,985000.0
586,2.0,2.0,1050.0,0.0,1200.0,1.0,98108.0,590000.0
1001,2.0,2.0,1350.0,0.0,800.0,1.0,98112.0,650000.0
1459,3.0,2.5,1570.0,0.0,1.0,0.0,98117.0,825000.0
1742,2.0,2.0,1050.0,0.0,1000.0,1.0,98126.0,598000.0
1596,1.0,1.5,600.0,0.0,5000.0,1.0,98112.0,350000.0
992,4.0,3.0,2600.0,0.0,9000.0,1.0,98115.0,1050000.0
1124,3.0,2.5,1600.0,0.0,1.0,0.0,98115.0,890000.0
1277,5.0,4.0,4100.0,0.0,10200.0,1.0,98107.0,2100000.0
1038,6.0,4.0,2800.0,0.0,3800.0,1.0,98121.0,875000.0
1462,5.0,3.5,3200.0,0.0,8000.0,1.0,98107.0,1750000.0
850,4.0,2.0,2100.0,0.0,4500.0,1.0,98115.0,985000.0
226,2.0,2.0,1200.0,0.0,1100.0,1.0,98110.0,620000.0
1213,1.0,1.0,680.0,0.0,0.5,0.0,98112.0,680000.0
438,3.0,2.0,1420.0,0.0,3100.0,1.0,98104.0,890000.0
51,2.0,1.5,1100.0,0.0,5500.0,1.0,98113.0,650000.0
