,state_code,lat,lon,lat_zone,bird
237,17,36.88,-84.99,2,6
69,45,38.72,-78.14,2,6
66,45,36.67,-83.4,2,6
403,0,67.52,-145.75,0,8
127,27,35.21,-80.68,2,6
245,27,35.04,-77.26,2,6
235,45,38.59,-78.68,2,6
382,0,61.73,-160.21,0,8
37,49,37.56,-82.13,2,6
331,0,63.37,-155.17,0,8
164,8,39.72,-75.72,2,1
211,37,44.98,-119.88,2,7
39,11,19.27,-155.62,1,4
149,16,37.18,-96.4,2,7
111,0,57.3,-157.52,2,8
444,35,41.01,-83.52,2,6
18,50,41.74,-105.66,2,7
278,45,37.93,-78.11,2,6
198,45,37.27,-80.68,2,6
36,45,36.91,-78.06,2,6
55,24,39.75,-92.07,2,2
25,24,36.88,-92.39,2,2
438,49,38.87,-80.34,2,6
152,34,43.19,-77.17,2,2
356,49,37.86,-80.81,2,6
130,26,47.12,-104.31,2,7
448,45,37.32,-77.56,2,6
176,0,58.16,-153.19,2,8
408,32,35.12,-107.9,2,3
223,24,40.5,-92.0,2,2
171,15,39.55,-87.45,2,6
376,26,45.32,-105.18,2,7
118,17,37.49,-84.43,2,6
74,8,39.28,-75.69,2,1
185,0,65.38,-163.44,0,8
482,29,40.81,-99.98,2,7
451,11,19.29,-155.82,1,4
98,27,35.08,-78.68,2,6
1,28,47.27,-103.21,2,7
335,16,39.27,-95.48,2,7
85,27,35.93,-78.54,2,6
493,35,40.62,-82.71,2,6
471,38,41.47,-75.75,2,6
338,11,21.62,-158.04,1,4
324,32,36.5,-106.55,2,3
381,26,46.04,-106.15,2,7
294,16,38.89,-99.32,2,7
109,32,35.82,-108.68,2,3
428,11,19.42,-155.78,1,4
26,34,43.11,-75.02,2,2
196,0,58.16,-153.19,2,8
348,24,36.93,-89.75,2,2
120,14,40.07,-88.36,2,6
53,8,39.38,-75.69,2,1
240,34,42.65,-74.67,2,2
191,15,39.55,-87.45,2,6
351,35,39.22,-82.32,2,6
262,5,40.59,-108.24,2,5
317,0,69.97,-151.51,0,8
487,38,41.92,-79.76,2,6
124,32,33.26,-105.36,2,3
319,5,38.82,-102.91,2,5
63,37,42.77,-118.4,2,7
355,26,45.53,-104.49,2,7
341,17,37.18,-83.28,2,6
226,49,39.54,-78.17,2,6
260,5,38.04,-105.92,2,5
442,27,36.43,-80.97,2,6
385,5,37.68,-103.09,2,5
320,8,39.75,-75.5,2,1
84,29,40.16,-101.09,2,7
189,49,40.0,-80.58,2,6
83,28,46.37,-97.94,2,7
412,5,40.8,-107.63,2,5
182,35,39.76,-83.27,2,6
150,15,39.4,-86.13,2,6
207,11,19.78,-155.1,1,4
282,37,42.98,-117.43,2,7
326,45,36.92,-79.37,2,6
136,14,38.77,-87.79,2,6
332,34,44.07,-74.28,2,2
269,50,43.3,-108.23,2,7
397,11,19.78,-155.43,1,4
121,29,40.42,-100.05,2,7
329,27,36.04,-79.36,2,6
213,11,22.0,-159.43,1,4
19,17,36.62,-84.45,2,6
337,11,19.78,-155.1,1,4
469,28,47.6,-100.47,2,7
93,50,44.05,-109.9,2,7
129,0,67.0,-151.68,0,8
23,32,33.55,-107.91,2,3
35,11,21.5,-157.88,1,4
480,49,38.33,-80.6,2,6
270,14,39.81,-89.86,2,6
100,29,41.62,-102.94,2,7
154,14,40.22,-89.75,2,6
484,27,35.63,-82.49,2,6
468,14,38.52,-87.67,2,6
446,45,37.4,-79.21,2,6
