,state_code,lat,lon,lat_zone,bird
1742,7,28.610869548216527,-81.2820701059779,1,6
2599,8,40.63979013771464,-82.65714734835633,2,0
1596,25,35.727243520764006,-80.24239400144583,2,4
2346,50,41.5613251300023,-75.78113393915943,2,7
1799,16,35.11854496295284,-124.39506710241506,2,5
516,19,45.394577384866345,-73.30393753405107,2,0
3552,7,38.11036878033669,-87.97025072110902,2,4
3573,17,42.05799849209671,-81.24858161563867,2,3
4018,49,39.8984901943975,-84.53806344239094,2,3
1927,29,32.40635744784115,-83.55416282697483,2,5
3627,49,42.727776019787214,-110.4226078288529,2,7
2391,10,51.108799521667486,-140.3721668795474,2,4
3673,14,34.62719112461961,-84.37997297893794,2,6
2029,6,33.14387257853883,-89.22677738495062,2,6
880,19,37.83381048176287,-87.10681130284985,2,5
2950,3,41.275937781390034,-106.8437388801926,2,6
3182,14,39.0296004118889,-111.98924155279288,2,5
755,5,39.65059409408944,-120.53218440787823,2,6
1550,13,37.83999427659834,-88.47177390171927,2,6
1663,5,41.18811395018002,-167.75,1,6
3039,29,35.38421031309298,-87.41076769990272,2,5
2189,11,38.174816296105305,-94.88647064965473,2,6
3964,47,44.75301119062585,-112.07569236383004,2,7
3348,31,37.423312096955215,-86.08948527200407,2,6
3103,41,39.13888990701366,-81.54462266268006,2,4
376,2,39.82564610465993,-96.99860014503116,2,1
4064,33,41.42220132430377,-79.31368650389321,2,4
1862,40,42.11316691028874,-77.3892619496125,2,6
1899,2,36.48031089955927,-85.43157795733921,2,5
966,13,24.87982710257853,-140.82408647589847,1,4
3366,19,37.61795711234814,-87.98263838839817,2,4
384,41,39.876519592789904,-104.49639705726972,2,7
51,2,34.509310271028454,-112.16102063489004,2,0
559,42,40.11168100956648,-74.48091583659621,2,4
2659,27,40.87580547338244,-99.39335170568384,2,6
702,30,39.17171204832262,-124.88062305845702,2,5
3227,10,41.44920826298011,-90.87075398964096,2,4
1776,43,38.31074822409162,-100.8382153277453,2,8
1092,20,40.46012827277575,-94.19156355454804,2,7
604,10,33.93404272634691,-120.06326383811547,2,5
476,42,42.37787441106804,-77.6806092435772,2,5
3355,34,38.039070843627385,-76.85883845781339,2,5
3432,10,30.91993433653966,-87.6167696197167,2,5
2624,4,38.00768574878555,-90.52831136485068,2,6
996,27,39.56170398436391,-69.55070263987005,2,2
3869,35,41.25163167279427,-71.20410202367292,2,3
3634,1,34.88065288546288,-90.07960013241082,2,6
3924,23,34.47394884818016,-91.12409124081664,1,5
3416,45,42.11750828896172,-67.14,2,6
2699,14,39.87933974540177,-80.37655862075317,2,2
3009,12,35.44918061410717,-103.02197419227156,2,0
3520,15,39.1324300085584,-82.67949093083834,2,2
2776,47,44.66379498713328,-109.23375362679772,2,7
3286,7,35.59922951449211,-86.4528408423468,2,6
1147,40,43.93487870661344,-111.39718725286518,2,7
884,34,35.413060757635286,-113.91065034548478,2,6
1241,25,34.49326820121562,-87.0938333033973,2,6
3144,24,37.58617373088356,-85.43196546998755,2,3
1126,44,42.85027176762538,-71.88226091590633,2,3
2538,0,33.55627086136765,-90.10134983093842,2,8
738,22,38.35798346472048,-90.68548081214834,2,4
986,3,46.27629428093976,-141.15896663271212,0,8
343,27,43.12651160035654,-117.95791901941948,2,7
218,29,41.381715025978814,-77.65422947926024,2,5
1084,7,42.24472930091021,-152.18306147408126,1,6
1085,34,42.275252675337775,-75.45190985580693,2,5
3498,26,46.70124900311753,-100.6813667303963,2,8
3563,8,38.87231833221516,-86.93658351213715,2,4
956,31,34.950163436035545,-104.50110750686066,2,5
3871,31,38.32615268115443,-103.43168312174728,2,6
1190,31,34.296237824900224,-83.94420973944025,2,5
1484,9,39.679574621984926,-78.77617559681796,2,2
2333,12,42.09350484550813,-87.29864623054695,2,2
1641,40,40.5578975588999,-77.65606269333111,2,6
1094,38,37.60044762058362,-114.3583375677258,2,0
854,46,39.179987801418,-109.32529336384816,2,7
1152,50,39.22193062465981,-77.51600748984735,2,6
634,7,39.10338586922214,-74.51396659931055,2,6
282,47,38.23787416750828,-79.62141563786746,2,6
632,15,43.00788103076964,-73.7103447308288,2,0
3026,37,39.42197593808452,-74.32606656616642,2,5
2738,17,34.04213368385422,-87.86279606020837,2,6
3489,13,36.69653504058382,-89.21890073721373,2,6
2548,38,39.92483309501439,-72.67465716514172,2,6
3718,38,35.94240847000388,-89.07685193088761,2,7
3175,23,45.95545158110359,-110.136978820598,2,7
3080,38,42.65115678854858,-74.95378218741612,2,5
18,29,34.92034642450456,-81.45690469212497,2,3
1300,10,18.93,-120.50800644348536,1,4
228,10,42.217351856727184,-133.9345196295056,2,6
3802,35,34.0349044447199,-126.4607070493726,1,5
2577,13,38.24134868706119,-119.72588667431722,2,3
2595,31,44.66812328936448,-67.14,2,4
1369,32,41.18050046071774,-73.30968898599976,2,2
3114,32,37.74928831223271,-84.75432587409703,2,6
635,44,45.12534924919124,-81.97940132121063,2,3
1582,33,47.78202018584834,-95.82212669182614,2,7
752,36,40.84628976486427,-76.36059027347886,2,4
2328,46,41.91856330362814,-74.89653613434047,2,5
3965,13,48.958588836252304,-97.12270408720138,2,1
