,state_code,lat,lon,lat_zone,bird
2789,11,40.4827828558051,-89.65383212025628,2,6
3790,7,38.585835664627886,-76.95499260089449,2,1
439,24,37.98218031815336,-94.11644233111308,2,2
892,35,44.382134502067,-104.89115611029432,2,7
1371,40,42.82651052307676,-123.9151737540057,2,7
2015,18,39.483164464761096,-93.31570960050816,2,7
352,33,35.39062971163877,-101.71882295248474,2,3
3023,10,39.69961679080322,-73.17967510476204,2,1
60,10,19.921703177764005,-157.6163887542061,1,4
1749,21,38.14674739457796,-87.16998860157537,2,6
3475,16,39.77711068993539,-88.9222729387016,2,6
121,42,38.40257008183483,-81.41793920166917,2,6
171,45,38.49230995856684,-77.06272193376768,2,6
2171,7,38.17485860772423,-103.22643770251852,2,5
271,0,62.45821814913472,-155.130795892294,2,8
2049,47,39.47596920410767,-81.07325302749102,2,6
1439,33,42.22076184404194,-75.17003697996955,2,2
2934,17,40.149348837381154,-86.23717456476601,2,6
3509,31,34.741890062061366,-104.08151228596346,2,3
2600,31,39.01311033093933,-75.88156980705658,2,6
3984,38,39.48225255214882,-77.54933372129902,2,6
2256,25,39.00298630373784,-97.1360110813944,2,2
463,32,44.8395955954374,-113.52579341998847,2,7
1181,39,45.73217826058783,-116.1268596189706,2,7
70,10,19.42634162761274,-156.25120193934984,1,4
1366,49,38.93668180022832,-83.59536266979285,2,6
1836,34,45.81751124404789,-111.9365418988639,2,7
3165,14,39.29589591690661,-86.27612384877527,2,6
1099,18,41.87834954641738,-96.10145498982386,2,7
3052,45,39.62337194249689,-112.5631259054196,2,0
2968,43,40.2841468050454,-112.19312815026676,2,0
328,48,38.36772675336763,-78.91551545614848,2,6
304,35,44.895425381249154,-122.461097707988,2,7
334,33,42.77352979619231,-108.46117015414296,2,7
2401,32,41.06661963608572,-76.64671937217177,2,2
2667,31,46.45066449590187,-110.0867558102626,2,7
1922,28,33.61221709275011,-102.24870633475726,2,3
260,18,38.62065451757626,-99.698528148513,2,7
2765,50,43.75955702277282,-105.54890834395876,2,7
3944,5,39.04247413993913,-106.90084239923404,2,5
2874,31,46.05281097194516,-115.96265806771426,2,7
252,14,36.79042469595399,-99.67597842229722,2,7
3230,4,39.83980410139784,-101.27102349378032,2,5
3335,34,34.85785865390617,-109.97584135266318,2,3
2767,50,41.8740735920963,-97.62354536909584,2,7
2175,37,40.25192899906424,-79.07806644651757,2,6
1913,44,40.22486801931017,-108.86506611839071,2,0
1901,34,44.64462414344303,-112.38473252667512,2,7
1501,5,39.03766417972696,-109.84135368616992,2,5
956,34,38.75174634015433,-80.96555611018583,2,6
296,43,39.0443309822196,-111.0166302804828,2,0
3869,37,46.58096727845103,-123.2025907167923,2,7
3773,50,42.24608929833787,-104.28392258831316,2,7
278,5,37.314468580696186,-104.30215206582328,2,5
2673,48,39.15643826807754,-81.32557260364032,2,6
2522,27,47.00525711055637,-107.91059782799604,2,7
949,0,63.82983964817026,-156.18271963468982,0,8
604,32,46.2647167484241,-109.35671036148696,2,7
854,16,39.37381878553907,-86.23916887454065,2,6
1016,27,39.32521091322842,-88.250759534411,2,2
2053,0,66.95266289125688,-158.05931205203163,0,8
1376,43,38.56302156710091,-114.97767851662356,2,0
1879,39,39.52245420221598,-79.39043749890203,2,6
3308,34,38.60154433598788,-79.81364746173328,2,6
3041,46,38.99836231784785,-80.76512968752598,2,6
1489,42,42.8484006143792,-124.04609140986398,2,7
3827,15,39.707330632470224,-101.1658726509315,2,7
4050,48,38.7021064907734,-82.43969659365789,2,6
1267,31,46.29737679317251,-116.1013548212394,2,7
471,23,40.23211482295776,-97.6897783731382,2,7
524,28,39.58358549178242,-77.37136410242339,2,6
1768,29,36.732901728213605,-82.8784756543772,2,6
752,50,42.34058913634988,-106.34082629010692,2,7
2527,22,40.08604493033907,-100.70368936178733,2,7
3506,31,60.14687552712402,-108.51759288638024,2,7
887,50,42.93718302704293,-111.47295838836006,2,7
1767,34,45.76235840293382,-112.27917661522852,2,7
3656,17,38.92,-85.51214158078655,2,6
2138,33,40.99659644655268,-78.32575574160835,2,2
3262,43,36.73627910964593,-78.87583893481519,2,6
311,23,40.46993423780161,-89.25629372947931,2,7
326,44,38.59670436279119,-111.23037804186212,2,0
2888,42,44.69867090277316,-115.60109729437065,2,7
1125,13,19.451965496260744,-156.03212197167102,1,4
2498,0,66.2579788134373,-123.93203851346604,0,8
3031,31,41.66704123557005,-77.03753653039311,2,2
1518,43,38.96699232532547,-112.91544190430687,2,0
1666,32,37.29656263130156,-107.49017866911548,2,3
1542,8,39.020760604294544,-75.46216128306382,2,1
1231,6,37.70465486936598,-103.55418288666436,2,5
2523,50,41.97700849107195,-103.58783530962404,2,7
3568,27,48.12405485594906,-100.44511794659574,2,7
3304,48,39.06581395703002,-79.96819936724368,2,6
2205,35,38.760998380361855,-79.936614968052,2,6
980,25,46.99960720206881,-106.71774383618708,2,7
1274,49,39.16906342581611,-81.98322488669685,2,6
1495,21,48.13135051716907,-113.0202919285202,2,7
2436,25,43.84468753021804,-104.2213127783218,2,7
1034,7,39.551689530948536,-76.95063667120874,2,1
2978,4,37.6570305210331,-105.14906251081548,2,5
