,state_code,lat,lon,lat_zone,bird
437,9.0,39.55,-75.45,2.0,2.0
413,11.0,19.6,-155.5,1.0,4.0
481,32.0,33.15,-106.2,2.0,3.0
263,16.0,38.0,-98.0,2.0,7.0
256,5.0,40.0,-106.0,2.0,5.0
289,9.0,38.7,-76.0,2.0,2.0
214,16.0,37.9,-94.75,2.0,7.0
499,8.0,39.1,-75.5,2.0,1.0
314,44.0,39.8,-113.1,2.0,0.0
107,16.0,37.9,-99.8,2.0,7.0
278,16.0,36.98,-97.12,2.0,7.0
290,5.0,38.45,-103.12,2.0,5.0
480,11.0,19.98,-155.5,1.0,4.0
142,17.0,38.21,-86.12,2.0,6.0
71,16.0,37.5,-97.0,2.0,7.0
146,44.0,39.75,-111.45,2.0,0.0
95,11.0,19.5,-155.8,1.0,4.0
108,32.0,33.25,-105.5,2.0,3.0
190,32.0,35.9,-107.95,2.0,3.0
369,34.0,33.45,-102.34,2.0,4.0
482,16.0,39.02,-97.5,2.0,7.0
487,49.0,37.9,-81.5,2.0,6.0
141,16.0,36.78,-102.45,2.0,7.0
412,32.0,44.5,-75.8,2.0,2.0
73,49.0,39.0,-80.0,2.0,6.0
479,33.0,35.6,-107.45,2.0,4.0
391,32.0,34.18,-107.05,2.0,3.0
103,11.0,19.75,-155.85,1.0,4.0
160,8.0,38.95,-75.65,2.0,1.0
318,32.0,45.1,-74.0,2.0,1.0
88,9.0,38.7,-75.2,2.0,1.0
402,44.0,38.9,-113.1,2.0,0.0
490,32.0,34.32,-107.12,2.0,3.0
387,17.0,37.85,-83.5,2.0,6.0
297,49.0,38.8,-81.35,2.0,6.0
99,8.0,39.55,-75.8,2.0,1.0
97,8.0,39.2,-75.6,2.0,1.0
58,0.0,64.2,-157.4,0.0,8.0
386,44.0,37.65,-113.9,2.0,0.0
240,49.0,37.85,-81.05,2.0,6.0
54,8.0,38.95,-75.7,2.0,1.0
460,8.0,39.12,-75.7,2.0,1.0
399,16.0,37.8,-95.0,2.0,7.0
228,33.0,44.12,-76.23,2.0,1.0
287,31.0,35.0,-108.5,2.0,4.0
272,0.0,70.02,-143.25,0.0,8.0
264,16.0,37.5,-99.0,2.0,7.0
109,5.0,38.6,-104.1,2.0,5.0
415,17.0,36.7,-83.7,2.0,6.0
494,5.0,37.15,-108.3,2.0,5.0
273,32.0,34.98,-105.12,2.0,3.0
77,32.0,42.5,-78.0,2.0,2.0
397,0.0,71.0,-152.1,0.0,8.0
144,11.0,21.35,-157.98,1.0,4.0
406,32.0,42.8,-76.9,2.0,2.0
496,32.0,35.25,-106.8,2.0,3.0
276,44.0,42.12,-113.45,2.0,0.0
56,0.0,67.4,-154.8,0.0,8.0
248,49.0,38.9,-79.25,2.0,6.0
295,5.0,38.3,-103.75,2.0,5.0
169,11.0,20.2,-155.75,1.0,4.0
80,50.0,39.15,-81.02,2.0,6.0
168,17.0,37.8,-82.8,2.0,6.0
462,1.0,61.24,-142.15,0.0,8.0
57,5.0,39.2,-103.9,2.0,5.0
390,16.0,38.45,-101.25,2.0,7.0
149,0.0,58.76,-157.02,2.0,8.0
84,45.0,39.5,-109.9,2.0,0.0
192,8.0,38.7,-75.5,2.0,1.0
323,9.0,39.55,-75.95,2.0,2.0
401,0.0,66.8,-144.5,0.0,8.0
143,16.0,37.45,-97.23,2.0,7.0
216,49.0,38.05,-81.25,2.0,6.0
243,49.0,38.45,-81.55,2.0,6.0
191,8.0,39.2,-75.6,2.0,1.0
139,32.0,43.85,-74.75,2.0,1.0
324,33.0,34.1,-106.5,2.0,4.0
469,32.0,42.13,-76.61,2.0,2.0
468,49.0,37.64,-80.93,2.0,6.0
166,49.0,38.45,-81.2,2.0,6.0
262,44.0,40.0,-111.5,2.0,0.0
72,0.0,63.0,-145.0,0.0,8.0
100,16.0,38.12,-102.45,2.0,7.0
126,11.0,19.25,-155.5,1.0,4.0
244,11.0,20.15,-155.5,1.0,4.0
128,17.0,37.1,-85.8,2.0,6.0
266,49.0,39.5,-81.0,2.0,6.0
365,12.0,21.34,-157.98,1.0,3.0
270,0.0,62.15,-160.12,0.0,8.0
247,44.0,39.6,-111.8,2.0,0.0
164,32.0,36.95,-106.1,2.0,3.0
123,32.0,33.8,-104.6,2.0,3.0
257,5.0,37.6,-106.2,2.0,5.0
198,8.0,39.6,-75.8,2.0,1.0
194,16.0,39.6,-99.9,2.0,7.0
255,32.0,34.3,-103.5,2.0,3.0
277,32.0,33.12,-104.56,2.0,3.0
416,8.0,39.5,-75.5,2.0,1.0
405,17.0,36.95,-87.5,2.0,6.0
498,0.0,65.4,-154.75,0.0,8.0
