,state_code,lat,lon,lat_zone,bird
6752,5.0,40.39,-106.83,2.0,5.0
4764,49.0,39.27,-80.72,2.0,6.0
6109,32.0,48.09,-81.09,2.0,2.0
7079,49.0,38.65,-80.49,2.0,6.0
7277,0.0,69.44,-148.25,0.0,8.0
3412,16.0,39.49,-97.37,2.0,7.0
4070,0.0,64.59,-156.09,0.0,8.0
6236,17.0,45.09,-91.89,2.0,6.0
7094,11.0,21.41,-157.19,1.0,4.0
3434,17.0,36.99,-84.29,2.0,6.0
5518,49.0,38.39,-81.19,2.0,6.0
3866,17.0,37.57,-88.39,2.0,6.0
3520,49.0,39.61,-79.89,2.0,6.0
5231,16.0,38.09,-101.71,2.0,7.0
6203,49.0,47.49,-87.29,2.0,6.0
6732,5.0,40.75,-107.03,2.0,5.0
4604,49.0,55.19,-84.21,2.0,6.0
6391,0.0,61.59,-145.59,0.0,8.0
3780,16.0,39.29,-97.93,2.0,7.0
3872,49.0,39.61,-79.89,2.0,6.0
4184,5.0,41.23,-110.45,2.0,5.0
3813,5.0,39.87,-105.59,2.0,5.0
4464,44.0,50.95,-117.05,2.0,0.0
6399,17.0,37.49,-85.59,2.0,6.0
4102,0.0,64.11,-156.25,0.0,8.0
3750,32.0,33.35,-108.49,2.0,3.0
6116,17.0,43.49,-90.29,2.0,6.0
6130,32.0,42.49,-113.49,2.0,3.0
3493,5.0,40.59,-107.93,2.0,5.0
6398,49.0,37.31,-81.79,2.0,6.0
5325,8.0,39.51,-75.67,2.0,1.0
5796,8.0,41.09,-77.69,2.0,1.0
4840,5.0,40.61,-107.89,2.0,5.0
4338,11.0,23.79,-159.79,1.0,4.0
5693,49.0,40.69,-80.49,2.0,6.0
4506,11.0,26.79,-162.99,1.0,4.0
5420,11.0,21.85,-158.49,1.0,4.0
4330,11.0,24.59,-161.15,1.0,4.0
4675,16.0,62.11,-123.07,2.0,7.0
5299,11.0,21.87,-156.97,1.0,4.0
4462,8.0,44.39,-80.95,2.0,1.0
4644,49.0,58.33,-85.61,2.0,6.0
4277,17.0,39.79,-88.51,2.0,6.0
6801,16.0,38.91,-99.67,2.0,7.0
3882,17.0,36.99,-84.29,2.0,6.0
4389,17.0,42.03,-90.61,2.0,6.0
4268,49.0,41.39,-82.01,2.0,6.0
7100,32.0,33.39,-105.65,2.0,3.0
3404,16.0,39.25,-97.79,2.0,7.0
6888,8.0,39.03,-75.49,2.0,1.0
6118,32.0,49.09,-85.89,2.0,2.0
4341,17.0,41.03,-89.59,2.0,6.0
5178,44.0,41.69,-113.21,2.0,0.0
4223,5.0,40.59,-106.85,2.0,5.0
5026,44.0,41.05,-112.73,2.0,0.0
4185,32.0,42.19,-73.31,2.0,2.0
4641,32.0,50.99,-84.23,2.0,2.0
6197,32.0,41.09,-111.29,2.0,3.0
5027,11.0,21.39,-156.69,1.0,4.0
4319,5.0,41.79,-108.05,2.0,5.0
7018,8.0,38.97,-75.65,2.0,1.0
3556,16.0,39.29,-97.93,2.0,7.0
5116,49.0,39.41,-80.77,2.0,6.0
4130,11.0,21.59,-157.59,1.0,4.0
3772,16.0,39.63,-97.23,2.0,7.0
4972,49.0,39.37,-80.65,2.0,6.0
5030,17.0,38.51,-83.83,2.0,6.0
4323,16.0,42.99,-102.79,2.0,7.0
4414,8.0,43.79,-80.11,2.0,1.0
5857,5.0,41.69,-106.89,2.0,5.0
3259,17.0,37.58,-88.11,2.0,6.0
5629,32.0,41.79,-74.79,2.0,2.0
4554,11.0,27.39,-163.47,1.0,4.0
5237,8.0,39.43,-75.66,2.0,1.0
5873,49.0,43.09,-82.89,2.0,6.0
5124,49.0,38.75,-80.65,2.0,6.0
4970,44.0,41.45,-112.99,2.0,0.0
3258,32.0,31.67,-108.59,2.0,3.0
5975,11.0,24.89,-161.29,1.0,4.0
5114,44.0,41.61,-113.13,2.0,0.0
6301,32.0,43.28,-76.59,2.0,2.0
5934,16.0,42.49,-102.09,2.0,7.0
7077,0.0,69.18,-148.59,0.0,8.0
5656,16.0,38.29,-101.39,2.0,7.0
6394,16.0,38.49,-96.59,2.0,7.0
5982,11.0,24.09,-159.89,1.0,4.0
4501,17.0,44.51,-93.07,2.0,6.0
4978,44.0,41.13,-112.83,2.0,0.0
6506,16.0,37.15,-96.58,2.0,7.0
6316,8.0,38.59,-75.28,2.0,1.0
4205,17.0,38.91,-85.33,2.0,6.0
5614,32.0,41.49,-74.95,2.0,2.0
4027,16.0,38.79,-99.31,2.0,7.0
4574,8.0,45.79,-82.95,2.0,1.0
4898,44.0,40.97,-110.87,2.0,0.0
4666,11.0,28.79,-164.67,1.0,4.0
5718,17.0,40.09,-86.89,2.0,6.0
7009,49.0,38.71,-80.45,2.0,6.0
3444,16.0,39.29,-97.93,2.0,7.0
6860,32.0,33.39,-105.65,2.0,3.0
