,state_code,lat,lon,lat_zone,bird
1924,16.0,37.55,-101.33,2.0,7.0
3057,8.0,39.15,-75.38,2.0,1.0
3146,0.0,65.78,-143.89,0.0,8.0
880,11.0,21.05,-157.13,1.0,4.0
1490,16.0,38.41,-96.86,2.0,7.0
2349,16.0,37.68,-96.49,2.0,7.0
800,44.0,37.5,-110.0,2.0,0.0
2880,44.0,38.87,-112.38,2.0,0.0
1583,0.0,63.62,-162.17,0.0,8.0
1254,49.0,37.98,-81.23,2.0,6.0
663,0.0,57.41,-132.98,2.0,8.0
1516,32.0,40.46,-73.36,2.0,2.0
1792,32.0,42.9,-73.6,2.0,2.0
2693,11.0,20.12,-157.45,1.0,4.0
2578,49.0,38.7,-81.0,2.0,6.0
1477,11.0,21.93,-158.69,1.0,4.0
2280,32.0,34.09,-103.43,2.0,3.0
626,8.0,38.73,-75.41,2.0,1.0
2364,8.0,38.55,-75.33,2.0,1.0
2785,16.0,37.9,-96.45,2.0,7.0
1406,32.0,34.52,-103.51,2.0,3.0
2383,0.0,66.5,-152.3,0.0,8.0
1520,44.0,41.61,-111.63,2.0,0.0
2476,11.0,19.3,-155.4,1.0,4.0
1360,32.0,33.89,-106.78,2.0,3.0
2187,32.0,32.98,-106.21,2.0,3.0
1305,11.0,19.78,-155.02,1.0,4.0
430,5.0,39.32,-106.24,2.0,5.0
1243,44.0,39.71,-110.56,2.0,0.0
331,11.0,20.15,-155.62,1.0,4.0
1593,8.0,38.32,-75.63,2.0,1.0
1396,16.0,37.27,-101.99,2.0,7.0
1884,44.0,39.45,-113.01,2.0,0.0
574,32.0,34.89,-109.12,2.0,3.0
1586,49.0,39.29,-79.99,2.0,6.0
3272,11.0,20.98,-155.89,1.0,4.0
1651,32.0,34.1,-105.7,2.0,3.0
1720,16.0,38.61,-101.12,2.0,7.0
2295,32.0,34.93,-103.66,2.0,3.0
2771,16.0,38.51,-99.35,2.0,7.0
2949,11.0,19.73,-155.34,1.0,4.0
535,44.0,39.21,-112.18,2.0,0.0
1989,16.0,38.58,-99.19,2.0,7.0
382,32.0,43.9,-75.87,2.0,2.0
2449,8.0,38.6,-75.4,2.0,1.0
171,49.0,38.22,-81.67,2.0,6.0
582,0.0,60.72,-140.89,2.0,8.0
762,44.0,41.88,-111.47,2.0,0.0
935,49.0,38.89,-80.98,2.0,6.0
319,8.0,38.76,-75.89,2.0,1.0
1187,17.0,37.66,-86.43,2.0,6.0
1888,0.0,57.45,-152.56,2.0,8.0
1975,44.0,39.91,-113.89,2.0,0.0
1312,11.0,19.87,-155.84,1.0,4.0
2512,0.0,65.23,-156.47,0.0,8.0
2698,32.0,35.45,-107.12,2.0,3.0
52,16.0,39.3,-98.5,2.0,7.0
1290,5.0,39.02,-103.63,2.0,5.0
675,32.0,42.54,-73.91,2.0,2.0
208,0.0,63.0,-155.0,0.0,8.0
973,8.0,39.16,-75.37,2.0,1.0
3144,16.0,39.54,-98.76,2.0,7.0
366,44.0,40.19,-112.05,2.0,0.0
1910,5.0,39.12,-105.45,2.0,5.0
894,49.0,39.3,-80.89,2.0,6.0
1570,16.0,39.1,-95.9,2.0,7.0
741,49.0,38.66,-80.55,2.0,6.0
545,17.0,36.98,-84.21,2.0,6.0
3238,16.0,37.91,-95.43,2.0,7.0
45,11.0,20.5,-155.7,1.0,4.0
2199,8.0,39.04,-75.41,2.0,1.0
2279,0.0,68.71,-159.67,0.0,8.0
1289,44.0,39.92,-112.77,2.0,0.0
2188,8.0,38.41,-75.78,2.0,1.0
1589,0.0,65.14,-163.24,0.0,8.0
549,16.0,37.89,-95.44,2.0,7.0
1948,17.0,37.64,-82.17,2.0,6.0
1115,32.0,36.5,-107.5,2.0,3.0
903,32.0,42.63,-77.41,2.0,2.0
2232,32.0,32.89,-108.56,2.0,3.0
2143,0.0,69.13,-159.87,0.0,8.0
1656,11.0,19.3,-155.2,1.0,4.0
4,17.0,37.42,-84.1,2.0,6.0
1709,16.0,38.43,-99.65,2.0,7.0
3264,16.0,38.19,-99.14,2.0,7.0
126,11.0,19.85,-155.94,1.0,4.0
2370,16.0,38.99,-97.34,2.0,7.0
2644,8.0,38.76,-75.34,2.0,1.0
457,44.0,39.31,-113.44,2.0,0.0
2890,32.0,42.6,-75.44,2.0,2.0
930,44.0,39.56,-109.78,2.0,0.0
2837,0.0,63.83,-143.47,0.0,8.0
2124,5.0,40.67,-105.44,2.0,5.0
2229,32.0,42.89,-76.43,2.0,2.0
2975,16.0,38.12,-97.34,2.0,7.0
2904,44.0,41.06,-111.42,2.0,0.0
103,49.0,38.45,-81.12,2.0,6.0
1988,5.0,40.37,-102.94,2.0,5.0
1784,44.0,38.4,-112.0,2.0,0.0
910,32.0,41.46,-74.72,2.0,2.0
