,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
334,49,2,107882,11,9,0,0,1,4,0,0,0,40,38,0
253,50,2,113481,11,9,2,2,0,4,1,0,0,40,38,0
450,23,2,193090,11,9,4,7,3,4,0,0,0,40,38,0
122,33,2,159442,15,10,0,0,4,4,0,0,0,40,38,0
439,44,2,115289,15,10,2,2,0,4,1,0,0,40,38,0
370,24,2,192779,11,9,4,3,3,4,1,0,0,40,38,0
8,22,2,193949,15,10,4,0,3,4,0,0,0,40,38,0
256,48,2,115932,9,13,2,2,0,4,1,0,0,40,38,1
58,33,2,205309,11,9,2,2,0,4,1,0,0,40,38,0
169,23,2,193090,11,9,4,0,3,4,0,0,0,40,38,0
330,40,2,113364,11,9,2,6,0,4,1,0,0,40,38,0
347,39,2,190290,9,13,2,3,0,4,1,0,0,50,38,1
391,36,2,175759,15,10,2,2,0,4,1,0,0,40,38,1
341,36,2,169469,15,10,2,2,0,4,1,0,0,40,38,0
204,22,2,186648,11,9,4,7,3,4,0,0,0,40,38,0
362,42,2,109089,11,9,2,13,0,4,1,0,0,40,38,0
126,23,2,194630,9,13,4,3,3,4,1,0,0,40,38,0
140,21,2,112847,15,10,4,5,3,4,1,0,0,40,38,0
52,24,2,181091,15,10,4,7,3,4,1,0,0,40,38,0
417,32,2,190525,9,13,2,3,0,4,1,0,0,40,38,1
429,37,2,155489,12,14,2,3,0,4,1,0,0,50,38,1
491,40,2,198145,12,14,2,9,0,4,1,0,0,40,38,1
458,58,4,176185,11,9,2,2,0,4,1,0,0,40,38,0
26,29,2,176683,11,9,4,2,3,4,1,0,0,40,38,0
90,47,2,168262,11,9,2,2,0,4,1,0,0,40,38,0
82,35,2,102359,11,9,2,6,0,4,1,0,0,40,38,0
261,38,2,168211,9,13,2,11,0,4,1,0,0,40,38,1
424,26,2,114060,11,9,4,5,2,4,1,0,0,40,38,0
155,41,2,176185,11,9,2,13,0,4,1,0,0,40,38,0
133,34,2,165315,11,9,0,7,4,4,0,0,0,40,38,0
303,38,2,195949,11,9,2,2,0,4,1,0,0,45,38,0
1,44,2,208537,15,10,2,2,0,4,1,0,0,40,38,0
405,54,2,19302,11,9,2,2,0,4,1,0,0,40,38,1
5,33,2,205337,11,9,2,2,0,4,1,0,0,40,38,0
472,45,2,145409,9,13,2,3,0,4,1,0,0,40,38,1
452,44,2,168211,12,14,2,3,0,4,1,0,0,40,38,1
381,25,2,113688,15,10,4,0,3,4,0,0,0,40,38,0
368,40,2,172581,15,10,0,0,4,4,0,0,0,38,38,0
430,20,2,198668,15,10,4,0,3,4,0,0,0,40,38,0
95,47,2,201127,11,9,2,2,0,4,1,0,0,40,38,0
206,30,2,194698,15,10,2,11,0,4,1,0,0,40,38,0
156,36,2,191681,11,9,2,2,0,4,1,0,0,40,38,0
293,36,4,111945,11,9,2,13,0,4,1,0,0,60,38,0
238,55,2,143046,11,9,0,0,1,4,0,0,0,40,38,0
411,20,2,188571,11,9,4,5,3,4,1,0,0,40,38,0
305,22,2,115677,11,9,4,7,1,4,1,0,0,40,38,0
292,18,2,160625,11,9,4,7,3,4,1,0,0,20,38,0
297,27,2,203488,11,9,4,2,3,4,1,0,0,40,38,0
244,37,2,206521,15,10,2,2,0,4,1,0,0,40,38,0
462,33,2,174395,11,9,2,2,0,4,1,0,0,40,38,0
24,47,4,143766,15,10,2,2,0,4,1,0,0,50,38,0
390,24,2,187397,9,13,4,0,3,4,0,0,0,40,38,0
174,49,2,192982,11,9,2,2,0,4,1,0,0,40,38,1
197,36,2,190044,15,10,2,2,0,4,1,0,0,50,38,1
101,31,2,177211,11,9,2,5,0,4,1,0,0,40,38,0
377,34,2,174789,9,13,4,0,3,4,1,0,0,40,38,0
66,25,2,117767,11,9,4,0,3,4,1,0,0,40,38,0
274,29,2,188888,9,13,4,0,1,4,0,0,0,40,38,0
194,22,2,184720,15,10,4,7,3,4,0,0,0,40,38,0
409,30,2,169122,11,9,0,0,4,4,0,0,0,40,38,0
308,47,2,162667,11,9,2,6,0,4,1,0,0,40,38,0
302,23,2,174788,15,10,4,2,3,4,1,0,0,40,38,0
178,33,4,172281,11,9,2,2,0,4,1,0,0,50,38,0
357,60,2,190511,15,10,2,7,0,4,1,0,0,40,38,0
338,40,2,210736,15,10,2,13,0,4,1,0,0,50,38,0
141,36,2,216214,11,9,2,0,0,4,1,0,0,40,38,0
25,23,2,116677,11,9,4,2,3,4,1,0,0,40,38,0
418,38,2,192017,11,9,2,13,0,4,1,0,0,40,38,0
285,20,2,170800,11,9,4,5,3,4,1,0,0,40,38,0
407,20,2,191254,15,10,4,0,3,4,1,0,0,40,38,0
130,24,2,184710,11,9,4,2,3,4,1,0,0,40,38,0
207,19,2,177421,11,9,4,7,3,4,0,0,0,20,38,0
324,20,2,108574,11,9,4,0,3,4,0,0,0,40,38,0
14,31,2,198265,9,13,2,0,0,4,1,0,0,40,38,1
382,29,2,108557,11,9,4,6,1,4,1,0,0,40,38,0
97,24,2,112650,11,9,4,2,3,4,1,0,0,40,38,0
32,34,4,176520,15,10,2,2,0,4,1,0,0,40,38,0
432,29,2,189933,11,9,2,2,0,4,1,0,0,40,38,0
67,21,2,224361,11,9,4,5,3,4,1,0,0,40,38,0
483,47,2,185041,12,14,2,3,0,4,1,0,0,45,38,1
184,29,2,114537,9,13,2,9,0,4,1,0,0,40,38,0
192,33,2,184117,11,9,4,0,4,4,0,0,0,40,38,0
374,57,4,206889,5,4,2,2,0,4,1,0,0,40,38,0
250,20,2,177597,11,9,4,2,3,4,1,0,0,40,38,0
72,33,2,175769,11,9,2,2,0,4,1,0,0,40,38,0
497,36,2,197997,11,9,2,6,0,4,1,0,0,40,38,0
479,33,2,185647,11,9,2,13,0,4,1,0,0,40,38,0
76,36,2,176185,11,9,2,2,0,4,1,0,0,40,38,0
105,31,2,114691,11,9,4,2,1,4,1,0,0,40,38,0
114,41,2,186172,9,13,2,9,0,4,1,0,0,40,38,1
15,42,2,189933,11,9,2,13,0,4,1,0,0,40,38,0
200,21,2,108887,11,9,4,7,3,4,0,0,0,30,38,0
493,29,2,204653,11,9,4,2,1,4,1,0,0,40,38,0
298,47,2,176992,11,9,2,2,0,4,1,0,0,40,38,1
98,38,2,205100,11,9,2,13,0,4,1,0,0,50,38,0
198,29,2,191385,8,11,4,12,1,4,1,0,0,40,38,0
315,31,2,193042,9,13,2,3,0,4,1,0,0,50,38,1
473,40,2,168625,11,9,0,0,4,4,0,0,0,40,38,0
471,46,2,155659,11,9,2,2,0,4,1,0,0,40,38,1
249,37,2,194580,11,9,2,6,0,4,1,0,0,40,38,0
