,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.08149445803790707,0.09533131498026017,0.08808819621497668,0.005092552747107638
sanity.close_values_probability.score,0.82,0.86,0.842,0.014832396974191338
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.025833258494041684,0.027775039936504927,0.026860179061638623,0.0008273409619283179
stats.chi_squared_test.marginal,0.1112151202991134,0.19155694504887338,0.1570868991827387,0.03849180604204124
stats.inv_kl_divergence.marginal,0.3920105251424942,0.4357061374250437,0.4228368458829044,0.017822830349978804
stats.ks_test.marginal,0.748,0.7579999999999999,0.7518666666666667,0.003812260921465498
stats.max_mean_discrepancy.joint,0.02,0.02035582562985579,0.0200765835657929,0.0001565412313223459
stats.wasserstein_dist.joint,0.32661177746774606,0.3431904183119234,0.3356153532583168,0.0060202505714604245
stats.alpha_precision.delta_precision_alpha_OC,0.12873563218390793,0.12873563218390793,0.12873563218390793,0.0
stats.alpha_precision.delta_coverage_beta_OC,0.09126436781609193,0.09126436781609193,0.09126436781609193,0.0
stats.alpha_precision.authenticity_OC,0.05,0.05,0.05,0.0
stats.alpha_precision.delta_precision_alpha_naive,0.6862068965517241,0.797655172413793,0.7530942528735632,0.04511285184408256
stats.alpha_precision.delta_coverage_beta_naive,0.2286666666666668,0.30199999999999994,0.2646666666666667,0.03212475680841796
stats.alpha_precision.authenticity_naive,0.53,0.73,0.6359999999999999,0.09396807968666805
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.51,0.72,0.614,0.09502631214563678
stats.prdc.density,1.144,1.1640000000000001,1.1532,0.00867179335547155
stats.prdc.coverage,0.54,0.61,0.578,0.025884358211089552
performance.linear_model.gt,0.770375,0.770375,0.770375,0.0
performance.linear_model.syn_id,0.6866809030773655,0.794528616623526,0.7581035950532067,0.04156201742664933
performance.linear_model.syn_ood,0.6824999999999999,0.7883333333333333,0.7517750000000001,0.04104139805326653
performance.mlp.gt,0.5,0.5,0.5,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.8390833333333333,0.8390833333333333,0.8390833333333333,0.0
performance.xgb.syn_id,0.7276572476272649,0.8140171843543286,0.7891846706931263,0.03520402991655141
performance.xgb.syn_ood,0.7110833333333332,0.8168333333333333,0.7855666666666667,0.04255383232839715
performance.feat_rank_distance.corr,-0.0736842105263158,0.18947368421052632,0.035789473684210524,0.10383238143711744
performance.feat_rank_distance.pvalue,0.2598399893189163,0.9744669029388741,0.6830111074057217,0.2751439588098827
detection.detection_xgb.mean,1.0,1.0,1.0,0.0
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.4795,0.5255,0.5031,0.016827804372525835
detection.detection_linear.mean,0.925,0.9545,0.9435,0.012005207203542947
privacy.delta-presence.score,8.333333305555556,24.999999750000004,20.666666471111114,7.226494366924064
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,2.0,1.2,0.44721359549995804
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.28,0.33,0.304,0.02302172886644267
privacy.identifiability_score._privacy.identifiability_score.OC,0.24,0.31,0.264,0.027928480087537885
