,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
5702,36,2,121741,14,9,0,0,1,4,0,0,0,36,37,0
1002,36,2,172260,10,9,2,1,3,4,1,5,0,40,38,1
5854,18,2,122148,10,9,2,1,1,4,1,0,0,40,38,0
4812,34,2,148148,10,8,6,6,0,4,0,0,0,35,38,0
1873,26,4,191363,11,9,2,3,0,4,0,0,0,40,38,1
1427,39,2,155199,11,8,2,4,1,4,1,2,0,49,37,0
4891,43,2,174851,10,8,4,0,3,2,1,1,0,39,37,0
2883,24,2,248803,10,8,0,6,3,1,0,3591,0,48,37,0
5280,45,4,327248,14,9,0,10,5,4,1,0,0,66,38,1
2438,33,2,195584,11,8,0,10,3,2,1,4,0,29,37,1
5224,28,1,32194,0,15,2,9,0,1,1,5,1788,39,37,1
864,43,2,185359,11,9,5,6,1,4,0,0,0,40,38,0
4816,39,2,28125,15,10,4,0,3,4,1,0,0,39,38,0
3540,56,0,87027,9,13,2,3,0,2,1,1,0,49,37,0
3421,48,0,319485,15,13,4,3,1,4,1,0,0,44,38,1
1403,34,2,63506,0,10,0,0,1,4,1,0,0,39,38,1
4448,54,2,105631,14,10,2,9,0,2,1,2,0,35,37,1
1412,74,2,182969,10,8,2,0,0,4,1,618,0,69,38,1
3219,41,2,361183,11,11,4,0,1,4,0,0,0,39,38,0
3208,39,2,346779,15,14,2,3,0,4,1,4,0,40,38,1
2802,38,2,104277,10,8,2,6,0,4,1,0,0,65,38,1
5291,27,2,198731,14,9,2,10,5,1,0,0,0,45,37,1
3557,34,2,171881,10,8,4,12,1,4,0,3,0,21,38,0
1524,21,4,200106,15,10,4,9,3,0,1,14690,0,35,37,0
3344,45,2,37522,10,12,2,2,0,4,1,0,0,50,37,1
4150,28,2,214763,11,14,5,3,1,1,1,3423,0,39,38,0
2492,31,2,329080,15,9,4,10,0,4,0,0,0,19,38,0
1944,19,4,190366,11,9,4,0,1,4,1,0,0,34,33,0
857,46,2,1035878,5,13,2,9,1,4,1,3,0,54,38,0
1250,47,2,248301,12,10,2,2,0,4,1,2,0,40,37,0
5263,23,2,103844,8,8,2,3,0,4,0,7509,0,30,38,0
3447,23,2,340545,14,9,4,0,3,4,0,0,0,49,37,1
4429,34,4,188214,8,12,2,8,0,4,1,5,0,49,37,1
713,40,2,192259,11,13,2,10,0,4,1,8,0,49,37,0
3039,37,2,237362,11,9,0,4,1,2,0,3,0,34,38,0
5941,29,2,197026,8,12,2,9,1,4,1,7,0,20,38,0
4321,34,2,128517,8,8,2,3,1,2,0,0,0,39,38,0
641,36,4,307627,11,8,2,13,0,4,1,0,0,39,37,0
4903,23,4,181036,11,9,4,0,3,4,0,0,0,39,38,0
3284,21,4,42054,9,10,2,2,0,4,1,0,0,49,38,1
5841,47,2,216059,10,8,2,6,3,4,1,0,0,39,37,1
4460,47,1,197437,14,13,2,2,0,4,1,10,0,45,37,1
3215,44,1,174878,11,9,2,1,1,4,0,2,0,40,37,1
3201,25,2,515037,14,9,4,0,3,4,1,0,0,16,37,0
1642,44,2,240380,15,10,2,3,3,4,1,0,0,54,37,0
2480,47,2,107486,15,9,4,0,1,2,1,0,0,39,38,0
2214,44,2,179090,10,8,2,6,0,4,1,0,0,29,37,1
4823,32,2,112519,11,9,5,12,5,4,0,0,0,36,37,1
2630,38,2,169454,10,12,2,9,0,4,1,0,0,39,38,0
1444,22,2,537383,11,9,4,1,1,4,1,0,0,67,38,0
3399,40,4,317066,8,12,2,3,0,1,1,0,0,50,37,1
4978,19,2,37334,11,9,4,5,4,4,0,1,0,40,38,0
4183,29,2,155368,10,8,4,4,4,4,1,0,0,39,36,0
5360,28,2,229212,15,9,6,5,1,4,0,0,0,10,37,0
1822,23,2,31696,5,13,2,4,1,4,1,0,0,39,6,0
4840,31,2,132244,15,13,2,6,0,4,1,5,0,39,37,0
3911,38,2,226554,10,8,2,10,0,4,1,0,1829,53,38,1
3337,36,2,199547,10,8,4,6,4,4,0,3,0,40,38,0
