,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.02923319817614705,0.056992277097190056,0.04707424658197641,0.0107410970667304
sanity.close_values_probability.score,0.96,0.98,0.968,0.008366600265340763
sanity.distant_values_probability.score,0.01,0.02,0.012,0.00447213595499958
stats.jensenshannon_dist.marginal,0.01726054850887586,0.019558854256365454,0.018847563804613277,0.0009341413725508539
stats.chi_squared_test.marginal,0.31954867628498906,0.4880107997290078,0.37882451370135084,0.0661505222528057
stats.inv_kl_divergence.marginal,0.6654420766129887,0.7495144973048188,0.6892657673658162,0.0343645203343595
stats.ks_test.marginal,0.7706666666666666,0.7826666666666667,0.778,0.005333333333333357
stats.max_mean_discrepancy.joint,0.02,0.02,0.02,0.0
stats.wasserstein_dist.joint,0.2997154415144835,0.33666280507832835,0.31888737669673073,0.013484387822408826
stats.alpha_precision.delta_precision_alpha_OC,0.12873563218390793,0.14673563218390806,0.13926896551724138,0.009619424792228232
stats.alpha_precision.delta_coverage_beta_OC,0.09126436781609193,0.09333333333333349,0.09207816091954027,0.0011145988331497045
stats.alpha_precision.authenticity_OC,0.05,0.05,0.05,0.0
stats.alpha_precision.delta_precision_alpha_naive,0.8408045977011493,0.8789885057471265,0.861232183908046,0.014433620343539282
stats.alpha_precision.delta_coverage_beta_naive,0.16466666666666674,0.28466666666666673,0.2330528735632184,0.050424278356762185
stats.alpha_precision.authenticity_naive,0.55,0.75,0.642,0.08899438184514792
stats.prdc.precision,0.98,1.0,0.994,0.008944271909999166
stats.prdc.recall,0.94,0.99,0.9719999999999999,0.021679483388678818
stats.prdc.density,1.02,1.1119999999999999,1.0676,0.04234146903450557
stats.prdc.coverage,0.9,1.0,0.958,0.04024922359499621
performance.linear_model.gt,0.770375,0.770375,0.770375,0.0
performance.linear_model.syn_id,0.6723185217141214,0.8334381650848431,0.7347855622663216,0.0698382883455221
performance.linear_model.syn_ood,0.6850833333333333,0.8433333333333334,0.7465833333333334,0.06589488815319611
performance.mlp.gt,0.5,0.5,0.5,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.8390833333333333,0.8390833333333333,0.8390833333333333,0.0
performance.xgb.syn_id,0.7306344549899337,0.8174102674719587,0.7685043715846995,0.03743896926074144
performance.xgb.syn_ood,0.7216666666666667,0.834125,0.7753916666666667,0.046089573492518056
performance.feat_rank_distance.corr,0.0736842105263158,0.2105263157894737,0.14526315789473684,0.062452197786068746
performance.feat_rank_distance.pvalue,0.20862839781386747,0.6771082386478994,0.4194621947211289,0.20741773556338186
detection.detection_xgb.mean,0.993,0.9984999999999999,0.9958,0.002514955267991886
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.47424999999999995,0.53925,0.5063,0.023543443885719023
detection.detection_linear.mean,0.7959999999999999,0.8390000000000001,0.8169000000000001,0.015265975239073377
privacy.delta-presence.score,1.6666666648148147,2.999999994,2.41777776883358,0.5761515496984817
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4472135954999579
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4472135954999579
privacy.identifiability_score.,0.47,0.57,0.504,0.03911521443121588
privacy.identifiability_score._privacy.identifiability_score.OC,0.42,0.52,0.46399999999999997,0.03646916505762095
