,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
4677,49,2,121819,9,12,0,0,4,4,0,0,0,40,38,0
781,51,5,57915,15,10,2,5,0,4,1,0,0,17,38,0
2902,32,2,175941,15,10,4,0,1,4,1,0,0,40,38,0
5926,29,2,284028,15,10,4,3,1,4,0,0,0,40,38,0
3623,36,2,64259,9,13,2,7,0,4,1,0,0,40,38,0
4733,44,2,166980,2,4,2,3,0,4,1,0,0,40,38,0
66,41,2,49909,9,13,2,4,0,4,1,0,0,40,38,0
3492,23,2,462159,11,9,4,7,1,4,1,99999,0,40,38,0
904,26,2,171658,11,9,4,2,1,4,1,0,0,40,38,0
3018,45,2,71526,15,10,6,13,4,4,0,0,0,40,38,0
1507,23,2,178071,15,10,4,7,2,4,1,0,0,40,38,0
5678,38,2,131222,8,13,2,11,5,4,0,0,0,40,38,0
5981,42,2,301675,11,9,4,13,3,2,1,0,0,50,38,0
3026,40,1,252242,11,9,2,3,0,4,1,0,0,40,38,0
5552,56,2,163092,9,13,2,3,0,1,1,0,0,40,7,1
987,48,2,182027,11,9,5,3,4,2,0,0,0,35,38,0
4856,30,2,203671,8,13,2,4,0,4,1,0,0,40,38,1
753,23,2,141163,11,9,4,9,1,4,1,0,0,40,38,0
5157,29,2,31278,9,13,4,11,1,4,1,0,0,50,38,0
4094,21,2,152141,15,10,2,3,0,2,1,0,0,40,38,1
1164,21,2,166304,15,10,4,13,3,4,1,0,0,30,38,0
5865,43,2,178502,15,10,2,13,0,4,1,0,0,99,38,1
1646,62,1,173771,2,5,2,2,0,4,1,3325,0,40,38,0
4388,22,2,127454,9,13,4,11,3,3,1,0,0,40,20,0
3316,34,2,146924,1,5,3,3,2,4,1,0,0,38,4,0
721,39,2,187075,0,6,2,6,0,4,1,0,0,40,38,0
1445,40,2,176060,15,10,2,3,0,4,1,0,0,40,38,0
2391,20,2,144515,15,10,4,7,3,4,1,0,0,32,38,0
4359,28,2,143434,15,10,4,2,1,4,0,0,0,48,38,0
1204,21,2,233931,15,10,4,11,3,4,0,0,0,25,38,0
5112,41,2,122787,7,3,4,7,3,4,1,0,0,40,38,0
2940,20,2,252780,15,10,4,0,3,4,0,0,0,38,38,0
3334,20,2,435148,15,10,4,9,3,4,0,0,0,40,38,0
5181,43,2,79740,9,13,4,3,1,2,1,0,0,50,38,0
