,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03055665462922601,0.058887753716590635,0.042091364175383665,0.011590492074578176
sanity.close_values_probability.score,0.93,0.98,0.9659999999999999,0.02073644135332769
sanity.distant_values_probability.score,0.01,0.02,0.012,0.00447213595499958
stats.jensenshannon_dist.marginal,0.015520720863230773,0.018528916424007558,0.01744823699752397,0.0012629035202860672
stats.chi_squared_test.marginal,0.3904503958062658,0.5323274593129519,0.4718177898651074,0.05660988760568601
stats.inv_kl_divergence.marginal,0.6999742787175643,0.752544714862593,0.7223290984137329,0.018956047392519507
stats.ks_test.marginal,0.8140000000000001,0.8320000000000002,0.8252,0.007354514864278196
stats.max_mean_discrepancy.joint,0.02,0.020005035399138765,0.02000111298252829,2.2046529485842984e-06
stats.wasserstein_dist.joint,0.2985394745163542,0.45137859291808435,0.3799825687142698,0.06916968873201942
stats.alpha_precision.delta_precision_alpha_OC,0.12940229885057475,0.9092413793103449,0.30923678160919554,0.3361527872363386
stats.alpha_precision.delta_coverage_beta_OC,0.09126436781609193,0.5391264367816092,0.20538390804597703,0.193884864219442
stats.alpha_precision.authenticity_OC,0.02,0.51,0.13600000000000004,0.2094755355644186
stats.alpha_precision.delta_precision_alpha_naive,0.8526666666666667,0.8986436781609195,0.879687356321839,0.01731308918728914
stats.alpha_precision.delta_coverage_beta_naive,0.18866666666666654,0.32866666666666666,0.2657333333333334,0.05069867410056756
stats.alpha_precision.authenticity_naive,0.54,0.64,0.584,0.04037325847637268
stats.prdc.precision,0.93,0.99,0.9560000000000001,0.027928480087537857
stats.prdc.recall,0.97,1.0,0.984,0.015165750888103114
stats.prdc.density,0.9119999999999999,1.032,0.9815999999999999,0.05356117997206562
stats.prdc.coverage,0.9,1.0,0.9600000000000002,0.0406201920231798
performance.linear_model.gt,0.770375,0.770375,0.770375,0.0
performance.linear_model.syn_id,0.7536725625539258,0.8383953120506185,0.8077033362093757,0.03232749812286489
performance.linear_model.syn_ood,0.74375,0.8397500000000001,0.8039416666666668,0.03895451852980462
performance.mlp.gt,0.5,0.5,0.5,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.8390833333333333,0.8390833333333333,0.8390833333333333,0.0
performance.xgb.syn_id,0.8465690250215705,0.8913779119930976,0.8735809318377912,0.017061027079080426
performance.xgb.syn_ood,0.8390000000000001,0.8870833333333333,0.8716583333333334,0.0188846875433805
performance.feat_rank_distance.corr,-0.021052631578947368,0.5263157894736842,0.2673684210526316,0.23248626087544372
performance.feat_rank_distance.pvalue,0.0008408300763063621,0.9235023313316655,0.3300539838339049,0.4382686716414246
detection.detection_xgb.mean,0.9814999999999999,0.9974999999999999,0.991,0.006461423991660036
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.47650000000000003,0.52,0.50015,0.016414170707044564
detection.detection_linear.mean,0.8025,0.8550000000000001,0.8268999999999999,0.01934360359395326
privacy.delta-presence.score,1.9999999933333334,2.999999994,2.6285714194258505,0.5111012482364746
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,4.00000001,1.60000001,1.3416407864998738
privacy.k-map.score,1.0,2.0,1.2,0.4472135954999579
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,4.00000001,1.60000001,1.3416407864998738
privacy.identifiability_score.,0.48,0.55,0.51,0.025495097567963948
privacy.identifiability_score._privacy.identifiability_score.OC,0.46,0.53,0.49800000000000005,0.025884358211089573
