,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.05802629004358526,0.16511061901275256,0.11295850259726144,0.050307982380634705
sanity.close_values_probability.score,0.734,0.956,0.8532,0.09827105372387128
sanity.distant_values_probability.score,0.002,0.002,0.002,0.0
stats.jensenshannon_dist.marginal,0.08064190444959912,0.08415579519414867,0.08260425176669492,0.0013268733880425153
stats.chi_squared_test.marginal,0.09044660507129727,0.15752350688150474,0.11383285459650425,0.030956253127814668
stats.inv_kl_divergence.marginal,0.2956359657271441,0.3101911193907434,0.30287169582649626,0.005458906163361753
stats.ks_test.marginal,0.298,0.322,0.31232000000000004,0.009833999977402669
stats.max_mean_discrepancy.joint,0.012000000000002257,0.012131525474332137,0.012047380614824337,5.532743741961177e-05
stats.wasserstein_dist.joint,2.221972005524699,2.2461807412425614,2.2361844842566048,0.008865727542877738
stats.alpha_precision.delta_precision_alpha_OC,0.118,0.27404597701149436,0.18982068965517246,0.06764250606900632
stats.alpha_precision.delta_coverage_beta_OC,0.020000000000000018,0.1433333333333333,0.09626666666666672,0.048722798678966624
stats.alpha_precision.authenticity_OC,0.79,0.99,0.9119999999999999,0.08438009243891592
stats.alpha_precision.delta_precision_alpha_naive,0.0033333333333334103,0.013333333333333308,0.007999999999999962,0.0036209268304000413
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.019333333333333313,0.006533333333333324,0.009194201070964955
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0
stats.prdc.precision,0.5,0.6,0.538,0.03962322551231789
stats.prdc.recall,0.856,0.998,0.9352,0.06410304204950026
stats.prdc.density,0.15000000000000002,0.20600000000000002,0.17880000000000001,0.02081345718519631
stats.prdc.coverage,0.036,0.068,0.0548,0.013535139452550908
performance.linear_model.gt,0.7570654385964912,0.7570654385964912,0.7570654385964912,0.0
performance.linear_model.syn_id,0.5053787437335364,0.653298170654864,0.5829276630567628,0.05808107000822099
performance.linear_model.syn_ood,0.5067215789473685,0.6514931578947369,0.5837948771929825,0.05741493115327391
performance.mlp.gt,0.5,0.5,0.5,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.8691285964912281,0.8691285964912281,0.8691285964912281,0.0
performance.xgb.syn_id,0.5739055919038052,0.7334269417111441,0.649771922311856,0.06254979457548972
performance.xgb.syn_ood,0.5712320175438597,0.7333348245614035,0.6493656842105263,0.06366014666973972
performance.feat_rank_distance.corr,-0.15922479471968348,0.05971904940520629,-0.06995616571808773,0.10861722519728546
performance.feat_rank_distance.pvalue,0.02001891478867928,0.5938435820119403,0.2150129933381769,0.26069911956203246
detection.detection_xgb.mean,0.9997,1.0,0.9998799999999999,0.00013038404810405139
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.4082,0.6244,0.5058999999999999,0.10128724623564407
detection.detection_linear.mean,0.9905999999999999,0.9994,0.9949199999999999,0.004206185920760051
privacy.delta-presence.score,59.499999702500006,172.99999827000002,113.29999892650002,41.300120555311345
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.016,0.024,0.019200000000000002,0.0033466401061363026
privacy.identifiability_score._privacy.identifiability_score.OC,0.008,0.012,0.009600000000000001,0.0016733200530681513
