,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
387,39,4,654321,11,9,2,14,0,4,1,0,0,40,39,1
63,49,2,280000,7,12,2,11,0,4,1,0,2000,42,39,1
397,67,4,198765,0,6,0,6,1,4,0,0,0,25,39,0
301,29,4,101234,15,10,0,1,3,4,0,0,0,40,39,0
153,42,3,179452,12,10,5,9,3,4,1,0,0,41,28,0
446,35,4,210000,9,13,2,4,0,4,1,0,0,42,39,1
461,37,4,21038,11,9,2,2,0,4,1,0,0,42,39,1
475,22,0,340000,15,10,4,0,1,4,0,0,0,36,39,0
353,50,2,134679,15,10,0,13,1,2,0,0,0,40,39,0
206,40,4,113344,9,13,2,4,0,4,1,0,0,60,39,1
471,45,4,178234,11,9,2,8,0,4,1,0,0,42,39,0
452,40,2,430000,14,15,4,11,1,4,1,0,0,60,39,0
129,31,4,160000,0,6,4,5,1,4,1,0,0,42,39,0
238,48,4,245678,11,9,2,12,5,4,1,0,0,42,39,0
157,30,3,167634,12,10,5,2,3,0,0,0,0,41,38,0
407,42,6,170000,5,4,4,8,4,4,0,0,0,32,39,0
321,28,4,182345,15,10,4,4,3,3,0,0,0,38,39,0
214,41,5,112233,8,11,2,5,0,3,1,0,0,40,39,1
188,48,2,240000,11,9,2,4,0,4,1,0,0,39,39,0
2,36,1,256789,3,8,5,1,3,2,0,0,0,39,39,0
103,52,6,123456,11,9,2,12,5,4,0,0,0,38,39,0
37,43,4,250000,11,9,2,7,0,4,1,4300,0,47,39,1
442,45,4,82000,12,10,0,5,4,4,1,0,0,42,39,0
11,34,4,54000,15,10,2,3,0,4,1,0,0,42,39,0
431,47,2,123456,9,13,0,11,4,4,0,0,0,42,39,0
64,18,4,315000,5,4,4,8,3,4,1,0,0,38,26,0
86,31,3,156789,6,7,2,3,0,4,1,0,0,60,39,0
378,40,6,210000,15,10,0,10,1,4,0,0,0,18,39,0
143,39,4,195000,11,9,2,8,0,4,1,0,0,35,39,0
96,33,6,120000,15,10,2,4,0,4,1,0,0,50,39,0
108,39,4,165432,11,9,0,3,1,4,1,0,0,44,39,0
117,52,4,230000,11,9,2,10,0,4,1,0,1900,45,39,1
261,31,4,213456,12,14,4,9,3,4,1,0,0,50,39,1
472,28,4,85623,9,13,4,8,4,4,0,0,0,38,39,0
498,29,7,39000,9,13,4,10,3,4,1,7000,0,41,39,0
198,52,2,190000,13,16,2,10,0,2,1,0,2000,40,39,1
169,50,1,190000,7,12,2,0,0,4,1,0,0,62,39,1
148,22,4,480000,11,9,4,6,3,4,1,0,0,39,39,0
458,37,4,170000,15,10,4,6,1,2,0,0,0,32,39,0
167,60,4,200000,11,9,3,2,1,4,1,0,0,50,39,0
180,34,4,140000,7,13,0,4,1,4,1,0,0,38,39,0
474,51,7,142000,15,10,2,8,0,4,1,0,0,68,39,1
464,45,6,310406,2,7,2,5,0,4,1,0,0,85,39,0
298,23,4,137000,15,10,2,6,0,4,1,0,0,34,39,0
444,57,4,85000,9,13,0,10,4,4,0,0,0,37,39,0
470,32,3,102345,10,12,2,4,5,4,0,0,0,45,39,1
433,28,4,89000,11,9,4,7,3,1,1,0,0,41,11,0
161,45,4,115432,13,15,2,5,0,4,1,0,0,52,39,1
123,41,6,198765,9,13,2,12,0,4,1,0,0,48,39,1
216,55,1,101010,13,16,2,4,0,4,1,0,0,50,39,1
179,60,6,33000,11,9,2,14,0,4,1,0,0,50,39,0
122,22,4,45678,2,8,4,7,1,4,1,0,0,15,39,0
189,54,2,260000,14,15,2,10,0,4,1,0,1800,41,39,1
456,31,4,215000,9,12,5,2,3,2,0,0,0,55,39,0
262,28,7,187654,11,9,5,10,1,4,1,0,0,38,39,0
235,22,4,230987,9,13,4,11,3,4,0,0,0,25,23,0
259,46,4,87654,9,13,2,1,0,4,1,5000,0,50,39,1
255,27,4,167890,11,9,4,10,3,4,1,0,0,40,39,0
447,31,4,220000,15,10,2,3,0,4,1,0,0,39,39,0
285,35,4,167890,7,12,2,4,0,4,1,0,0,50,39,0
155,18,3,47402,6,5,5,11,3,4,1,0,0,9,38,0
256,54,6,345678,2,8,2,12,0,4,1,0,0,80,39,1
147,63,4,70000,11,9,6,12,1,4,0,0,0,44,39,0
396,39,4,223456,9,13,0,11,1,4,1,0,0,44,39,0
0,27,3,145678,8,10,4,7,2,3,1,0,1500,42,39,0
85,48,4,112233,7,8,2,2,0,4,1,0,1700,50,39,1
370,52,4,190123,10,11,2,12,0,4,1,0,0,45,39,1
61,41,4,35000,11,9,2,7,0,4,1,0,0,47,39,0
254,48,2,223344,9,13,2,4,0,2,1,0,0,70,39,1
416,50,6,198765,15,10,2,11,0,4,1,0,0,48,39,1
184,23,4,230000,15,10,4,1,3,2,0,0,0,36,39,0
336,49,4,89023,9,13,2,11,0,4,1,0,0,52,39,0
323,50,7,145678,12,14,0,10,4,4,0,0,0,30,39,0
141,29,4,210000,12,14,4,5,3,4,0,0,0,38,39,0
215,28,4,123987,12,14,4,7,4,4,0,0,0,35,39,0
419,46,3,167890,8,11,2,2,1,4,0,2500,0,40,39,1
126,58,4,145000,15,10,6,4,1,4,0,0,0,42,39,0
381,45,4,231456,9,13,2,1,0,4,1,0,0,45,39,1
98,52,4,220000,9,13,2,4,0,4,1,0,0,40,39,0
66,34,4,255000,2,8,4,12,2,4,0,0,0,42,26,0
401,29,4,150000,8,11,4,12,1,3,1,0,0,35,39,0
441,22,4,175432,2,8,4,7,1,2,1,0,0,35,39,0
31,38,4,160000,11,9,2,8,0,4,1,0,0,41,39,0
432,30,4,54000,11,9,4,7,1,4,1,0,0,39,39,0
486,26,4,405000,11,9,4,7,1,4,1,0,0,41,39,0
465,41,2,172674,7,5,2,8,0,4,1,0,0,39,39,0
23,65,4,312345,15,10,2,12,0,4,1,0,0,30,39,0
25,43,4,283456,9,13,0,4,4,4,0,0,0,38,39,0
205,55,6,123456,10,16,2,12,0,1,1,0,0,44,19,1
300,58,4,182345,11,9,6,7,1,4,0,0,0,40,39,0
20,30,4,123456,11,9,2,7,0,4,1,0,0,40,39,0
347,41,3,160000,12,9,1,11,0,3,1,0,0,42,39,1
272,42,4,148000,15,10,0,1,3,4,1,14000,0,42,39,1
39,19,4,440000,1,7,4,12,3,4,0,0,0,9,26,0
