,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03768420630055422,0.05142731484659659,0.045785215270636906,0.006167790414503842
sanity.close_values_probability.score,0.94,0.99,0.962,0.01923538406167136
sanity.distant_values_probability.score,0.01,0.02,0.012,0.00447213595499958
stats.jensenshannon_dist.marginal,0.011640518069689696,0.01394745131643248,0.012624796702436835,0.0008429656909144231
stats.chi_squared_test.marginal,0.5917401891501604,0.6585523500163508,0.6418821764135016,0.02829333831576505
stats.inv_kl_divergence.marginal,0.7929617385292126,0.8454947844848657,0.8288272950433859,0.022213187857996433
stats.ks_test.marginal,0.9026666666666666,0.9179999999999999,0.9123999999999999,0.006759355656339531
stats.max_mean_discrepancy.joint,0.02,0.02000000000000755,0.02000000000000151,3.376246537546796e-15
stats.wasserstein_dist.joint,0.20570925618585506,0.23785968851694003,0.22115949642659047,0.01238243030487515
stats.alpha_precision.delta_precision_alpha_OC,0.12873563218390793,0.13006896551724134,0.1294022988505747,0.00047140452079105826
stats.alpha_precision.delta_coverage_beta_OC,0.09126436781609193,0.09393103448275875,0.0931310344827587,0.001095445115010394
stats.alpha_precision.authenticity_OC,0.05,0.05,0.05,0.0
stats.alpha_precision.delta_precision_alpha_naive,0.9202298850574713,0.9546436781609196,0.9393471264367816,0.015919424871983372
stats.alpha_precision.delta_coverage_beta_naive,0.488,0.6773333333333333,0.6093057471264368,0.07513010409034611
stats.alpha_precision.authenticity_naive,0.3,0.45,0.394,0.056391488719486745
stats.prdc.precision,0.99,1.0,0.994,0.005477225575051666
stats.prdc.recall,0.97,0.99,0.9739999999999999,0.008944271909999166
stats.prdc.density,0.9720000000000001,1.084,1.024,0.04282522621072772
stats.prdc.coverage,0.91,1.0,0.966,0.03646916505762093
performance.linear_model.gt,0.770375,0.770375,0.770375,0.0
performance.linear_model.syn_id,0.7790038826574635,0.8661676732815646,0.8260131722749497,0.034843469035567474
performance.linear_model.syn_ood,0.7549583333333334,0.8722083333333334,0.8180083333333334,0.049312199865302636
performance.mlp.gt,0.5,0.5,0.5,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.8390833333333333,0.8390833333333333,0.8390833333333333,0.0
performance.xgb.syn_id,0.8342785447224618,0.9115987920621226,0.8744528616623526,0.03515345688646069
performance.xgb.syn_ood,0.8320000000000001,0.9173333333333333,0.8741749999999999,0.03625275851573225
performance.feat_rank_distance.corr,-0.06315789473684211,0.19999999999999998,0.06315789473684211,0.10913916501751432
performance.feat_rank_distance.pvalue,0.23326655710712652,0.9744669029388741,0.6281819434661149,0.3089202099345814
detection.detection_xgb.mean,0.6705,0.7260000000000001,0.6961000000000002,0.02280460479815429
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.495,0.5439999999999999,0.5159,0.021314314438892912
detection.detection_linear.mean,0.46799999999999997,0.5165,0.48900000000000005,0.01760326674228394
privacy.delta-presence.score,2.1999999956,4.999999983333334,3.2899999911061117,1.1551575120041713
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.4000000099999999,0.8944271909999159
privacy.k-map.score,1.0,3.0,1.8,0.8366600265340756
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.4000000099999999,0.8944271909999159
privacy.identifiability_score.,0.44,0.55,0.484,0.04277849927241489
privacy.identifiability_score._privacy.identifiability_score.OC,0.5,0.56,0.53,0.024494897427831803
