,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
388,27,4,181361,10,12,4,3,1,4,0,0,0,38,39,0
299,38,4,270429,9,13,4,13,1,2,0,0,0,40,39,0
356,37,5,167890,9,12,0,5,1,4,0,0,0,50,39,0
91,51,6,143857,10,12,0,5,3,4,0,0,0,45,39,0
474,48,7,156201,16,11,2,8,0,4,1,0,0,70,39,1
83,42,2,104368,14,15,0,12,4,4,0,0,0,50,39,1
429,58,4,175432,11,9,2,14,0,4,1,0,1987,40,39,1
218,36,4,124129,9,13,4,3,3,4,0,0,0,40,39,0
296,35,4,243598,15,10,4,3,1,4,0,0,0,40,39,0
251,41,4,291854,12,10,4,9,3,4,1,0,0,35,39,0
1,59,7,141693,13,8,1,6,3,4,1,0,0,48,39,1
176,43,4,208302,10,14,2,8,0,4,1,0,0,40,39,1
106,50,4,221087,11,9,2,12,0,4,1,0,0,60,39,0
96,43,6,191235,15,10,2,3,0,4,1,0,0,50,39,0
209,58,2,89517,8,13,0,10,1,1,1,0,0,48,39,1
434,35,2,80123,10,8,0,4,4,3,0,0,0,41,38,1
333,62,4,203854,9,13,2,12,0,4,1,0,0,45,39,0
477,27,4,117108,15,10,2,1,0,0,1,0,0,40,39,0
197,48,5,251895,14,15,2,10,0,4,1,99999,0,35,39,1
85,55,4,213585,11,9,2,8,0,4,1,0,0,45,39,0
283,41,7,308421,11,9,2,8,5,4,0,0,0,30,39,0
432,49,5,215191,9,7,4,13,1,1,1,0,0,46,39,0
41,29,4,329819,10,7,4,9,1,2,1,0,0,40,39,0
219,41,1,149702,12,11,2,10,0,4,1,0,0,40,39,1
353,39,4,145678,11,9,2,7,0,2,1,0,0,52,39,0
393,41,5,167890,9,13,2,6,1,4,0,0,0,40,30,1
115,51,4,240801,11,9,2,10,0,4,1,0,1873,40,39,1
272,48,4,193021,9,13,5,1,0,4,1,4064,0,60,39,1
413,38,4,148464,9,13,0,5,1,4,1,0,0,40,39,0
225,31,4,201424,2,8,4,4,3,4,1,0,0,45,39,0
395,63,6,109876,10,14,3,12,0,1,0,0,0,50,38,0
72,50,4,298421,9,14,2,10,1,2,0,0,0,50,39,0
215,48,4,150964,9,13,2,10,0,4,1,0,0,40,39,1
422,48,4,184321,11,9,2,9,5,4,0,0,0,40,39,0
315,28,1,76543,8,10,3,9,2,4,0,0,0,42,39,0
174,70,2,245693,6,5,2,10,0,4,1,0,0,40,39,0
130,43,4,183921,10,8,3,11,3,3,0,0,0,38,39,0
217,50,5,145813,14,15,2,12,0,4,1,0,0,40,39,1
338,67,4,213464,11,9,6,1,1,4,0,0,0,15,39,0
348,27,4,39123,13,11,4,6,2,1,1,0,0,40,39,0
196,32,4,109951,9,13,2,4,0,4,1,0,0,45,39,1
274,42,4,168130,11,9,4,8,4,4,0,0,0,40,39,1
205,27,4,117987,15,10,2,1,0,4,1,0,0,40,39,0
349,36,5,46382,16,11,3,11,1,4,0,0,0,60,10,1
121,42,4,229943,14,11,1,11,0,4,0,0,0,50,39,1
212,42,4,127201,9,13,4,1,4,2,1,0,0,40,39,0
61,49,4,291011,7,9,6,5,1,4,1,0,0,40,26,0
347,45,6,49823,14,12,2,9,3,2,0,0,0,65,39,1
101,41,4,184321,11,9,4,9,1,4,0,0,0,45,39,0
