,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.043393751243393994,0.07940097904433577,0.05374079569449045,0.014820113146277248
sanity.close_values_probability.score,0.89,0.98,0.95,0.03535533905932736
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.014927460406958849,0.016227159153941007,0.015434988411482109,0.0004912203838566675
stats.chi_squared_test.marginal,0.4518826370354983,0.5833716146382418,0.5411560700895969,0.05631723905173908
stats.inv_kl_divergence.marginal,0.7371285441590849,0.7962769770110475,0.7642405914393822,0.0275719880593528
stats.ks_test.marginal,0.8766666666666666,0.8926666666666668,0.8865333333333332,0.005988878581726928
stats.max_mean_discrepancy.joint,0.02,0.02,0.02,0.0
stats.wasserstein_dist.joint,0.24072936782469984,0.28277242543501724,0.2575698195099657,0.01760412499995856
stats.alpha_precision.delta_precision_alpha_OC,0.12873563218390793,0.14740229885057476,0.13953563218390802,0.009870269612438354
stats.alpha_precision.delta_coverage_beta_OC,0.09126436781609193,0.09326436781609204,0.09193103448275866,0.0009428090415821361
stats.alpha_precision.authenticity_OC,0.05,0.05,0.05,0.0
stats.alpha_precision.delta_precision_alpha_naive,0.8877931034482759,0.9278160919540229,0.9105471264367816,0.01789927485022297
stats.alpha_precision.delta_coverage_beta_naive,0.43466666666666676,0.5785977011494253,0.5010528735632185,0.053475981942691805
stats.alpha_precision.authenticity_naive,0.43,0.48,0.46399999999999997,0.020736441353327716
stats.prdc.precision,0.99,1.0,0.994,0.005477225575051666
stats.prdc.recall,0.96,1.0,0.978,0.016431676725154998
stats.prdc.density,1.008,1.11,1.0592000000000001,0.042109381377550575
stats.prdc.coverage,0.91,0.98,0.946,0.030495901363953783
performance.linear_model.gt,0.770375,0.770375,0.770375,0.0
performance.linear_model.syn_id,0.6985539257981017,0.8333843111878055,0.7811814782858786,0.053837382448160304
performance.linear_model.syn_ood,0.6837916666666667,0.8424583333333334,0.7756166666666667,0.0666247811128362
performance.mlp.gt,0.5,0.5,0.5,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.8390833333333333,0.8390833333333333,0.8390833333333333,0.0
performance.xgb.syn_id,0.720826287029048,0.8441649410411273,0.7903968651136037,0.04746247550979809
performance.xgb.syn_ood,0.7185416666666666,0.8665833333333334,0.7958583333333332,0.06153166952201662
performance.feat_rank_distance.corr,-0.22105263157894736,0.3684210526315789,0.021052631578947368,0.2145664959014685
performance.feat_rank_distance.pvalue,0.02373449564495179,1.0,0.6064600847948418,0.4671599805390814
detection.detection_xgb.mean,0.6815,0.7585000000000001,0.71145,0.035153413774482827
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.476,0.51625,0.49415000000000003,0.014647525388269519
detection.detection_linear.mean,0.529,0.6015,0.5606,0.03318395696718517
privacy.delta-presence.score,2.142857139795918,5.999999940000001,3.5785714080841844,1.4682871941035385
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4472135954999579
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4472135954999579
privacy.identifiability_score.,0.42,0.51,0.4699999999999999,0.03807886552931954
privacy.identifiability_score._privacy.identifiability_score.OC,0.43,0.52,0.47400000000000003,0.03646916505762095
