,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
458,27,7,37849,9,13,4,10,3,4,1,6739,0,40,39,0
192,48,1,126430,14,16,2,10,0,4,1,0,0,40,39,1
275,45,4,217890,6,5,0,6,1,4,1,0,0,50,39,0
43,63,0,271894,5,4,2,0,0,4,1,0,0,40,39,0
405,22,4,102345,11,9,4,7,3,4,1,0,0,25,39,0
303,47,7,142000,11,9,0,10,4,4,0,0,0,32,39,0
68,19,4,100000,5,4,4,8,3,4,1,0,0,25,26,0
265,23,4,428626,15,10,4,12,3,4,1,0,0,35,39,0
122,27,4,102345,5,9,4,7,1,4,1,0,0,35,39,0
251,52,4,160000,11,9,0,5,1,4,1,2500,0,45,39,0
44,34,6,213456,8,12,0,3,4,1,1,0,0,50,20,0
353,22,4,123456,1,7,4,8,3,4,1,0,1500,25,39,0
444,24,4,200000,2,8,0,12,2,4,0,0,0,28,39,0
56,51,4,312240,1,6,0,12,1,4,1,0,0,40,39,0
64,47,4,190000,7,10,2,6,0,4,1,0,0,50,39,1
134,44,4,135000,9,13,2,4,0,4,1,0,0,50,39,1
426,28,7,400000,14,15,4,10,1,4,1,0,0,65,39,0
78,47,5,178433,9,13,2,10,0,4,1,0,0,58,39,1
367,38,4,225000,15,10,4,1,3,4,1,0,0,40,39,0
5,25,4,138765,7,12,4,10,1,4,1,0,0,50,39,0
269,29,4,142298,11,9,4,4,1,4,0,0,0,50,39,0
381,62,6,62345,1,7,5,8,2,4,0,0,0,30,39,1
403,47,5,189012,11,9,2,10,0,4,1,0,0,40,39,1
80,31,4,125432,10,12,4,12,4,4,0,0,0,40,39,0
447,50,5,190000,15,10,2,14,0,4,1,0,0,52,39,1
285,34,4,190000,11,9,4,8,1,4,0,0,0,40,39,0
160,33,4,182345,12,11,2,6,0,4,1,0,0,38,39,0
140,38,4,205000,12,14,2,4,0,4,1,0,0,42,39,1
208,39,6,210000,11,9,2,10,0,4,1,0,0,40,39,0
448,62,1,120000,7,13,2,11,0,2,1,0,0,42,39,0
288,28,7,22000,7,12,4,1,1,4,0,0,0,40,11,0
281,29,4,132000,15,10,0,1,3,4,1,0,0,45,39,0
414,58,6,78000,15,10,2,4,0,4,1,0,0,20,39,0
41,52,4,318456,14,10,2,10,0,4,1,0,0,55,39,1
398,48,4,189012,12,14,2,10,5,4,0,0,0,40,39,1
8,53,4,132987,9,13,0,4,4,4,0,0,0,50,39,0
235,42,4,189012,9,13,2,1,0,4,1,0,0,45,39,0
212,28,4,174589,15,10,4,1,3,4,0,0,0,45,39,0
202,28,4,220000,8,12,4,4,3,4,1,0,0,45,39,0
245,43,4,398421,15,10,4,8,3,4,1,0,0,47,39,0
396,50,4,198234,11,9,2,13,0,3,1,0,0,38,39,1
456,32,4,270159,5,4,5,6,1,2,1,0,0,34,14,0
322,29,2,210000,15,10,4,9,3,2,1,0,0,45,10,0
66,62,4,200000,12,14,6,10,5,4,0,0,0,30,39,0
359,67,6,298765,15,10,2,10,5,4,0,0,0,30,39,0
453,52,6,258435,9,13,2,12,0,4,1,0,0,40,2,1
262,37,4,109270,11,9,2,8,5,4,0,0,0,30,39,0
425,55,4,178000,5,4,4,14,1,3,1,0,0,40,33,0
211,42,4,312765,15,10,1,8,5,2,1,0,0,40,23,0
345,47,4,309456,9,13,2,1,1,1,0,0,0,40,19,0
2,29,6,143215,11,9,4,5,3,4,1,0,0,40,39,0
278,23,4,145672,15,10,2,6,0,4,1,0,0,35,39,0
177,44,2,234567,13,11,2,4,0,4,1,0,0,40,39,0
264,27,4,168938,7,12,2,3,0,4,1,0,0,40,39,0
244,40,4,245678,12,14,2,4,0,4,1,0,0,48,7,1
432,52,0,205300,11,9,3,0,1,4,1,0,0,55,39,0
59,36,4,178000,12,11,3,3,5,4,0,0,0,44,39,0
57,27,4,118900,11,9,4,8,1,4,1,0,0,35,39,0
126,29,6,134567,7,8,4,5,1,4,1,0,0,38,39,0
308,62,6,80123,12,14,2,5,0,1,1,0,0,10,39,0
129,36,4,145678,9,11,3,8,5,4,0,0,0,40,39,0
301,28,4,174890,10,12,4,5,3,3,0,0,0,38,39,0
58,54,2,276450,13,12,2,10,0,4,1,0,0,40,39,0
422,42,2,201500,11,9,0,1,4,4,0,0,0,40,39,0
415,29,4,205000,9,13,4,3,1,4,1,0,0,38,39,0
167,26,4,276543,13,9,2,5,0,4,1,0,0,37,39,0
267,35,4,81154,15,10,2,13,0,4,1,0,0,25,39,0
150,34,5,210345,10,12,1,9,3,2,0,0,0,38,24,0
181,52,6,164890,13,14,2,10,0,4,1,4250,0,50,39,1
284,52,0,400000,12,14,2,0,0,4,1,0,0,55,39,1
310,58,4,132000,11,9,2,3,0,4,1,0,0,42,39,0
103,58,6,48900,11,9,2,1,5,4,0,0,0,32,39,0
277,30,4,267891,15,10,4,3,1,4,0,0,0,40,39,0
388,31,7,450987,9,11,0,10,1,2,1,2500,0,55,39,0
452,29,7,184215,12,14,2,10,0,4,1,0,0,48,39,0
449,48,4,185000,11,9,2,8,0,4,1,0,0,38,39,0
107,31,4,108000,11,9,4,13,3,4,0,0,0,40,39,0
155,50,6,112045,12,14,3,13,1,4,1,0,0,60,39,1
358,31,4,145678,11,9,2,3,0,4,1,0,0,30,39,0
313,37,4,185000,11,9,4,3,1,2,1,0,0,44,39,0
93,45,2,185000,11,9,2,5,0,4,0,0,0,40,39,0
338,44,6,210987,11,9,2,14,0,4,1,0,1800,45,39,0
210,31,7,298432,9,13,4,1,1,4,0,0,0,35,39,0
360,34,4,215000,12,10,4,5,3,4,0,0,0,30,39,0
28,49,4,179368,15,10,2,13,0,4,1,0,0,55,39,0
187,34,4,139870,15,10,2,4,0,4,1,0,0,55,39,0
399,27,4,187654,9,13,4,11,1,4,1,0,0,55,39,0
289,37,4,170000,11,9,6,7,1,4,0,0,0,40,39,0
336,31,4,134567,15,10,2,8,0,4,1,0,0,60,39,0
92,28,4,160000,15,10,4,11,3,4,1,0,0,30,39,0
420,31,4,184500,11,9,4,3,1,4,1,0,0,45,39,0
133,33,4,320000,11,9,4,6,2,2,0,0,0,35,39,0
384,54,5,345678,14,12,2,12,0,4,0,0,2000,55,39,1
215,48,4,156398,11,9,2,8,5,4,0,0,0,40,39,0
412,47,4,92000,11,9,0,6,4,4,0,0,0,45,39,0
