,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.029622702089790853,0.05427747373287915,0.042156589848795,0.009451582342350943
sanity.close_values_probability.score,0.95,0.98,0.97,0.012247448713915901
sanity.distant_values_probability.score,0.01,0.02,0.014000000000000002,0.005477225575051661
stats.jensenshannon_dist.marginal,0.010810881037308352,0.013673728037445087,0.012012883891646248,0.0011960235803524315
stats.chi_squared_test.marginal,0.5834604348727387,0.6461170893094372,0.5994944455636074,0.026222664419538074
stats.inv_kl_divergence.marginal,0.7731168500359227,0.8373637977659398,0.8038376103031986,0.024686421080764673
stats.ks_test.marginal,0.8959999999999998,0.9173333333333334,0.9092,0.008019420871304405
stats.max_mean_discrepancy.joint,0.02,0.020000000000007546,0.020000000000001582,3.336749962802932e-15
stats.wasserstein_dist.joint,0.21421177749074766,0.27772233385365114,0.24235393820021148,0.022797009095968428
stats.alpha_precision.delta_precision_alpha_OC,0.12873563218390793,0.14673563218390806,0.132735632183908,0.007845734863959914
stats.alpha_precision.delta_coverage_beta_OC,0.09126436781609193,0.09333333333333349,0.09234482758620696,0.0010273058837474058
stats.alpha_precision.authenticity_OC,0.05,0.05,0.05,0.0
stats.alpha_precision.delta_precision_alpha_naive,0.8720689655172413,0.9335862068965517,0.9069563218390805,0.030668172773162576
stats.alpha_precision.delta_coverage_beta_naive,0.5479310344827587,0.6366666666666667,0.5908919540229884,0.03985819559858029
stats.alpha_precision.authenticity_naive,0.45,0.53,0.492,0.028635642126552712
stats.prdc.precision,0.99,1.0,0.998,0.004472135954999584
stats.prdc.recall,0.96,0.99,0.974,0.011401754250991391
stats.prdc.density,0.9800000000000001,1.056,1.0223999999999998,0.02761883415352645
stats.prdc.coverage,0.91,0.97,0.9460000000000001,0.023021728866442652
performance.linear_model.gt,0.770375,0.770375,0.770375,0.0
performance.linear_model.syn_id,0.6915394017831463,0.8624479436295657,0.7671849582973829,0.07232452511217935
performance.linear_model.syn_ood,0.6699166666666667,0.8709166666666668,0.7537333333333334,0.08380547810091071
performance.mlp.gt,0.5,0.5,0.5,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.8390833333333333,0.8390833333333333,0.8390833333333333,0.0
performance.xgb.syn_id,0.7621190681622086,0.8770064710957722,0.8297716422203049,0.042216427808834625
performance.xgb.syn_ood,0.7639583333333333,0.8582083333333335,0.8245583333333333,0.03737493729091735
performance.feat_rank_distance.corr,0.08421052631578947,0.4421052631578947,0.24842105263157896,0.14748115988415475
performance.feat_rank_distance.pvalue,0.005923797271372209,0.6307989462589767,0.24994255723060937,0.25704091918554306
detection.detection_xgb.mean,0.5800000000000001,0.6965,0.6531499999999999,0.04979005924880985
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.48149999999999993,0.5854999999999999,0.5214000000000001,0.04428938924844187
detection.detection_linear.mean,0.484,0.5345,0.5056999999999999,0.019116746585127915
privacy.delta-presence.score,2.4999999968749997,8.999999910000001,4.099999966375,2.747726300643862
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.4000000099999999,0.5477225575051661
privacy.k-map.score,1.0,2.0,1.4,0.5477225575051661
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.4000000099999999,0.5477225575051661
privacy.identifiability_score.,0.37,0.52,0.466,0.05813776741499453
privacy.identifiability_score._privacy.identifiability_score.OC,0.43,0.48,0.45,0.0187082869338697
