,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.05098006199927064,0.07099156073612856,0.06356939757540722,0.007632657707887732
sanity.close_values_probability.score,0.94,0.97,0.9560000000000001,0.01140175425099139
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.015935235397646342,0.020645052796046715,0.01849151215247032,0.001686276870696477
stats.chi_squared_test.marginal,0.02587049779267422,0.09677290631988343,0.05436759712462787,0.02859116165004488
stats.inv_kl_divergence.marginal,0.3924132166603604,0.5303183165082886,0.45689407314089625,0.05274709408396311
stats.ks_test.marginal,0.7580645161290324,0.8206451612903227,0.7879354838709677,0.02324103443441549
stats.max_mean_discrepancy.joint,0.01999999987696231,0.020000056707769498,0.020000012006704808,2.5034385388097263e-08
stats.wasserstein_dist.joint,0.24102458607716512,0.3196955008047333,0.2849570557094139,0.030705039089466857
stats.alpha_precision.delta_precision_alpha_OC,0.8359310344827586,0.9197241379310345,0.8773287356321837,0.039076711787821926
stats.alpha_precision.delta_coverage_beta_OC,0.4926666666666666,0.6211264367816092,0.5354252873563219,0.049845240744108725
stats.alpha_precision.authenticity_OC,0.37,0.5,0.45599999999999996,0.05856620185738529
stats.alpha_precision.delta_precision_alpha_naive,0.6293333333333334,0.7100000000000001,0.6570666666666667,0.0316319107512932
stats.alpha_precision.delta_coverage_beta_naive,0.5519310344827586,0.700919540229885,0.6068229885057471,0.06171196909092384
stats.alpha_precision.authenticity_naive,0.46,0.49,0.472,0.013038404810405283
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.85,0.95,0.9119999999999999,0.03768288736283355
stats.prdc.density,1.136,1.178,1.1552000000000002,0.019214577799160734
stats.prdc.coverage,0.91,1.0,0.9480000000000001,0.03420526275297412
performance.linear_model.gt,0.9957188644688644,0.9957188644688644,0.9957188644688644,0.0
performance.linear_model.syn_id,0.9041971602434078,0.9719818796484111,0.9403134550371874,0.026246801787965495
performance.linear_model.syn_ood,0.9085851648351649,0.9763965201465202,0.9459386446886449,0.02726692370386173
performance.mlp.gt,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0
performance.mlp.syn_id,0.5,0.9133333333333333,0.5826666666666667,0.1848482861399826
performance.mlp.syn_ood,0.5,0.9010989010989011,0.5802197802197802,0.1793768817115216
performance.xgb.gt,0.9809065934065935,0.9809065934065935,0.9809065934065935,0.0
performance.xgb.syn_id,0.943657876943881,0.9961791751183233,0.980903258958756,0.021183155100647222
performance.xgb.syn_ood,0.9446886446886447,1.0,0.982815934065934,0.02208126411020161
performance.feat_rank_distance.corr,0.04035403312390519,0.6610169491525424,0.35311275760502003,0.2923526550873078
performance.feat_rank_distance.pvalue,0.00010907212820279838,0.8156137229022042,0.2987145013543343,0.39913143936498796
detection.detection_xgb.mean,0.9570000000000001,0.9709999999999999,0.9658,0.005761944116355125
detection.detection_mlp.mean,0.46075,0.54,0.49575,0.030465656894280168
detection.detection_gmm.mean,0.48775,0.53625,0.50685,0.018265917715789698
detection.detection_linear.mean,0.657,0.726,0.6817,0.028973263537268246
privacy.delta-presence.score,2.4999999875000003,7.999999920000001,4.799999962,2.514955234144338
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.8000000100000002,0.8366600265340756
privacy.k-map.score,1.0,3.0,1.8,0.8366600265340756
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.8000000100000002,0.8366600265340756
privacy.identifiability_score.,0.41,0.5,0.454,0.0391152144312159
privacy.identifiability_score._privacy.identifiability_score.OC,0.47,0.51,0.5,0.01732050807568879
