,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.08467346989293265,0.14694118329409,0.10410989949573961,0.025002713273129484
sanity.close_values_probability.score,0.76,0.93,0.858,0.07362064927722385
sanity.distant_values_probability.score,0.01,0.02,0.012,0.00447213595499958
stats.jensenshannon_dist.marginal,0.013795274763392058,0.015319473520158798,0.014481536330000844,0.000545103560159958
stats.chi_squared_test.marginal,0.3184574967384003,0.4488401570734182,0.3716288507479969,0.04916578400940076
stats.inv_kl_divergence.marginal,0.6786146346299212,0.7502458896857088,0.709399727907462,0.027475173661844404
stats.ks_test.marginal,0.8483870967741935,0.8758064516129032,0.8640000000000001,0.013048775862464813
stats.max_mean_discrepancy.joint,0.0199999999984766,0.019999999999570903,0.0199999999991262,4.0997321541825135e-13
stats.wasserstein_dist.joint,0.40326982958760127,0.44965384348930254,0.4254424857463629,0.016530381666489426
stats.alpha_precision.delta_precision_alpha_OC,0.06266666666666687,0.1606666666666665,0.11720000000000004,0.03624423325778096
stats.alpha_precision.delta_coverage_beta_OC,0.06666666666666665,0.1393333333333332,0.10903908045977011,0.030777309924408816
stats.alpha_precision.authenticity_OC,0.7,0.97,0.884,0.11148990985734988
stats.alpha_precision.delta_precision_alpha_naive,0.8268735632183908,0.8938850574712643,0.8585885057471263,0.025550307870223
stats.alpha_precision.delta_coverage_beta_naive,0.04933333333333345,0.1326666666666667,0.09933333333333332,0.03283291031876397
stats.alpha_precision.authenticity_naive,0.64,0.76,0.688,0.047644516998286375
stats.prdc.precision,0.56,0.71,0.628,0.05540758070878025
stats.prdc.recall,0.99,1.0,0.9960000000000001,0.005477225575051666
stats.prdc.density,0.44000000000000006,0.466,0.45200000000000007,0.011661903789690597
stats.prdc.coverage,0.72,0.87,0.798,0.06379655163094633
performance.linear_model.gt,0.9957188644688644,0.9957188644688644,0.9957188644688644,0.0
performance.linear_model.syn_id,0.8708324543610548,0.9341755240027044,0.9112526842461122,0.028462144352248486
performance.linear_model.syn_ood,0.883356227106227,0.9511675824175825,0.9224954212454213,0.029386387493847407
performance.mlp.gt,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.9809065934065935,0.9809065934065935,0.9809065934065935,0.0
performance.xgb.syn_id,0.9405868830290738,0.995310615280595,0.9781954293441515,0.02217760151300682
performance.xgb.syn_ood,0.9499084249084249,0.9958333333333332,0.9806089743589744,0.018345656036397717
performance.feat_rank_distance.corr,0.005453013418055771,0.3980699795180713,0.2846473004225113,0.16205636622507838
performance.feat_rank_distance.pvalue,0.016852377788406602,0.9738830976733147,0.22632873239445866,0.418505597187917
detection.detection_xgb.mean,0.7315000000000002,0.8239999999999998,0.7686,0.03982995104189802
detection.detection_mlp.mean,0.5065000000000001,0.5235000000000001,0.5141000000000001,0.008226481629469548
detection.detection_gmm.mean,0.4844999999999999,0.569,0.5212999999999999,0.032192002112325986
detection.detection_linear.mean,0.41600000000000004,0.5965,0.5258,0.07544252779434157
privacy.delta-presence.score,1.9999999800000003,4.4999999775,2.8166666534861116,0.9831920762612545
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.60000001,0.8944271909999159
privacy.k-map.score,1.0,2.0,1.2,0.44721359549995804
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.60000001,0.8944271909999159
privacy.identifiability_score.,0.17,0.25,0.22000000000000003,0.03162277660168379
privacy.identifiability_score._privacy.identifiability_score.OC,0.04,0.13,0.096,0.04277849927241487
