,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.3383662083600017,0.35917511283266806,0.3542331385400367,0.008911589408603841
sanity.close_values_probability.score,0.35,0.38,0.356,0.01341640786499875
sanity.distant_values_probability.score,0.08,0.08,0.08,0.0
stats.jensenshannon_dist.marginal,0.08425601443475542,0.08580237383584245,0.08490390361871543,0.0007272352005693655
stats.chi_squared_test.marginal,0.02663657814636866,0.03225806451612903,0.030605456978542122,0.002291030181420138
stats.inv_kl_divergence.marginal,0.07380499411619136,0.07457907779915142,0.07440930953241673,0.00033871300882240763
stats.ks_test.marginal,0.18322580645161293,0.23193548387096777,0.21600000000000003,0.021127924127553235
stats.max_mean_discrepancy.joint,0.27611671921062775,0.37806938236901605,0.30768704877957836,0.040601820009377815
stats.wasserstein_dist.joint,19.266632024705785,20.326939244100316,19.694984635696443,0.40929782659979896
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.0013333333333332975,0.00040000000000000034,0.000596284793999934
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.01866666666666672,0.003733333333333344,0.00834798711599924
stats.alpha_precision.authenticity_OC,1.0,1.0,1.0,0.0
stats.alpha_precision.delta_precision_alpha_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0
stats.prdc.precision,0.0,0.02,0.012,0.008366600265340755
stats.prdc.recall,0.97,0.99,0.9860000000000001,0.008944271909999166
stats.prdc.density,0.0,0.008,0.004,0.0031622776601683794
stats.prdc.coverage,0.0,0.02,0.014000000000000002,0.008944271909999158
performance.linear_model.gt,0.9957188644688644,0.9957188644688644,0.9957188644688644,0.0
performance.linear_model.syn_id,0.06320324543610548,0.8392,0.6342974983096686,0.32223943296094043
performance.linear_model.syn_ood,0.05876831501831503,0.8537545787545786,0.6433836996336997,0.329846101423203
performance.mlp.gt,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0
performance.mlp.syn_id,0.5,0.8966666666666668,0.5793333333333334,0.1773947262149834
performance.mlp.syn_ood,0.5,0.945054945054945,0.589010989010989,0.19903462217305817
performance.xgb.gt,0.9809065934065935,0.9809065934065935,0.9809065934065935,0.0
performance.xgb.syn_id,0.48643678160919546,0.5,0.4891494252873564,0.006065655663102854
performance.xgb.syn_ood,0.48571428571428577,0.5,0.4885714285714286,0.0063887656499993775
performance.feat_rank_distance.corr,0.0,0.0,0.0,0.0
performance.feat_rank_distance.pvalue,0.0,0.0,0.0,0.0
detection.detection_xgb.mean,1.0,1.0,1.0,0.0
detection.detection_mlp.mean,0.5425,0.7745,0.67645,0.08901850229025424
detection.detection_gmm.mean,0.17224999999999996,0.6699999999999999,0.39554999999999996,0.19369066833484777
detection.detection_linear.mean,0.9494999999999999,0.9800000000000001,0.9671,0.011030639147393113
privacy.delta-presence.score,3.1999999936,5.333333315555556,3.972367142186335,0.8716051166756003
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,3.0,5.0,4.2,0.8366600265340756
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.0,0.0,0.0,0.0
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.01,0.002,0.00447213595499958
