,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.0966362746263834,0.10869426712793234,0.10250524393426566,0.004823851485978093
sanity.close_values_probability.score,0.842,0.848,0.8464,0.0026076809620810618
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0
stats.jensenshannon_dist.marginal,0.06299335549720801,0.06446806667939035,0.06361636247205775,0.0005445618017981208
stats.chi_squared_test.marginal,0.021522440038416617,0.02763206671612577,0.02434105274976634,0.0022968265417536624
stats.inv_kl_divergence.marginal,0.1355958823476768,0.1539329008811431,0.1419275529172051,0.007055944271671768
stats.ks_test.marginal,0.26722580645161287,0.27625806451612905,0.2719870967741935,0.00366960119697621
stats.max_mean_discrepancy.joint,0.011999999999893929,0.012000744916411111,0.012000149052926101,3.330978485850994e-07
stats.wasserstein_dist.joint,3.7511543794918705,3.763591784677895,3.7557040049078525,0.004978331397841057
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.0006666666666667043,0.00013333333333334085,0.00029814239699998876
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_OC,1.0,1.0,1.0,0.0
stats.alpha_precision.delta_precision_alpha_naive,0.06666666666666665,0.06866666666666665,0.06746666666666667,0.000730296743340217
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0
stats.prdc.precision,0.0,0.0,0.0,0.0
stats.prdc.recall,0.0,0.002,0.0004,0.0008944271909999159
stats.prdc.density,0.0,0.0,0.0,0.0
stats.prdc.coverage,0.0,0.0,0.0,0.0
performance.linear_model.gt,0.9874795605695436,0.9874795605695436,0.9874795605695436,0.0
performance.linear_model.syn_id,0.4426737494466578,0.9528730202835793,0.6352329726754177,0.20246665917150883
performance.linear_model.syn_ood,0.44265232974910396,0.9517364320420347,0.6343987912239185,0.20192368392490803
performance.mlp.gt,0.6798,0.6798,0.6798,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.9914218123046646,0.9914218123046646,0.9914218123046646,0.0
performance.xgb.syn_id,0.3405545751228457,0.9475962811677002,0.6811350148598136,0.2403626061530206
performance.xgb.syn_ood,0.3393255006158232,0.9482147682487241,0.6804211123565962,0.24085621600745577
performance.feat_rank_distance.corr,-0.30392593443050164,0.1780337557794247,-0.057787901203347536,0.2009122159405904
performance.feat_rank_distance.pvalue,7.691560003863519e-06,0.08095146793314825,0.03514196665330811,0.03560131230709959
detection.detection_xgb.mean,1.0,1.0,1.0,0.0
detection.detection_mlp.mean,0.48410000000000003,0.58755,0.51159,0.04289404678973528
detection.detection_gmm.mean,0.299,0.384,0.35,0.03500714212842859
detection.detection_linear.mean,1.0,1.0,1.0,0.0
privacy.delta-presence.score,16.999999957500002,66.99999933000001,39.03333302022223,25.617485021891014
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,5.00000001,2.4000000100000003,1.51657508881031
privacy.k-map.score,1.0,3.0,2.0,1.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,5.00000001,2.4000000100000003,1.51657508881031
privacy.identifiability_score.,0.0,0.0,0.0,0.0
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.0,0.0,0.0
