,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.049939529636640556,0.10548613752039515,0.08433768584185974,0.022892796771413523
sanity.close_values_probability.score,0.87,0.97,0.916,0.04098780306383839
sanity.distant_values_probability.score,0.01,0.02,0.013999999999999999,0.005477225575051661
stats.jensenshannon_dist.marginal,0.009739351541562708,0.010998782983389575,0.010451058008959605,0.00046036061295242774
stats.chi_squared_test.marginal,0.19301216014263223,0.4822952295202545,0.33381206130911484,0.1242833472058334
stats.inv_kl_divergence.marginal,0.7179042733003174,0.807540419472868,0.7684448202793902,0.042693495712456384
stats.ks_test.marginal,0.8735483870967741,0.9038709677419355,0.8901935483870966,0.011037727374706098
stats.max_mean_discrepancy.joint,0.019983807280304494,0.020004701855655706,0.019997701686294455,8.029638671687902e-06
stats.wasserstein_dist.joint,0.1919133189247589,0.3086116195702284,0.23794094761231546,0.046574953258179716
stats.alpha_precision.delta_precision_alpha_OC,0.6086666666666667,0.722,0.6691586206896553,0.05335473114151153
stats.alpha_precision.delta_coverage_beta_OC,0.3546666666666666,0.5393333333333332,0.4316,0.06906454308189629
stats.alpha_precision.authenticity_OC,0.46,0.58,0.516,0.05594640292279744
stats.alpha_precision.delta_precision_alpha_naive,0.8490574712643678,0.9197931034482758,0.8848965517241381,0.030751829052776042
stats.alpha_precision.delta_coverage_beta_naive,0.5106666666666666,0.6466666666666666,0.5918528735632183,0.05487604451482763
stats.alpha_precision.authenticity_naive,0.37,0.44,0.40800000000000003,0.032710854467592254
stats.prdc.precision,0.98,1.0,0.9960000000000001,0.008944271909999166
stats.prdc.recall,0.98,1.0,0.99,0.007071067811865481
stats.prdc.density,0.9279999999999999,1.038,0.9836,0.04208087451562766
stats.prdc.coverage,0.94,1.0,0.9879999999999999,0.026832815729997503
performance.linear_model.gt,0.9957188644688644,0.9957188644688644,0.9957188644688644,0.0
performance.linear_model.syn_id,0.9686580121703854,0.9914193373901286,0.9808524678837053,0.009314810889856523
performance.linear_model.syn_ood,0.9681776556776558,0.9935210622710622,0.9845192307692308,0.009950635580991614
performance.mlp.gt,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0
performance.mlp.syn_id,0.5,0.8766666666666667,0.5753333333333334,0.16845045430498418
performance.mlp.syn_ood,0.5,0.9175824175824175,0.5835164835164834,0.1867485343845978
performance.xgb.gt,0.9809065934065935,0.9809065934065935,0.9809065934065935,0.0
performance.xgb.syn_id,0.9906269100743745,0.9983886409736307,0.9945967545638945,0.003408467415388171
performance.xgb.syn_ood,0.9916666666666666,1.0,0.9959729853479853,0.003360479125208004
performance.feat_rank_distance.corr,0.2235735501402866,0.4744121673708521,0.3592235318477768,0.10442385077102095
performance.feat_rank_distance.pvalue,0.004396008250472318,0.17950531024123706,0.0598453558806743,0.07128936542525585
detection.detection_xgb.mean,0.476,0.54725,0.5105,0.03167560180959472
detection.detection_mlp.mean,0.475,0.53175,0.50105,0.023093153747377176
detection.detection_gmm.mean,0.47275,0.5375,0.49660000000000004,0.025216933794575413
detection.detection_linear.mean,0.529,0.611,0.5764000000000001,0.03932937833223401
privacy.delta-presence.score,1.7999999964,4.999999950000001,2.8599999777800003,1.3776791934292982
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,2.0,1.2,0.44721359549995804
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.49,0.59,0.54,0.04301162633521314
privacy.identifiability_score._privacy.identifiability_score.OC,0.39,0.45,0.42000000000000004,0.0282842712474619
