,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.051251674648546894,0.12929851820257945,0.06970937489971965,0.033427756076269376
sanity.close_values_probability.score,0.81,0.97,0.932,0.06833739825307952
sanity.distant_values_probability.score,0.01,0.02,0.012,0.00447213595499958
stats.jensenshannon_dist.marginal,0.01558144877320521,0.017348634609930896,0.01654563400571347,0.0007940965656562003
stats.chi_squared_test.marginal,0.09623734726197633,0.22414464739270523,0.1590987536826159,0.05149586257632455
stats.inv_kl_divergence.marginal,0.5909797311055941,0.6679908953867116,0.629052938495276,0.03525202249291202
stats.ks_test.marginal,0.8335483870967741,0.8519354838709678,0.8456774193548388,0.007182763505175463
stats.max_mean_discrepancy.joint,0.0198000000018292,0.02000011915188094,0.0199600238300213,8.945605434326352e-05
stats.wasserstein_dist.joint,0.19721357754999713,0.32499926603036783,0.2493547463793239,0.047820653756853536
stats.alpha_precision.delta_precision_alpha_OC,0.4993333333333333,0.6053333333333333,0.5437333333333333,0.04000166663194588
stats.alpha_precision.delta_coverage_beta_OC,0.32733333333333337,0.4226666666666665,0.3549333333333333,0.038368389767272325
stats.alpha_precision.authenticity_OC,0.47,0.6,0.504,0.05504543577809154
stats.alpha_precision.delta_precision_alpha_naive,0.6100000000000001,0.7000000000000002,0.6576000000000001,0.040771994745849235
stats.alpha_precision.delta_coverage_beta_naive,0.4793333333333333,0.6546666666666667,0.582583908045977,0.07668633809910566
stats.alpha_precision.authenticity_naive,0.43,0.54,0.48599999999999993,0.040373258476372714
stats.prdc.precision,0.99,1.0,0.9960000000000001,0.0054772255750516665
stats.prdc.recall,0.94,0.99,0.9640000000000001,0.02073644135332774
stats.prdc.density,0.9640000000000001,1.042,1.0144000000000002,0.02987975903517294
stats.prdc.coverage,0.88,0.99,0.958,0.04549725266430929
performance.linear_model.gt,0.9957188644688644,0.9957188644688644,0.9957188644688644,0.0
performance.linear_model.syn_id,0.9592338066260986,0.9919545638945234,0.9727323326572008,0.013536203333346887
performance.linear_model.syn_ood,0.9657509157509159,0.9935210622710624,0.978246336996337,0.012045262234155718
performance.mlp.gt,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0
performance.mlp.syn_id,0.5,0.5900000000000001,0.518,0.04024922359499625
performance.mlp.syn_ood,0.5,0.5769230769230769,0.5153846153846153,0.03440104580768905
performance.xgb.gt,0.9809065934065935,0.9809065934065935,0.9809065934065935,0.0
performance.xgb.syn_id,0.9749417173766058,0.994225016903313,0.9840668559837727,0.009284379314815516
performance.xgb.syn_ood,0.97882326007326,0.9978021978021978,0.9883379120879121,0.008647129857820266
performance.feat_rank_distance.corr,-0.34353984533751364,0.4962242210430752,0.17788061148089382,0.3460465235313116
performance.feat_rank_distance.pvalue,0.0028899617913086986,0.7682637285427232,0.20323079875837108,0.3262886567138916
detection.detection_xgb.mean,0.6825000000000001,0.818,0.7413500000000001,0.06080902482362298
detection.detection_mlp.mean,0.46950000000000003,0.512,0.48865,0.015490521295295394
detection.detection_gmm.mean,0.4600000000000001,0.5,0.48795,0.017128558024538977
detection.detection_linear.mean,0.658,0.7355,0.6912,0.03289110822091586
privacy.delta-presence.score,2.3333333255555555,4.4999999775,3.333333318222222,0.9789450034915707
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.44721359549995804
privacy.k-map.score,1.0,3.0,2.0,0.7071067811865476
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.44721359549995804
privacy.identifiability_score.,0.41,0.55,0.49000000000000005,0.06892024376045114
privacy.identifiability_score._privacy.identifiability_score.OC,0.36,0.46,0.39399999999999996,0.0384707681233427
