,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.06898957107805634,0.12562174960677847,0.09411876847120401,0.022515196354278323
sanity.close_values_probability.score,0.81,0.96,0.8880000000000001,0.058906705900092546
sanity.distant_values_probability.score,0.01,0.03,0.016,0.008944271909999158
stats.jensenshannon_dist.marginal,0.011065944802794022,0.01356227786802485,0.011945233003651882,0.0010138718291110025
stats.chi_squared_test.marginal,0.22168252608699485,0.38449278829721195,0.2810310019352193,0.06921098480564707
stats.inv_kl_divergence.marginal,0.6715014242762815,0.76848722860048,0.7118085177294369,0.035699074113888396
stats.ks_test.marginal,0.8380645161290323,0.8874193548387097,0.8725806451612904,0.02065901752753294
stats.max_mean_discrepancy.joint,0.019999999515260488,0.020000001180009955,0.020000000138809725,6.186791827125319e-10
stats.wasserstein_dist.joint,0.21941397041993338,0.28610611399122754,0.25710985741482995,0.026566864219034463
stats.alpha_precision.delta_precision_alpha_OC,0.6665977011494253,0.8280000000000001,0.7509563218390805,0.07531443331638543
stats.alpha_precision.delta_coverage_beta_OC,0.4045977011494254,0.5026666666666666,0.45251954022988505,0.046496909973376375
stats.alpha_precision.authenticity_OC,0.48,0.59,0.564,0.04722287581247037
stats.alpha_precision.delta_precision_alpha_naive,0.855103448275862,0.941264367816092,0.8958068965517242,0.04027069391603929
stats.alpha_precision.delta_coverage_beta_naive,0.5545977011494252,0.6273333333333333,0.5917057471264368,0.03057359517446272
stats.alpha_precision.authenticity_naive,0.36,0.48,0.414,0.044497190922573975
stats.prdc.precision,0.97,1.0,0.986,0.011401754250991391
stats.prdc.recall,0.95,1.0,0.982,0.021679483388678818
stats.prdc.density,0.9420000000000001,1.03,0.9948,0.03372239611889996
stats.prdc.coverage,0.92,1.0,0.978,0.03492849839314595
performance.linear_model.gt,0.9957188644688644,0.9957188644688644,0.9957188644688644,0.0
performance.linear_model.syn_id,0.9489103448275861,0.9926269100743745,0.9709906693711968,0.01567967487826279
performance.linear_model.syn_ood,0.954647435897436,0.9979166666666666,0.9746611721611721,0.01552772066287966
performance.mlp.gt,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0
performance.mlp.syn_id,0.5,0.9283333333333333,0.6616666666666667,0.22202977778267094
performance.mlp.syn_ood,0.5,0.9230769230769231,0.6626373626373627,0.22300518523882032
performance.xgb.gt,0.9809065934065935,0.9809065934065935,0.9809065934065935,0.0
performance.xgb.syn_id,0.9818930358350236,0.9978534144692359,0.9921753617308993,0.0063755603966200195
performance.xgb.syn_ood,0.9872710622710622,0.9979166666666666,0.995279304029304,0.004580482732480604
performance.feat_rank_distance.corr,0.12223920106820567,0.22416423426122267,0.17139465465575832,0.048268395148234854
performance.feat_rank_distance.pvalue,0.17928804833190826,0.46965728863601686,0.3221434626997888,0.13593614709974514
detection.detection_xgb.mean,0.5335000000000001,0.6125,0.56455,0.03284642294071
detection.detection_mlp.mean,0.4875,0.5199999999999999,0.5047499999999999,0.013417572433193711
detection.detection_gmm.mean,0.47800000000000004,0.5,0.4925,0.009124143795447315
detection.detection_linear.mean,0.5245000000000001,0.623,0.5806,0.0410508830599294
privacy.delta-presence.score,1.749999995625,3.4999999825000003,2.983333320180556,0.7781744959187366
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.60000001,0.8944271909999159
privacy.k-map.score,1.0,2.0,1.8,0.44721359549995804
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.60000001,0.8944271909999159
privacy.identifiability_score.,0.45,0.52,0.4960000000000001,0.02880972058177587
privacy.identifiability_score._privacy.identifiability_score.OC,0.39,0.5,0.458,0.04658325879540846
