,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.1841119733315824,0.32687793082737815,0.27353888630081474,0.06152765765187308
sanity.close_values_probability.score,0.4,0.7,0.5933333333333333,0.11879019787470305
sanity.distant_values_probability.score,0.03333333333333333,0.16666666666666666,0.08666666666666666,0.07302967433402215
stats.jensenshannon_dist.marginal,0.03581492777498788,0.04699603063839172,0.040839832415813807,0.0042553390124809905
stats.chi_squared_test.marginal,0.18105629209875518,0.4543298651006833,0.25426765015129105,0.1185864674506334
stats.inv_kl_divergence.marginal,0.35647298658873494,0.5923141835011491,0.45808838219779585,0.08533210317684019
stats.ks_test.marginal,0.5696969696969697,0.7606060606060606,0.6872727272727273,0.0820255509028636
stats.max_mean_discrepancy.joint,0.06059165648365565,0.07129128100360106,0.06450101882070193,0.0042775484679826985
stats.wasserstein_dist.joint,0.24288019830327479,0.4075897617547136,0.2933297406103145,0.06900543742746322
stats.alpha_precision.delta_precision_alpha_OC,0.5266666666666666,0.72,0.6257777777777778,0.07052886634318122
stats.alpha_precision.delta_coverage_beta_OC,0.5393103448275862,0.7275862068965517,0.5974099616858238,0.07517591705663945
stats.alpha_precision.authenticity_OC,0.2,0.5,0.42000000000000004,0.12382783747337806
stats.alpha_precision.delta_precision_alpha_naive,0.8120306513409962,0.9386973180076629,0.897808429118774,0.05077351499135014
stats.alpha_precision.delta_coverage_beta_naive,0.4675862068965517,0.7668199233716475,0.6282911877394636,0.1110995158436462
stats.alpha_precision.authenticity_naive,0.3,0.5,0.4133333333333334,0.08692269873603532
stats.prdc.precision,0.9666666666666667,1.0,0.9933333333333334,0.014907119849998594
stats.prdc.recall,0.9666666666666667,1.0,0.9866666666666667,0.018257418583505533
stats.prdc.density,1.0133333333333334,1.1866666666666668,1.072,0.07621606713081491
stats.prdc.coverage,0.8666666666666667,1.0,0.9733333333333334,0.059628479399994376
performance.linear_model.gt,0.06828200939197634,0.06828200939197634,0.06828200939197634,0.0
performance.linear_model.syn_id,0.012204806169295358,0.41582733267968575,0.2366668796385895,0.15234229212469638
performance.linear_model.syn_ood,-0.32974322213872087,0.2823867189883299,0.05837645339919142,0.23291470797920114
performance.mlp.gt,-1.4910683749643834,-1.4910683749643834,-1.4910683749643834,0.0
performance.mlp.syn_id,-1.406812539835019,-1.2775310094490215,-1.366923552063609,0.051065944347429455
performance.mlp.syn_ood,-1.1003629843845513,-0.7974615038727924,-0.9640173314423166,0.12148041652666262
performance.xgb.gt,-0.33841504167834746,-0.33841504167834746,-0.33841504167834746,0.0
performance.xgb.syn_id,0.22921740088390585,0.3757994467287801,0.2982056446378232,0.05567907388663795
performance.xgb.syn_ood,0.006997679660887712,0.14914813200833113,0.06894464442741186,0.06741008073383865
performance.feat_rank_distance.corr,0.1111111111111111,0.6,0.34222222222222215,0.20703670575737093
performance.feat_rank_distance.pvalue,0.016666115520282188,0.7274895282186948,0.31326785714285715,0.3001637455406292
detection.detection_xgb.mean,1.0,1.0,1.0,0.0
detection.detection_mlp.mean,0.5,0.55,0.5233333333333332,0.019002923751652325
detection.detection_gmm.mean,0.4638888888888889,0.5166666666666667,0.4961111111111111,0.022703129713002822
detection.detection_linear.mean,0.5611111111111111,0.7444444444444445,0.6444444444444445,0.0721153054763732
privacy.delta-presence.score,1.3999999990666665,2.6249999967187496,1.917820510962036,0.5300534771100524
privacy.k-anonymization.gt,9.0,9.0,9.0,0.0
privacy.k-anonymization.syn,8.00000001,13.00000001,10.400000010000001,2.4083189157584592
privacy.k-map.score,8.0,15.0,11.6,2.966479394838265
privacy.distinct l-diversity.gt,9.0,9.0,9.0,0.0
privacy.distinct l-diversity.syn,8.00000001,13.00000001,10.400000010000001,2.4083189157584592
privacy.identifiability_score.,0.4666666666666667,0.6666666666666666,0.5533333333333333,0.07302967433402213
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.13333333333333333,0.06666666666666668,0.05270462766947299
