,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.14878211509077705,0.3088565735497836,0.2284535236133348,0.06847153019981002
sanity.close_values_probability.score,0.3333333333333333,0.8333333333333334,0.6066666666666667,0.1991649232838621
sanity.distant_values_probability.score,0.03333333333333333,0.1,0.06666666666666667,0.023570226039551587
stats.jensenshannon_dist.marginal,0.023021466400341282,0.028196632409433233,0.025832037229449566,0.0020447010165776016
stats.chi_squared_test.marginal,0.08597751752061777,0.36350972633690287,0.21313481016758976,0.10598370882569338
stats.inv_kl_divergence.marginal,0.327543678406058,0.45482487867056565,0.40767394074409885,0.04965681104727179
stats.ks_test.marginal,0.7,0.7606060606060606,0.7236363636363636,0.022514152267886944
stats.max_mean_discrepancy.joint,0.060716137428643596,0.06503347259582976,0.06299853888178424,0.0017434397975284505
stats.wasserstein_dist.joint,0.3224123750127391,0.3701072213643595,0.343497980270786,0.01803270494194483
stats.alpha_precision.delta_precision_alpha_OC,0.468888888888889,0.8231417624521072,0.6049348659003831,0.13207640250405484
stats.alpha_precision.delta_coverage_beta_OC,0.4001532567049808,0.7098084291187738,0.5353256704980842,0.11449187518518159
stats.alpha_precision.authenticity_OC,0.4,0.6333333333333333,0.5199999999999999,0.10165300454651269
stats.alpha_precision.delta_precision_alpha_naive,0.7417624521072796,0.9241379310344827,0.8533793103448275,0.07126687261284231
stats.alpha_precision.delta_coverage_beta_naive,0.19333333333333336,0.5923371647509579,0.446528735632184,0.16508519424098667
stats.alpha_precision.authenticity_naive,0.4666666666666667,0.6666666666666666,0.5466666666666666,0.0869226987360353
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9333333333333333,1.0,0.9866666666666667,0.029814239699997188
stats.prdc.density,0.9733333333333333,1.1133333333333333,1.0453333333333332,0.057232469416892674
stats.prdc.coverage,0.7333333333333333,1.0,0.8866666666666667,0.1043498389499902
performance.linear_model.gt,0.06828200939197634,0.06828200939197634,0.06828200939197634,0.0
performance.linear_model.syn_id,-0.2718937921867384,0.36280367673268804,0.15412928275195545,0.2507572095130801
performance.linear_model.syn_ood,-0.5746153113314856,0.26078607024915235,-0.015345558433578432,0.3276269998878844
performance.mlp.gt,-1.4910683749643834,-1.4910683749643834,-1.4910683749643834,0.0
performance.mlp.syn_id,-1.8437656845395338,-1.4765022139710018,-1.67277161281235,0.16186165953863718
performance.mlp.syn_ood,-2.2722181708669194,-1.484252454846644,-1.803885838039704,0.2988943938501887
performance.xgb.gt,-0.33841504167834746,-0.33841504167834746,-0.33841504167834746,0.0
performance.xgb.syn_id,-0.3984061302871676,0.18987695508167673,-0.060025641671865526,0.2342621457179133
performance.xgb.syn_ood,-0.8204679689177483,0.0018584059252778396,-0.3303381885021028,0.3265643296901966
performance.feat_rank_distance.corr,0.022222222222222223,0.19999999999999998,0.14666666666666667,0.07302967433402213
performance.feat_rank_distance.pvalue,0.4843127204585538,1.0,0.6339865520282186,0.21271607793214883
detection.detection_xgb.mean,0.6500000000000001,0.7611111111111112,0.7033333333333334,0.03979112128771105
detection.detection_mlp.mean,0.4833333333333334,0.5166666666666666,0.5,0.01178511301977575
detection.detection_gmm.mean,0.4166666666666667,0.55,0.48611111111111116,0.053719665571704774
detection.detection_linear.mean,0.5944444444444444,0.7277777777777779,0.6822222222222223,0.05187830013301668
privacy.delta-presence.score,1.3999999990666665,2.3333333307407407,1.9366666648298145,0.36522443568064683
privacy.k-anonymization.gt,9.0,9.0,9.0,0.0
privacy.k-anonymization.syn,10.00000001,15.00000001,13.000000010000003,1.8708286933869707
privacy.k-map.score,9.0,15.0,11.2,2.3874672772626644
privacy.distinct l-diversity.gt,9.0,9.0,9.0,0.0
privacy.distinct l-diversity.syn,10.00000001,15.00000001,13.000000010000003,1.8708286933869707
privacy.identifiability_score.,0.3333333333333333,0.43333333333333335,0.39333333333333337,0.043461349368017675
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.2,0.06666666666666668,0.07817359599705716
