,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.22688130235871015,0.35731380104761484,0.31872444128867006,0.052975733190852754
sanity.close_values_probability.score,0.36666666666666664,0.6,0.4666666666666667,0.09128709291752768
sanity.distant_values_probability.score,0.03333333333333333,0.13333333333333333,0.09333333333333334,0.043461349368017654
stats.jensenshannon_dist.marginal,0.0348918557564867,0.04724310139063039,0.038061798429186486,0.005170012134358802
stats.chi_squared_test.marginal,0.07563672987023967,0.2727117399804028,0.19185409248376412,0.08145826878769326
stats.inv_kl_divergence.marginal,0.3304105881944419,0.4517647720245473,0.4067665111066169,0.04920940158753225
stats.ks_test.marginal,0.6515151515151515,0.7666666666666667,0.7236363636363635,0.04367212339467612
stats.max_mean_discrepancy.joint,0.06556927525326295,0.07749176930933621,0.07115142814964473,0.0055190667597777195
stats.wasserstein_dist.joint,0.5603188830299421,0.9071300439406933,0.6450284787789679,0.14708468561861326
stats.alpha_precision.delta_precision_alpha_OC,0.4379310344827587,0.7250574712643678,0.5681839080459771,0.1057410931701076
stats.alpha_precision.delta_coverage_beta_OC,0.35111111111111104,0.5845210727969349,0.49416091954022984,0.09894651259385989
stats.alpha_precision.authenticity_OC,0.43333333333333335,0.6666666666666666,0.5266666666666666,0.09249624617007736
stats.alpha_precision.delta_precision_alpha_naive,0.1711111111111111,0.3666666666666666,0.3142222222222221,0.08221621599684273
stats.alpha_precision.delta_coverage_beta_naive,0.1955555555555556,0.5055172413793103,0.34780076628352496,0.11687631792797157
stats.alpha_precision.authenticity_naive,0.5,0.7666666666666667,0.6133333333333334,0.09888264649460886
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,1.0,1.0,1.0,0.0
stats.prdc.density,0.8266666666666668,0.9133333333333333,0.86,0.03431876713662329
stats.prdc.coverage,0.9333333333333333,1.0,0.9866666666666667,0.029814239699997188
performance.linear_model.gt,0.06828200939197634,0.06828200939197634,0.06828200939197634,0.0
performance.linear_model.syn_id,0.0589911397192048,0.4387660292016021,0.3162693417895977,0.15476243517352717
performance.linear_model.syn_ood,-0.14660827280108016,0.31682451818535295,0.1529490266235226,0.1847314749709272
performance.mlp.gt,-1.4910683749643834,-1.4910683749643834,-1.4910683749643834,0.0
performance.mlp.syn_id,-1.4421515009864627,-1.2784261218095174,-1.3555352697518135,0.06120914024664095
performance.mlp.syn_ood,-1.5205717775178762,-0.8171619022107276,-1.2245931947650788,0.261135976711207
performance.xgb.gt,-0.33841504167834746,-0.33841504167834746,-0.33841504167834746,0.0
performance.xgb.syn_id,-0.2700612522042093,0.3026839912982589,0.08823799334030727,0.22028317685240115
performance.xgb.syn_ood,-0.648491384729079,0.08510735465518922,-0.19257827905989813,0.28226955042440366
performance.feat_rank_distance.corr,0.19999999999999998,0.5111111111111111,0.3688888888888889,0.11066577420434427
performance.feat_rank_distance.pvalue,0.04662257495590829,0.4843127204585538,0.19963216490299823,0.16600755584356566
detection.detection_xgb.mean,0.5944444444444444,0.8222222222222223,0.68,0.0952255282714037
detection.detection_mlp.mean,0.5,0.5,0.5,0.0
detection.detection_gmm.mean,0.45,0.5166666666666667,0.4872222222222223,0.026902888917340568
detection.detection_linear.mean,0.5055555555555555,0.7166666666666667,0.6011111111111112,0.07591011578842669
privacy.delta-presence.score,1.1052631573130194,2.0999999979,1.571052630349985,0.3751915479171033
privacy.k-anonymization.gt,9.0,9.0,9.0,0.0
privacy.k-anonymization.syn,9.00000001,14.00000001,11.400000010000001,2.073644135332772
privacy.k-map.score,10.0,15.0,12.4,2.073644135332772
privacy.distinct l-diversity.gt,9.0,9.0,9.0,0.0
privacy.distinct l-diversity.syn,9.00000001,14.00000001,11.400000010000001,2.073644135332772
privacy.identifiability_score.,0.2,0.43333333333333335,0.3466666666666667,0.10697871023920809
privacy.identifiability_score._privacy.identifiability_score.OC,0.03333333333333333,0.13333333333333333,0.07333333333333333,0.04346134936801766
