,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.3180043544672684,0.3516679026320935,0.3304978373250414,0.012815678299072847
sanity.close_values_probability.score,0.4,0.5,0.48,0.04472135954999579
sanity.distant_values_probability.score,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0
stats.jensenshannon_dist.marginal,0.05956512629625606,0.061823601953859456,0.06054274203729163,0.000901721830506549
stats.chi_squared_test.marginal,0.05087899338176467,0.0642050874640775,0.057602879781323536,0.00666443568581147
stats.inv_kl_divergence.marginal,0.1527776553081816,0.16667761464663963,0.15789478542241708,0.005540860158071226
stats.ks_test.marginal,0.33636363636363636,0.35454545454545455,0.34484848484848485,0.006569540420811766
stats.max_mean_discrepancy.joint,0.07739630344125076,0.09993546463162599,0.08572742647716594,0.009397190672828544
stats.wasserstein_dist.joint,1.124753892108262,1.194372163407017,1.159222295556553,0.026155554591369708
stats.alpha_precision.delta_precision_alpha_OC,0.5977777777777777,0.8616091954022989,0.783478927203065,0.10862293442374935
stats.alpha_precision.delta_coverage_beta_OC,0.30666666666666664,0.4222222222222223,0.37022222222222234,0.04132377428294343
stats.alpha_precision.authenticity_OC,0.5333333333333333,0.6666666666666666,0.6,0.06236095644623235
stats.alpha_precision.delta_precision_alpha_naive,0.04888888888888887,0.06666666666666665,0.05600000000000001,0.006740333728045823
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,0.9,1.0,0.9666666666666668,0.04714045207910316
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.23333333333333334,0.4,0.32666666666666666,0.0760116950066092
stats.prdc.density,0.6133333333333334,0.8533333333333334,0.7026666666666668,0.09950991017090821
stats.prdc.coverage,0.23333333333333334,0.3333333333333333,0.3,0.04082482904638629
performance.linear_model.gt,0.06828200939197634,0.06828200939197634,0.06828200939197634,0.0
performance.linear_model.syn_id,0.08744715521608251,0.4458747737787304,0.23910725702699623,0.15604681670323237
performance.linear_model.syn_ood,-0.05775660419583648,0.303128353695866,0.12161872572623031,0.14789503108182528
performance.mlp.gt,-1.4910683749643834,-1.4910683749643834,-1.4910683749643834,0.0
performance.mlp.syn_id,-2.063316977775327,-1.966711654296752,-1.9937712957460914,0.039797481826516316
performance.mlp.syn_ood,-1.9950326085859333,-1.8073761089136329,-1.8661015922286084,0.07708613677764903
performance.xgb.gt,-0.33841504167834746,-0.33841504167834746,-0.33841504167834746,0.0
performance.xgb.syn_id,-2.279065377617033,-0.8866590284404146,-1.6111902442173236,0.5566513338815265
performance.xgb.syn_ood,-2.964350440812008,-1.2027211546126342,-2.1103550738315535,0.6959637832125001
performance.feat_rank_distance.corr,-0.28888888888888886,0.4222222222222222,0.07555555555555556,0.3272028856765504
performance.feat_rank_distance.pvalue,0.10831349206349207,0.6006536596119929,0.31946175044091707,0.18629829409812457
detection.detection_xgb.mean,0.9333333333333333,0.9833333333333334,0.95,0.02041241452319317
detection.detection_mlp.mean,0.3611111111111111,0.48888888888888893,0.40444444444444444,0.05711694738877724
detection.detection_gmm.mean,0.4666666666666667,0.5,0.4800000000000001,0.013944333775567929
detection.detection_linear.mean,0.9388888888888889,0.961111111111111,0.9488888888888889,0.008240220541217374
privacy.delta-presence.score,0.6999999997666666,0.6999999997666666,0.6999999997666666,0.0
privacy.k-anonymization.gt,9.0,9.0,9.0,0.0
privacy.k-anonymization.syn,7.00000001,15.00000001,12.400000010000001,3.130495168499706
privacy.k-map.score,30.0,30.0,30.0,0.0
privacy.distinct l-diversity.gt,9.0,9.0,9.0,0.0
privacy.distinct l-diversity.syn,7.00000001,15.00000001,12.400000010000001,3.130495168499706
privacy.identifiability_score.,0.0,0.0,0.0,0.0
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.1,0.04,0.05477225575051661
