,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.30742390093316274,0.3337438185777322,0.32031181697214944,0.01168709992277537
sanity.close_values_probability.score,0.4666666666666667,0.5,0.49333333333333335,0.014907119849998594
sanity.distant_values_probability.score,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0
stats.jensenshannon_dist.marginal,0.058812258870692705,0.06160462356870558,0.059878775172557776,0.0011251312349566274
stats.chi_squared_test.marginal,0.043115850069757225,0.07563672987023967,0.06335918391841702,0.013055280775186404
stats.inv_kl_divergence.marginal,0.15167654065666192,0.16823221318184095,0.16168668346977946,0.006251217183194907
stats.ks_test.marginal,0.33939393939393936,0.3515151515151515,0.3466666666666667,0.004595682087303974
stats.max_mean_discrepancy.joint,0.07768022304467424,0.09843635015274882,0.08620241056445604,0.007755468655856899
stats.wasserstein_dist.joint,1.1339208832554304,1.198316796003592,1.161217223351203,0.026706113793817456
stats.alpha_precision.delta_precision_alpha_OC,0.6420689655172414,0.8557088122605364,0.7896858237547892,0.086726820389695
stats.alpha_precision.delta_coverage_beta_OC,0.11999999999999988,0.36888888888888904,0.3022528735632184,0.10289676458045255
stats.alpha_precision.authenticity_OC,0.5,0.9666666666666667,0.62,0.19804601036683933
stats.alpha_precision.delta_precision_alpha_naive,0.039999999999999925,0.05777777777777782,0.05066666666666664,0.006921071778843348
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,0.9333333333333333,1.0,0.9866666666666667,0.029814239699997188
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.26666666666666666,0.43333333333333335,0.3733333333333333,0.07226494462892934
stats.prdc.density,0.6133333333333334,0.8533333333333334,0.728,0.10235016148280156
stats.prdc.coverage,0.26666666666666666,0.36666666666666664,0.32666666666666666,0.04346134936801765
performance.linear_model.gt,0.06828200939197634,0.06828200939197634,0.06828200939197634,0.0
performance.linear_model.syn_id,0.40353145241091193,0.4995178388073098,0.45185372607890245,0.041399444480080094
performance.linear_model.syn_ood,0.2971458103930401,0.3886245342081672,0.34484316361026046,0.03796751086460729
performance.mlp.gt,-1.4910683749643834,-1.4910683749643834,-1.4910683749643834,0.0
performance.mlp.syn_id,-2.061138836972127,-1.9058198410959786,-1.9835715125871207,0.055612354202862334
performance.mlp.syn_ood,-2.0225447335152538,-1.7401398171893354,-1.8792974198449925,0.1004909964472744
performance.xgb.gt,-0.33841504167834746,-0.33841504167834746,-0.33841504167834746,0.0
performance.xgb.syn_id,-1.371961857844091,-0.7019531840444275,-1.0317005559702381,0.2960190398548533
performance.xgb.syn_ood,-1.829096281945013,-0.9754662930033406,-1.392613050072907,0.3690479661054441
performance.feat_rank_distance.corr,0.06666666666666667,0.4222222222222222,0.2,0.1539600717839002
performance.feat_rank_distance.pvalue,0.10831349206349207,0.8618005952380953,0.5447633377425045,0.33871348212995445
detection.detection_xgb.mean,0.95,0.9833333333333334,0.96,0.014907119849998656
detection.detection_mlp.mean,0.35000000000000003,0.45555555555555555,0.3977777777777778,0.038208330808998645
detection.detection_gmm.mean,0.4833333333333333,0.5,0.49333333333333335,0.009128709291752767
detection.detection_linear.mean,0.9277777777777778,0.95,0.9422222222222223,0.010829771494232143
privacy.delta-presence.score,0.6999999997666666,0.6999999997666666,0.6999999997666666,0.0
privacy.k-anonymization.gt,9.0,9.0,9.0,0.0
privacy.k-anonymization.syn,7.00000001,14.00000001,10.800000010000002,2.863564212655271
privacy.k-map.score,30.0,30.0,30.0,0.0
privacy.distinct l-diversity.gt,9.0,9.0,9.0,0.0
privacy.distinct l-diversity.syn,7.00000001,14.00000001,10.800000010000002,2.863564212655271
privacy.identifiability_score.,0.0,0.0,0.0,0.0
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.06666666666666667,0.04666666666666667,0.029814239699997195
