,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.19918723087192122,0.31211938117242966,0.26074359893018745,0.04459342146106474
sanity.close_values_probability.score,0.26666666666666666,0.6666666666666666,0.49333333333333335,0.14414498873626433
sanity.distant_values_probability.score,0.03333333333333333,0.06666666666666667,0.04666666666666667,0.018257418583505537
stats.jensenshannon_dist.marginal,0.022530198946467465,0.033304925502287246,0.029978975492095473,0.0043825728294624965
stats.chi_squared_test.marginal,0.18163044829676628,0.45453329798459846,0.2545040738820092,0.11855481879760935
stats.inv_kl_divergence.marginal,0.381672178981516,0.6170395919375348,0.46158808384560424,0.09076396525902224
stats.ks_test.marginal,0.7151515151515152,0.8030303030303031,0.7527272727272727,0.03498655126635542
stats.max_mean_discrepancy.joint,0.06457615718545397,0.06950452848576638,0.0664244671211609,0.001988159080349873
stats.wasserstein_dist.joint,0.22084596771462778,0.28629783612574805,0.2562942037191706,0.02822039106939838
stats.alpha_precision.delta_precision_alpha_OC,0.611111111111111,0.8656704980842912,0.7685670498084292,0.10911271185106855
stats.alpha_precision.delta_coverage_beta_OC,0.42237547892720295,0.6256704980842912,0.5243371647509578,0.07992171122684262
stats.alpha_precision.authenticity_OC,0.26666666666666666,0.8,0.52,0.19663841605003504
stats.alpha_precision.delta_precision_alpha_naive,0.7986973180076629,0.9466666666666667,0.8634176245210728,0.055701712881708415
stats.alpha_precision.delta_coverage_beta_naive,0.5644444444444445,0.7622988505747126,0.6874022988505747,0.08617357551007326
stats.alpha_precision.authenticity_naive,0.3,0.4666666666666667,0.39333333333333337,0.06411794687223782
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,1.0,1.0,1.0,0.0
stats.prdc.density,0.9733333333333333,1.1333333333333335,1.0386666666666668,0.06606394208980004
stats.prdc.coverage,0.9333333333333333,1.0,0.9866666666666667,0.029814239699997188
performance.linear_model.gt,0.06828200939197634,0.06828200939197634,0.06828200939197634,0.0
performance.linear_model.syn_id,0.3642070225359516,0.4898430939381517,0.43278562253149816,0.04976026549560112
performance.linear_model.syn_ood,0.19185639571550225,0.33889698326456014,0.28562400866033266,0.07041044546285675
performance.mlp.gt,-1.4910683749643834,-1.4910683749643834,-1.4910683749643834,0.0
performance.mlp.syn_id,-1.4704087047337577,-1.3412094204164708,-1.4013137062643457,0.051100112239440665
performance.mlp.syn_ood,-1.3732807687822368,-0.8920962129088391,-1.0659531645259466,0.1936963281953911
performance.xgb.gt,-0.33841504167834746,-0.33841504167834746,-0.33841504167834746,0.0
performance.xgb.syn_id,0.5088320449102038,0.6593232182986719,0.5543463103728843,0.061729910216002735
performance.xgb.syn_ood,0.4166380111570426,0.611214857450407,0.4657136092014033,0.08190625371538712
performance.feat_rank_distance.corr,0.022222222222222223,0.5555555555555555,0.34222222222222215,0.23809947086184663
performance.feat_rank_distance.pvalue,0.02860945767195767,1.0,0.3496871693121693,0.43521113478210005
detection.detection_xgb.mean,0.8333333333333334,0.8944444444444445,0.8711111111111112,0.024658156690191294
detection.detection_mlp.mean,0.4833333333333334,0.5166666666666666,0.5,0.01178511301977575
detection.detection_gmm.mean,0.4,0.5083333333333334,0.47333333333333333,0.042245972852121935
detection.detection_linear.mean,0.38333333333333336,0.638888888888889,0.5322222222222223,0.10967122584241401
privacy.delta-presence.score,1.1052631573130194,1.7499999985416665,1.3981114541540678,0.24823376084647295
privacy.k-anonymization.gt,9.0,9.0,9.0,0.0
privacy.k-anonymization.syn,11.00000001,15.00000001,12.800000010000002,1.4832396974191324
privacy.k-map.score,11.0,15.0,13.0,1.5811388300841898
privacy.distinct l-diversity.gt,9.0,9.0,9.0,0.0
privacy.distinct l-diversity.syn,11.00000001,15.00000001,12.800000010000002,1.4832396974191324
privacy.identifiability_score.,0.36666666666666664,0.6333333333333333,0.5533333333333333,0.1120515754264774
privacy.identifiability_score._privacy.identifiability_score.OC,0.06666666666666667,0.26666666666666666,0.15333333333333332,0.09006170724070864
