,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.21456389512556662,0.3293535821820013,0.2729008096311999,0.040862896238688017
sanity.close_values_probability.score,0.3333333333333333,0.5333333333333333,0.44000000000000006,0.07226494462892934
sanity.distant_values_probability.score,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.040824829046386304
stats.jensenshannon_dist.marginal,0.03266111399443256,0.036367435885586004,0.034400100146751975,0.001517718306121782
stats.chi_squared_test.marginal,0.2726304802679621,0.45448021000784744,0.3450252542276169,0.07595950417023319
stats.inv_kl_divergence.marginal,0.4528086854060087,0.5392373403478552,0.490620162857879,0.03789012792904789
stats.ks_test.marginal,0.6818181818181818,0.7575757575757575,0.718181818181818,0.030151134457776337
stats.max_mean_discrepancy.joint,0.06400752598976325,0.08699427528736091,0.07301496565345751,0.008527625511684338
stats.wasserstein_dist.joint,0.27704425407231986,0.36139168277549205,0.3188218202275736,0.03195371040549095
stats.alpha_precision.delta_precision_alpha_OC,0.5599999999999999,0.872183908045977,0.6522145593869731,0.12847916891589609
stats.alpha_precision.delta_coverage_beta_OC,0.4045977011494253,0.6933333333333334,0.5446896551724139,0.11682135464680028
stats.alpha_precision.authenticity_OC,0.3,0.6666666666666666,0.5133333333333333,0.13457752825457567
stats.alpha_precision.delta_precision_alpha_naive,0.5533333333333335,0.9362452107279694,0.7964750957854407,0.14389720212613646
stats.alpha_precision.delta_coverage_beta_naive,0.3777777777777779,0.6245977011494253,0.5309885057471264,0.09328189700568701
stats.alpha_precision.authenticity_naive,0.4,0.7,0.5399999999999999,0.11642832797715318
stats.prdc.precision,0.9666666666666667,1.0,0.9866666666666667,0.018257418583505533
stats.prdc.recall,1.0,1.0,1.0,0.0
stats.prdc.density,1.0133333333333334,1.0533333333333335,1.04,0.015634719199411413
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.06828200939197634,0.06828200939197634,0.06828200939197634,0.0
performance.linear_model.syn_id,-0.36798837854588184,0.2010249235031727,-0.032907758860928095,0.2564166410203939
performance.linear_model.syn_ood,-0.7878541807729688,-0.051994052818478395,-0.3122532482959537,0.31736335152836265
performance.mlp.gt,-1.4910683749643834,-1.4910683749643834,-1.4910683749643834,0.0
performance.mlp.syn_id,-1.6610880742741458,-1.3253136214844585,-1.4885538647126686,0.1272895850591927
performance.mlp.syn_ood,-1.5752654067829535,-0.9939191312471098,-1.2025557861737262,0.22782872648350885
performance.xgb.gt,-0.33841504167834746,-0.33841504167834746,-0.33841504167834746,0.0
performance.xgb.syn_id,-0.21695157897546827,0.28924108873068466,-0.06879449168743175,0.20549786659495542
performance.xgb.syn_ood,-0.48775236502063474,0.13208490444452145,-0.29012624406397075,0.24944364866936908
performance.feat_rank_distance.corr,-0.19999999999999998,0.3333333333333333,0.039999999999999994,0.1977652929892177
performance.feat_rank_distance.pvalue,0.21637345679012346,1.0,0.6856351410934745,0.3391679392859049
detection.detection_xgb.mean,0.9444444444444444,0.9888888888888889,0.9733333333333334,0.018592445034090587
detection.detection_mlp.mean,0.5,0.5222222222222223,0.5133333333333333,0.00842541716005729
detection.detection_gmm.mean,0.4833333333333334,0.5333333333333334,0.5044444444444445,0.018172696926440163
detection.detection_linear.mean,0.5666666666666667,0.6777777777777778,0.6244444444444445,0.042053757483945714
privacy.delta-presence.score,1.3124999991796875,2.3333333307407407,1.6322435884115358,0.4078824789135479
privacy.k-anonymization.gt,9.0,9.0,9.0,0.0
privacy.k-anonymization.syn,9.00000001,15.00000001,13.000000010000003,2.345207879911715
privacy.k-map.score,9.0,15.0,13.0,2.345207879911715
privacy.distinct l-diversity.gt,9.0,9.0,9.0,0.0
privacy.distinct l-diversity.syn,9.00000001,15.00000001,13.000000010000003,2.345207879911715
privacy.identifiability_score.,0.3,0.6,0.4533333333333333,0.1169045194450012
privacy.identifiability_score._privacy.identifiability_score.OC,0.06666666666666667,0.13333333333333333,0.1,0.023570226039551584
