,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.1794750956334246,0.3535931684586409,0.24171728479138582,0.06725909073710973
sanity.close_values_probability.score,0.4666666666666667,0.7333333333333333,0.6066666666666667,0.10903618155864081
sanity.distant_values_probability.score,0.03333333333333333,0.2,0.07333333333333333,0.07226494462892934
stats.jensenshannon_dist.marginal,0.030360300443117372,0.03707659924714227,0.03340803088925726,0.003055263898828883
stats.chi_squared_test.marginal,0.1815299512284909,0.27265265130387584,0.23589889989127055,0.049523461399211405
stats.inv_kl_divergence.marginal,0.4047701468056678,0.4521938500161413,0.4355704729551751,0.019631317150919557
stats.ks_test.marginal,0.6484848484848484,0.7636363636363636,0.7090909090909091,0.04890912845929988
stats.max_mean_discrepancy.joint,0.059304534625964606,0.08496175728809068,0.06902713252731266,0.01059784808440439
stats.wasserstein_dist.joint,0.2163372722062274,0.33550375473696376,0.27411218745756055,0.051479325763263244
stats.alpha_precision.delta_precision_alpha_OC,0.48444444444444446,0.7555555555555555,0.6142528735632184,0.12212035293989201
stats.alpha_precision.delta_coverage_beta_OC,0.26,0.649808429118774,0.43808429118773945,0.14009568982541337
stats.alpha_precision.authenticity_OC,0.3333333333333333,0.6666666666666666,0.4533333333333333,0.153839743456191
stats.alpha_precision.delta_precision_alpha_naive,0.651264367816092,0.9125670498084292,0.774544061302682,0.09865068446863992
stats.alpha_precision.delta_coverage_beta_naive,0.5866666666666667,0.7045977011494253,0.6393256704980843,0.04407474057952824
stats.alpha_precision.authenticity_naive,0.3,0.5,0.4066666666666666,0.09249624617007739
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,1.0,1.0,1.0,0.0
stats.prdc.density,0.9800000000000001,1.06,1.0333333333333334,0.031269438398822826
stats.prdc.coverage,0.9333333333333333,1.0,0.9866666666666667,0.029814239699997188
performance.linear_model.gt,0.06828200939197634,0.06828200939197634,0.06828200939197634,0.0
performance.linear_model.syn_id,-0.6317215458225774,0.16125113170772837,-0.2745792308953754,0.31899427570995903
performance.linear_model.syn_ood,-0.8590941505278987,-0.023222135481034734,-0.5245586567592178,0.3785146237830327
performance.mlp.gt,-1.4910683749643834,-1.4910683749643834,-1.4910683749643834,0.0
performance.mlp.syn_id,-1.5653494217190782,-1.3978905949284617,-1.4700457084320089,0.0631029304986231
performance.mlp.syn_ood,-2.049052134998036,-0.9457732286551488,-1.2343825446324956,0.45885227464064443
performance.xgb.gt,-0.33841504167834746,-0.33841504167834746,-0.33841504167834746,0.0
performance.xgb.syn_id,-0.4495523895672237,0.04291690444851508,-0.2203021729728541,0.18226393103287766
performance.xgb.syn_ood,-0.8383380857037153,-0.17412990133474468,-0.4881088135543318,0.25954890454086593
performance.feat_rank_distance.corr,0.022222222222222223,0.5111111111111111,0.27111111111111114,0.2145336601981719
performance.feat_rank_distance.pvalue,0.04662257495590829,1.0,0.4439813712522046,0.4493850475083322
detection.detection_xgb.mean,0.9444444444444444,1.0,0.971111111111111,0.021300321680756493
detection.detection_mlp.mean,0.4833333333333334,0.5583333333333333,0.5094444444444444,0.030148807891589195
detection.detection_gmm.mean,0.4666666666666667,0.55,0.5061111111111112,0.03504846732352781
detection.detection_linear.mean,0.5833333333333333,0.6888888888888889,0.6377777777777778,0.04769372451407725
privacy.delta-presence.score,1.2352941169204152,2.3333333307407407,1.6437254888396118,0.4282897860698327
privacy.k-anonymization.gt,9.0,9.0,9.0,0.0
privacy.k-anonymization.syn,10.00000001,15.00000001,12.20000001,1.9235384061671346
privacy.k-map.score,9.0,15.0,12.6,2.3021728866442674
privacy.distinct l-diversity.gt,9.0,9.0,9.0,0.0
privacy.distinct l-diversity.syn,10.00000001,15.00000001,12.20000001,1.9235384061671346
privacy.identifiability_score.,0.5666666666666667,0.6666666666666666,0.6199999999999999,0.04472135954999579
privacy.identifiability_score._privacy.identifiability_score.OC,0.03333333333333333,0.1,0.08666666666666667,0.029814239699997202
