,parents,has_nurs,form,children,housing,finance,social,health,target
109,2,3,0,3,2,0,2,0,0
288,2,3,3,0,2,1,0,0,0
349,0,0,2,2,0,1,0,2,2
440,2,4,1,2,0,1,2,1,2
289,0,4,2,2,1,0,1,2,2
327,0,1,3,0,2,1,2,0,0
161,2,3,2,0,2,1,1,0,0
224,1,2,3,0,1,1,0,2,1
189,1,4,2,2,0,0,0,0,0
73,2,1,1,1,0,0,1,2,1
1,0,2,3,3,0,0,2,0,0
362,0,4,1,3,2,1,1,0,0
209,1,0,2,2,0,0,1,1,2
64,0,4,0,1,2,0,0,1,2
55,2,2,0,1,1,1,0,1,1
310,0,1,0,3,2,1,2,1,2
179,1,2,3,0,1,0,0,2,1
158,1,0,3,3,0,1,2,1,2
126,1,2,3,3,1,0,0,0,0
350,2,3,1,0,1,0,2,0,0
206,0,0,1,1,0,0,1,2,2
79,2,4,2,3,1,1,1,0,0
420,1,1,2,0,1,1,3,0,0
20,2,3,0,1,2,0,0,0,0
395,1,2,3,1,0,1,0,0,0
478,1,0,1,2,1,1,2,1,2
193,1,0,3,0,2,0,1,2,2
267,1,2,1,1,1,1,1,2,1
21,1,4,3,3,0,0,1,1,2
0,2,0,0,3,1,0,2,0,0
273,1,2,3,0,1,0,2,1,1
169,1,1,2,2,1,1,0,0,0
290,1,0,0,3,0,1,2,0,0
436,0,2,0,3,2,0,2,2,1
464,1,1,0,3,0,1,1,0,0
8,0,0,3,0,1,1,0,1,2
359,0,2,3,3,1,0,1,0,0
340,0,1,3,1,1,0,0,0,0
313,0,2,2,2,2,0,0,1,2
171,1,3,1,1,1,0,1,1,1
218,1,4,2,0,0,0,2,1,2
452,0,3,0,1,2,0,0,1,1
57,1,1,3,1,1,1,1,1,2
422,2,1,2,0,2,0,3,1,2
447,2,4,3,0,0,1,1,2,2
50,2,1,0,3,2,1,1,2,1
86,0,4,1,2,1,0,1,2,2
230,0,0,3,3,1,1,0,1,2
247,2,1,0,1,0,0,0,1,1
14,0,0,3,1,2,0,0,2,2
474,1,2,1,2,1,1,2,1,1
342,1,2,2,1,1,1,1,0,0
443,0,0,0,3,0,1,1,0,0
389,0,1,1,0,1,0,0,1,2
254,0,1,1,3,0,0,2,1,2
390,0,1,3,2,1,0,0,1,2
433,1,1,0,0,0,0,2,2,1
124,2,3,2,3,1,1,2,0,0
71,1,2,2,1,1,0,1,2,1
407,0,1,3,2,1,1,0,1,2
365,1,0,2,1,1,1,1,2,2
475,1,2,2,2,0,0,2,0,0
421,2,2,0,0,1,0,3,0,0
29,0,2,2,3,2,1,2,0,0
482,1,1,3,0,1,0,2,2,1
81,1,0,1,3,1,0,2,1,2
101,1,0,2,1,0,0,1,1,2
213,2,1,3,2,2,0,1,0,0
234,1,2,1,1,0,0,0,1,1
28,1,3,3,3,0,0,1,0,0
375,2,4,2,0,1,1,2,0,0
275,2,1,3,1,1,1,1,2,1
250,0,4,0,2,0,1,2,2,2
402,1,3,7,3,1,0,1,1,1
446,1,2,0,1,0,1,2,0,0
173,1,4,0,2,1,1,0,0,0
425,1,2,1,3,1,0,3,2,1
245,0,0,2,1,2,1,2,1,2
451,0,2,1,3,0,1,1,0,0
383,1,1,1,2,1,1,2,0,0
242,2,4,0,3,0,0,0,0,0
65,1,3,2,3,1,0,0,2,1
324,1,3,2,3,2,0,2,0,0
404,1,3,7,3,2,0,2,2,1
233,1,4,0,0,0,0,1,2,1
186,2,1,0,2,0,1,1,1,1
291,1,2,0,2,1,1,1,2,1
366,1,0,0,2,2,1,1,2,2
311,2,4,3,0,0,1,0,2,2
88,1,1,3,0,0,0,1,0,0
7,1,4,3,2,0,0,1,2,2
183,2,4,3,3,0,0,1,2,2
497,2,2,1,2,1,0,1,2,1
184,1,2,0,3,0,1,1,1,1
358,1,1,0,3,2,1,0,0,0
236,0,0,1,0,0,1,1,0,0
381,0,4,2,3,0,1,0,2,2
78,1,4,3,1,2,1,2,0,0
363,1,2,1,0,0,0,2,1,1
152,1,4,1,3,1,0,2,2,2
