,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.009999999999,0.0059999999994,0.005477225574503939
sanity.nearest_syn_neighbor_distance.mean,0.4775672468909066,0.6713833093754978,0.5932212215963414,0.09469292892320028
sanity.close_values_probability.score,0.01,0.07,0.032,0.030331501776206204
sanity.distant_values_probability.score,0.05,0.17,0.12000000000000002,0.04358898943540674
stats.jensenshannon_dist.marginal,0.014264513672257752,0.017992111647404982,0.016464200836931286,0.0014008918746713137
stats.chi_squared_test.marginal,0.9847817861081709,0.996650022983065,0.989697086657098,0.004666354825453637
stats.inv_kl_divergence.marginal,0.9831001450859999,0.9945609674067577,0.9878149830996014,0.00465436045160223
stats.ks_test.marginal,0.9033333333333332,0.9277777777777779,0.9166666666666666,0.009128709291752855
stats.max_mean_discrepancy.joint,0.019805448254642193,0.020403175100613125,0.02011557703262516,0.0002797578281349768
stats.wasserstein_dist.joint,0.3426340779735258,0.40000849258497023,0.36775043695900694,0.02340471229516929
stats.alpha_precision.delta_precision_alpha_OC,0.32933333333333337,0.4853333333333334,0.39893333333333336,0.06815766036673108
stats.alpha_precision.delta_coverage_beta_OC,0.22066666666666657,0.35,0.29359999999999997,0.05193928078909922
stats.alpha_precision.authenticity_OC,0.51,0.68,0.63,0.07000000000000002
stats.alpha_precision.delta_precision_alpha_naive,0.877080459770115,0.9440919540229885,0.9174528735632184,0.027207095163142226
stats.alpha_precision.delta_coverage_beta_naive,0.5599310344827586,0.64,0.5871862068965517,0.0334983414855571
stats.alpha_precision.authenticity_naive,0.41,0.46,0.434,0.019493588689617945
stats.prdc.precision,0.96,0.99,0.974,0.011401754250991391
stats.prdc.recall,0.95,1.0,0.974,0.02073644135332774
stats.prdc.density,0.746,0.868,0.8160000000000001,0.048270073544588676
stats.prdc.coverage,0.92,0.97,0.9400000000000001,0.01870828693386968
performance.linear_model.gt,0.9414999999999999,0.9414999999999999,0.9414999999999999,0.0
performance.linear_model.syn_id,0.9062812499999999,0.9477343750000001,0.9309593749999999,0.017439430616690912
performance.linear_model.syn_ood,0.9097500000000001,0.9460000000000001,0.9323,0.015463060822489225
performance.mlp.gt,0.683203125,0.683203125,0.683203125,0.0
performance.mlp.syn_id,0.705078125,0.7474609375,0.72484375,0.01858211377622519
performance.mlp.syn_ood,0.5887500000000001,0.716875,0.6792499999999999,0.05451741407568772
performance.xgb.gt,0.977,0.977,0.977,0.0
performance.xgb.syn_id,0.9533437499999999,0.984125,0.9689625,0.014490220975066267
performance.xgb.syn_ood,0.9502499999999999,0.9870000000000001,0.9688500000000001,0.016836159003763347
performance.feat_rank_distance.corr,0.5239271416150726,0.660602090043181,0.6164390599761751,0.055263731093713214
performance.feat_rank_distance.pvalue,6.570635143157506e-13,1.0860459606225363e-08,2.1827633759226305e-09,4.8510096969564035e-09
detection.detection_xgb.mean,0.517,0.5865,0.54865,0.02642300134352643
detection.detection_mlp.mean,0.51475,0.562,0.5352,0.01868605763664451
detection.detection_gmm.mean,0.45649999999999996,0.51675,0.4997,0.02493328598480354
detection.detection_linear.mean,0.476,0.6174999999999999,0.53335,0.05445571595342401
privacy.delta-presence.score,1.833333330277778,3.999999986666667,2.544444437080247,0.9431363434842769
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0
privacy.k-anonymization.syn,2.00000001,6.00000001,4.40000001,1.51657508881031
privacy.k-map.score,2.0,5.0,3.8,1.3038404810405297
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0
privacy.distinct l-diversity.syn,2.00000001,6.00000001,4.40000001,1.51657508881031
privacy.identifiability_score.,0.34,0.41,0.36,0.029154759474226483
privacy.identifiability_score._privacy.identifiability_score.OC,0.19,0.28,0.23399999999999999,0.033615472627943226
