,parents,has_nurs,form,children,housing,finance,social,health,target
2129,2,2,0,1,0,1,1,1,1
2088,2,4,3,3,2,1,0,2,2
1720,1,0,1,2,1,1,2,1,1
1288,1,0,0,2,1,1,2,1,2
2082,1,1,2,0,0,1,0,0,0
2392,2,0,2,0,1,1,0,0,0
1319,0,3,2,2,2,1,0,2,1
895,2,2,2,2,0,1,1,1,1
1491,0,0,0,3,0,1,1,1,2
2302,1,0,2,1,1,1,2,0,0
1025,0,3,1,1,0,0,2,2,1
1385,0,2,3,1,2,1,1,2,2
2163,0,3,1,3,2,0,2,0,0
2326,0,2,2,2,0,0,2,0,0
399,1,2,3,3,2,0,2,1,2
33,2,2,3,1,2,1,2,0,0
49,2,0,1,3,0,0,2,2,1
2092,0,3,2,0,1,1,0,0,0
1649,0,0,0,0,2,0,0,2,2
99,0,1,0,1,1,0,0,2,2
1651,0,0,1,3,1,0,2,2,2
513,1,1,0,0,0,1,0,2,1
878,2,4,0,3,1,0,0,1,2
1588,1,2,3,0,0,0,1,2,1
2528,0,4,1,2,2,1,2,1,2
2007,0,1,3,1,2,1,0,1,2
1262,0,2,1,1,0,0,0,0,0
637,2,0,0,2,2,0,2,1,2
2001,0,0,2,3,0,1,0,1,2
1659,1,0,3,1,1,1,0,1,2
584,2,1,1,0,1,0,2,0,0
173,2,1,0,1,1,1,0,1,1
1536,2,3,3,1,2,0,0,0,0
1285,0,3,0,3,0,0,1,2,1
2534,0,1,1,1,0,1,2,2,1
400,2,4,0,1,1,0,1,2,2
1172,2,3,1,0,1,0,1,0,0
123,2,1,3,3,1,0,1,1,2
1586,2,4,1,0,0,0,1,2,0
1084,1,0,2,3,2,1,0,0,0
1864,1,4,3,0,1,0,2,1,2
1562,1,0,2,1,2,0,0,0,0
1414,2,4,0,2,1,0,2,0,0
1632,2,4,2,2,0,1,1,1,2
384,0,2,1,0,1,1,1,0,0
1000,2,2,0,3,1,0,1,2,1
772,0,4,1,3,1,1,2,2,2
448,0,1,1,3,1,1,2,2,2
416,1,3,2,3,2,1,0,1,1
1265,1,0,2,1,0,1,0,1,2
1300,0,4,3,3,0,1,1,2,2
848,0,3,3,3,2,1,2,2,1
1543,1,1,1,2,2,0,2,0,0
1729,2,1,3,3,2,1,0,2,1
2264,0,0,0,1,1,1,0,1,2
2426,0,1,2,3,2,1,0,2,2
2394,0,4,3,3,1,0,2,1,2
1442,1,1,3,3,0,0,0,0,0
887,0,1,2,2,1,1,0,0,0
1713,2,1,3,1,2,1,2,0,0
201,1,1,0,3,0,0,1,1,1
2508,2,1,0,1,2,1,2,0,0
1199,1,2,1,1,1,0,2,2,1
1250,2,1,1,1,1,0,2,1,1
5,1,4,2,3,1,1,1,1,2
233,1,2,3,1,1,1,2,2,1
1176,0,2,0,0,1,0,2,1,1
315,2,3,0,0,2,0,2,0,0
1594,1,0,2,3,2,1,1,1,2
676,1,0,3,0,1,0,2,0,0
1403,0,4,2,3,0,0,1,2,2
1417,2,0,3,2,1,0,0,0,0
2198,1,4,3,0,1,1,1,1,2
1322,2,3,2,1,1,0,1,1,1
1061,1,1,1,2,2,0,0,2,1
2238,2,1,2,2,1,0,2,0,0
2114,1,4,1,0,1,0,1,1,2
2364,0,3,0,3,2,0,0,1,1
474,1,4,2,3,2,0,0,1,2
940,0,2,3,2,1,0,2,2,1
715,0,4,0,1,1,0,0,2,0
613,0,0,0,3,2,0,0,1,2
2551,1,0,3,1,2,0,0,2,2
406,2,0,2,0,0,1,1,1,1
159,1,3,3,2,2,0,2,1,1
699,0,4,2,3,0,0,1,2,2
369,0,3,3,0,0,0,2,2,1
345,0,3,2,2,2,0,2,0,0
1707,1,4,0,1,2,1,0,1,2
488,2,3,3,0,1,0,2,1,1
2493,2,1,1,0,2,1,1,0,0
2144,1,0,3,1,1,0,1,0,0
318,1,2,0,0,2,1,0,2,1
671,1,3,3,1,0,1,1,0,0
103,1,1,2,3,2,0,2,0,0
1453,1,1,2,0,0,0,1,2,1
2393,2,4,0,2,2,0,2,0,0
22,1,4,0,1,2,0,1,1,2
623,2,4,0,0,0,0,1,2,2
902,2,3,1,1,1,1,0,2,3
