,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.019999999998,0.0079999999992,0.008366600264504094
sanity.nearest_syn_neighbor_distance.mean,0.3477527989065219,0.6487027041076862,0.5476956736176819,0.1309242345212091
sanity.close_values_probability.score,0.01,0.07,0.026000000000000002,0.025099800796022267
sanity.distant_values_probability.score,0.02,0.15,0.07199999999999998,0.05263078946776306
stats.jensenshannon_dist.marginal,0.012438699642522089,0.01729996263328593,0.01445004443590574,0.00220359106686171
stats.chi_squared_test.marginal,0.9848004500826205,0.9971798507480766,0.9908935272542777,0.004997748551339407
stats.inv_kl_divergence.marginal,0.9837615336451128,0.9934593587406072,0.9890726690976935,0.004454351072263883
stats.ks_test.marginal,0.9177777777777776,0.941111111111111,0.9299999999999999,0.010858233492051183
stats.max_mean_discrepancy.joint,0.019162844724957884,0.020407977606477307,0.019588614976743704,0.0004787208994409856
stats.wasserstein_dist.joint,0.32982594356797656,0.36645372952122446,0.3465341939387242,0.014541074581197768
stats.alpha_precision.delta_precision_alpha_OC,0.30066666666666686,0.43066666666666664,0.3676000000000001,0.05597737638248742
stats.alpha_precision.delta_coverage_beta_OC,0.2473333333333333,0.3893333333333333,0.298,0.061055530280047336
stats.alpha_precision.authenticity_OC,0.65,0.71,0.6819999999999999,0.022803508501982726
stats.alpha_precision.delta_precision_alpha_naive,0.9117701149425288,0.9298620689655173,0.9229241379310344,0.007078395728411231
stats.alpha_precision.delta_coverage_beta_naive,0.4993333333333333,0.5946666666666667,0.5512,0.03396534181256603
stats.alpha_precision.authenticity_naive,0.4,0.48,0.43,0.02999999999999999
stats.prdc.precision,0.96,1.0,0.986,0.016733200530681527
stats.prdc.recall,0.95,0.99,0.9719999999999999,0.016431676725154998
stats.prdc.density,0.7400000000000001,0.782,0.7620000000000001,0.015033296378372881
stats.prdc.coverage,0.92,0.96,0.944,0.01816590212458491
performance.linear_model.gt,0.9414999999999999,0.9414999999999999,0.9414999999999999,0.0
performance.linear_model.syn_id,0.8959687500000001,0.9434687500000001,0.924325,0.02385693800995714
performance.linear_model.syn_ood,0.89625,0.94375,0.92455,0.023650713519891974
performance.mlp.gt,0.683203125,0.683203125,0.683203125,0.0
performance.mlp.syn_id,0.616015625,0.741796875,0.6913281249999998,0.048322104541850396
performance.mlp.syn_ood,0.54125,0.79375,0.66275,0.11497672998263604
performance.xgb.gt,0.977,0.977,0.977,0.0
performance.xgb.syn_id,0.9192031249999999,0.955875,0.9418093750000001,0.014568238374489157
performance.xgb.syn_ood,0.9215,0.95625,0.9403,0.014543469324751944
performance.feat_rank_distance.corr,0.06919458409322567,0.41121341329966526,0.22739893617905976,0.1465538582686685
performance.feat_rank_distance.pvalue,5.671856769363142e-06,0.4449555800339784,0.13360352446295665,0.19063375365662225
detection.detection_xgb.mean,0.46224999999999994,0.6220000000000001,0.51485,0.06329854856155873
detection.detection_mlp.mean,0.5015000000000001,0.56275,0.53325,0.02288080527429048
detection.detection_gmm.mean,0.48150000000000004,0.58925,0.5292999999999999,0.03912775549402242
detection.detection_linear.mean,0.41574999999999995,0.54575,0.48084999999999994,0.054014639219382016
privacy.delta-presence.score,2.1666666630555556,5.99999997,3.3466666555955555,1.6694310295359782
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0
privacy.k-anonymization.syn,1.00000001,6.00000001,4.80000001,2.1679483388678804
privacy.k-map.score,2.0,5.0,3.8,1.3038404810405297
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0
privacy.distinct l-diversity.syn,1.00000001,6.00000001,4.80000001,2.1679483388678804
privacy.identifiability_score.,0.34,0.39,0.368,0.019235384061671343
privacy.identifiability_score._privacy.identifiability_score.OC,0.18,0.23,0.198,0.01923538406167135
