,parents,has_nurs,form,children,housing,finance,social,health,target
1418,1,1,2,2,1,1,1,1,0
1712,2,2,0,1,0,0,0,1,0
2386,0,0,2,3,0,0,1,2,2
514,1,0,1,2,1,1,0,1,1
2211,0,3,2,1,0,0,2,0,0
822,0,2,2,3,0,1,1,2,1
1405,1,4,0,2,2,1,2,2,1
1805,2,4,3,2,1,0,0,2,0
55,0,0,0,0,2,1,2,2,2
1770,1,4,3,2,0,1,0,1,1
937,2,0,0,1,0,0,1,0,1
2007,1,3,1,3,0,1,1,2,0
1847,0,2,1,0,2,0,2,0,2
2566,2,2,2,1,1,0,0,0,1
2510,1,0,2,3,1,0,1,0,2
2066,2,0,0,3,1,0,2,2,0
1565,2,4,0,2,0,1,2,0,0
1990,1,0,2,0,0,0,0,2,0
1848,1,3,1,3,2,0,0,2,0
1961,1,1,1,1,0,0,0,0,1
2261,2,4,1,0,0,0,1,2,2
414,1,2,0,1,0,1,0,0,2
1635,2,4,0,0,2,1,1,0,1
742,2,3,2,0,2,0,2,2,0
934,0,3,2,2,2,1,2,0,0
1101,1,1,2,3,0,1,0,1,0
1585,2,0,0,0,2,1,1,1,0
1639,1,0,2,1,0,0,1,2,2
1247,2,2,3,3,0,0,0,1,1
2369,1,2,1,3,2,1,2,0,1
397,2,1,1,0,0,0,2,1,1
2543,2,1,3,3,1,1,2,1,2
94,1,0,1,0,2,1,2,1,3
2328,0,2,3,2,2,1,2,1,2
458,1,0,3,0,0,1,1,0,3
658,2,2,2,3,2,1,1,0,2
2080,0,0,2,2,2,0,0,0,2
1212,1,2,3,2,0,0,0,2,0
1875,1,0,0,2,1,1,2,0,0
2210,0,0,2,2,0,0,2,1,2
348,0,0,0,3,0,0,0,1,2
748,1,3,3,2,1,1,1,2,0
2533,1,4,3,0,1,0,0,1,2
1874,2,0,0,3,0,0,1,2,1
1583,2,0,3,0,2,1,1,1,1
2011,1,0,3,3,0,0,1,2,2
310,0,1,1,2,0,0,1,0,0
1427,1,2,1,1,2,0,2,0,0
2232,0,0,0,1,0,1,2,2,1
1137,2,3,3,2,2,1,2,2,1
1924,0,2,1,0,1,0,1,1,0
2539,2,4,0,2,1,0,0,1,3
2075,1,2,0,3,0,1,0,2,2
351,1,4,3,3,0,1,2,2,1
1193,0,0,1,0,2,0,2,1,1
338,1,2,2,1,0,1,0,1,1
1771,2,0,0,0,1,1,1,0,0
2020,0,1,2,1,0,1,2,0,0
2203,2,2,1,2,1,0,1,0,2
691,1,2,2,0,2,0,1,0,0
2101,0,2,2,3,2,0,2,0,0
2480,0,3,2,1,1,1,0,2,0
1448,1,1,3,2,1,0,1,2,2
2221,1,4,2,0,2,1,0,2,1
461,1,4,2,2,1,0,0,0,2
1744,0,1,0,1,0,0,2,2,1
1986,1,4,2,1,1,1,1,0,1
775,1,2,1,3,1,0,2,1,2
2452,1,0,2,3,1,0,0,1,0
1587,1,1,1,2,0,0,1,0,1
862,2,2,1,1,2,0,0,0,2
1461,2,2,3,0,1,1,1,2,2
2471,2,4,0,1,2,1,1,0,2
2262,1,3,3,1,0,0,2,2,2
1076,0,4,0,3,2,0,2,0,0
195,2,3,0,3,1,0,2,1,0
1274,1,0,1,2,1,1,2,0,0
616,2,1,3,2,1,1,1,1,2
701,2,1,0,1,0,1,2,1,1
1941,1,1,2,2,2,1,2,1,1
155,1,2,2,1,2,0,1,1,2
373,2,1,0,0,1,0,2,1,2
124,2,1,0,2,2,1,2,1,2
1043,2,0,3,1,0,0,0,2,1
726,0,2,2,3,1,0,2,2,2
1822,0,1,2,0,0,1,2,0,0
360,1,4,0,1,2,0,0,0,2
2202,1,2,0,3,0,1,2,0,0
949,1,2,2,3,1,1,2,0,0
979,2,1,0,1,1,0,2,2,2
688,1,1,0,0,0,0,2,1,1
2429,2,3,3,3,0,0,1,2,0
1725,0,0,1,2,2,0,2,0,0
769,2,4,2,3,1,0,0,0,0
2041,0,2,3,1,2,0,0,0,0
610,0,2,0,3,2,0,1,0,2
118,1,3,3,1,1,0,2,1,0
1315,0,0,2,0,0,1,2,0,1
431,2,2,2,1,0,0,2,2,2
2104,2,4,3,3,2,0,0,2,0
